field_name,type,required_predictive,required_replay,allowed_values_or_units,source_evidence,heat_path_lane,runtime_input_class,forbidden_substitutes,notes
case_id,string,true,true,case identifier,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv,external_convection;radiation;insulation_quartz,setup_or_row_identity,none,Links boundary rows to scorecard rows without using score targets.
segment_id,string,true,true,1D segment or grouped physical region,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv,external_convection;radiation;wall_conduction;insulation_quartz,setup_geometry_mapping,validation_temperature;realized_wallHeatFlux,Grouped junction/stub rows must carry diagnostic labels.
patch_group,string,true,true,patch name or grouped patch role,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,external_convection;radiation;contact_layer_resistance,setup_patch_role,realized_wallHeatFlux,Patch granularity is preferred; grouped roles must carry coverage labels.
physical_role,string,true,true,ambient_wall;heater;cooler;test_section;junction_other;zeroGradient_other,reports/2026-07/2026-07-09/2026-07-09_external_boundary_setup_reference/boundary_setup_summary.csv,all_boundary_lanes,setup_patch_role,hidden_multiplier,Separates active source/sink roles from passive external losses.
h_W_m2_K,float,conditional,false,W/m2/K,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv,external_convection,setup_boundary_field,realized_wallHeatFlux;validation_temperature,Required when external convection is active; otherwise explicit unavailable status is required.
Ta_K,float,conditional,false,K,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv,external_convection,setup_boundary_field,validation_temperature,Required when external convection is active.
Tsur_K,float,conditional,false,K,work_products/2026-07/2026-07-13/2026-07-13_cfd_radiative_boundary_guidance/cfd_emissivity_by_run.csv,radiation,setup_boundary_field,realized_wallHeatFlux;validation_temperature,Required when predictive radiation is active; forbidden substitute is validation temperature.
emissivity,float,conditional,false,0 to 1,work_products/2026-07/2026-07-13/2026-07-13_cfd_radiative_boundary_guidance/cfd_emissivity_by_run.csv,radiation,setup_boundary_field,qr_when_absent;fitted_residual,Required when predictive radiation is active.
area_m2,float,true,false,m2,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv,external_convection;radiation;wall_conduction;insulation_quartz,setup_geometry,realized_wallHeatFlux_backsolve,Required for heat-rate calculation and coverage normalization.
coverage_factor,float_or_label,true,false,0 to 1 or documented grouped multiplier,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_0_baseline_release_gate/heat_path_release_gate.csv,external_convection;radiation;insulation_quartz,setup_geometry_mapping,hidden_multiplier,Must be explicit for grouped patches or segment reductions.
wall_or_layer_resistance_status,string,conditional,false,available_from_layer_metadata;not_applicable;blocked_missing_metadata,work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/cfd_external_boundary_dictionary.csv,wall_conduction;contact_layer_resistance;insulation_quartz,setup_material_or_admitted_train_only_parameter,heldout_residual_backsolve,This phase records availability; later Fluid/API work may compute the resistance.
drive_temperature_selector,string,true,false,bulk;inner_wall;outer_wall;surface;ambient;surroundings,reports/2026-07/2026-07-09/2026-07-09_external_boundary_setup_reference/boundary_setup_summary.csv,external_convection;radiation;wall_conduction,setup_model_policy,validation_temperature,Declares which solved state drives each heat path.
mode,string,true,true,predictive;replay;diagnostic_sensitivity;blocked_missing_fields,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_0_baseline_release_gate/heat_path_release_gate.csv,all_boundary_lanes,runtime_policy,none,Controls forbidden wallHeatFlux predictive use and radiation double-counting rules.
radiation_policy,string,true,true,predictive_radiation;embedded_in_wallHeatFlux_replay;radiation_off_sensitivity;not_applicable,operational_notes/maps/thermal-boundary-and-radiation.md,radiation,runtime_policy,claim_radiation_absent,Required even when radiation is disabled.
wallHeatFlux_runtime_allowed,boolean,true,true,false for predictive; true only for total-wallHeatFlux replay,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_0_baseline_release_gate/heat_path_release_gate.csv,external_convection;radiation;residual,runtime_leakage_guard,realized_wallHeatFlux_as_predictive_input,If true then separate convection/radiation terms are forbidden for that replay row.
source_property_label_status,string,true,true,present;required_missing;not_applicable,source_property_label_enforcement,all_boundary_lanes,admission_guard,blank_fit_label,Final scorecard consumers require nonblank source/property labels.
