phase,lane_id,candidate_id,case_id,split_role,heater_lambda,cooler_candidate_id,sensor,kind,predicted_K,target_K,error_K,abs_error_K,prediction_source_segment,prediction_source_fraction,validation_excluded,source_path
loso_train_grid,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,salt_1,train_nominal_loso,0,HX_LUMPED_UA_NTU,TP1,TP,493.037575,449.37,43.66757498,43.66757498,top_horizontal_exit,1,no,Fluid build_validation_table with AGENT-529 LOSO heater-source scenario
loso_train_grid,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,salt_1,train_nominal_loso,0,HX_LUMPED_UA_NTU,TP2,TP,nan,443.27,,,,nan,no,Fluid build_validation_table with AGENT-529 LOSO heater-source scenario
loso_train_grid,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,salt_1,train_nominal_loso,0,HX_LUMPED_UA_NTU,TP3,TP,498.3205669,441.37,56.95056691,56.95056691,left_lower_vertical,0,no,Fluid build_validation_table with AGENT-529 LOSO heater-source scenario
loso_train_grid,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,salt_1,train_nominal_loso,0,HX_LUMPED_UA_NTU,TP4,TP,497.6658491,446.41,51.25584914,51.25584914,left_lower_vertical,1,no,Fluid build_validation_table with AGENT-529 LOSO heater-source scenario
loso_train_grid,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,salt_1,train_nominal_loso,0,HX_LUMPED_UA_NTU,TP5,TP,498.173341,447.5,50.673341,50.673341,test_section,1,no,Fluid build_validation_table with AGENT-529 LOSO heater-source scenario
loso_train_grid,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,salt_1,train_nominal_loso,0,HX_LUMPED_UA_NTU,TP6,TP,497.5193265,452.53,44.98932646,44.98932646,left_upper_vertical,1,no,Fluid build_validation_table with AGENT-529 LOSO heater-source scenario
loso_train_grid,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,salt_1,train_nominal_loso,0,HX_LUMPED_UA_NTU,TW1,TW,491.2500301,440,51.25003012,51.25003012,right_vertical,0.25,no,Fluid build_validation_table with AGENT-529 LOSO heater-source scenario
loso_train_grid,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,salt_1,train_nominal_loso,0,HX_LUMPED_UA_NTU,TW10,TW,704.0744612,390.03,314.0444612,314.0444612,cooled_incline_hx_active,0.5,no,Fluid build_validation_table with AGENT-529 LOSO heater-source scenario
loso_train_grid,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,salt_1,train_nominal_loso,0,HX_LUMPED_UA_NTU,TW11,TW,492.1799759,444.87,47.30997586,47.30997586,cooled_incline_post_hx,0.25,no,Fluid build_validation_table with AGENT-529 LOSO heater-source scenario
loso_train_grid,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,salt_1,train_nominal_loso,0,HX_LUMPED_UA_NTU,TW2,TW,490.6998554,441.57,49.12985536,49.12985536,right_vertical,0.5,no,Fluid build_validation_table with AGENT-529 LOSO heater-source scenario
loso_train_grid,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,salt_1,train_nominal_loso,0,HX_LUMPED_UA_NTU,TW3,TW,490.4691819,440.97,49.49918193,49.49918193,right_vertical,0.75,no,Fluid build_validation_table with AGENT-529 LOSO heater-source scenario
loso_train_grid,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,salt_1,train_nominal_loso,0,HX_LUMPED_UA_NTU,TW4,TW,489.925413,442.26,47.66541297,47.66541297,heated_incline,0.25,no,Fluid build_validation_table with AGENT-529 LOSO heater-source scenario
loso_train_grid,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,salt_1,train_nominal_loso,0,HX_LUMPED_UA_NTU,TW5,TW,493.9924891,465.38,28.61248906,28.61248906,heated_incline,0.5,no,Fluid build_validation_table with AGENT-529 LOSO heater-source scenario
loso_train_grid,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,salt_1,train_nominal_loso,0,HX_LUMPED_UA_NTU,TW6,TW,496.3879348,461.07,35.3179348,35.3179348,heated_incline,0.75,no,Fluid build_validation_table with AGENT-529 LOSO heater-source scenario
loso_train_grid,HS1_BASELINE_LOSO_SALT124,HS1_BASELINE_LOSO_SALT124_heater_source_lam_0p00_PLUS_HX_LUMPED_UA_NTU,salt_1,train_nominal_loso,0,HX_LUMPED_UA_NTU,TW7,TW,496.4144883,448.31,48.10448832,48.10448832,left_lower_vertical,0.5,no,Fluid build_validation_table with AGENT-529 LOSO heater-source scenario
