qoi_family,qoi_name,retained_window_status,neighbor_window_status,mesh_gci_status,source_gate_status,preflight_classification,accepted_after_preflight,compute_needed,compute_priority,next_task,source_paths
pressure,lower_right_corner_available_pressure_residual,present: retained times 7915 s; 7618 s; 10000 s recorded for current lower-right corner residual rows,missing: same-label neighboring windows are blocked_missing_neighbor_window,blocked_missing_same_qoi_GCI:3,blocked_pressure_basis_recirc_or_raw_sampler,blocked_missing_neighbor_window,false,true,P1_existing_artifact_then_sampler,Run existing-artifact same-label/formula/sign time-window preflight for lower_leg__s04->right_leg__s00; queue compute-node sampling only if windows are absent,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_same_qoi_scientific_synthesis/blocker_analysis.csv
pressure,corner_lower_right_section_effective_pressure_residual,present: single_retained_window_available for salt2/salt3/salt4,missing: blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_UQ:3,blocked_pressure_basis_recirc_or_raw_sampler,blocked_missing_neighbor_window,false,true,P1_existing_artifact_then_sampler,Use pressure-corner same-QOI time/mesh inventory route; do not convert residual into component K,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_same_qoi_scientific_synthesis/blocker_analysis.csv
pressure,F6_endpoint_pressure_delta,missing: geometry_preflight_only_no_pressure_window,missing: blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI:6,blocked_pressure_basis_recirc_or_raw_sampler,blocked_missing_neighbor_window,false,true,P1_existing_artifact_then_sampler,Claim raw F6 endpoint face sampler row that emits retained and neighboring windows before any F6 review,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_same_qoi_scientific_synthesis/blocker_analysis.csv
pressure,F6_endpoint_face_raw_pressure_velocity,partial: single sample times are listed for coarse faces but rows are blocked_pending_raw_sampler_output or missing required fields/time,missing: blocked_missing_neighbor_window,blocked_missing_same_qoi_mesh_GCI:12|diagnostic_mesh_spread_possible_after_raw_sampler:8,blocked_pressure_basis_recirc_or_raw_sampler,blocked_missing_neighbor_window,false,true,P1_raw_face_sampler,Complete face sampler outputs across retained and neighboring windows with mesh-level labels; keep no-fit gate active,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_same_qoi_scientific_synthesis/blocker_analysis.csv
recirculation,pm10_pressure_partial_residual_v1,present: single_retained_window_members_1 for four PM10 rows,missing: missing_no_same_qoi_neighbor_windows,missing_no_same_qoi_mesh_family:4,blocked_missing_same_qoi_recirc_family,blocked_missing_neighbor_window,false,true,P2_terminal_or_exchange_harvest_gated,Wait for terminal same-QOI mesh family and neighboring retained windows; do not fit/select model from PM10 rows now,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/summary.json;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_5_frozen_scorecard_and_thesis_handoff/summary.json
recirculation,V_recirc_mdot_exchange_tau_recirc,partial: retained proxy windows exist for salt2/salt3/salt4 upcomer diagnostics but are not admission-grade for exchange QOIs,missing: same-QOI neighboring windows blocked_or_terminal_gated,missing_no_prior_same_qoi_mesh_rows,blocked_missing_exchange_or_terminal_source,blocked_missing_neighbor_window,false,true,P2_after_cell_vtk_and_exchange_geometry,Extract or admit V_recirc; mdot_exchange; tau_recirc; paired thermal state; same-window pressure residual; same-QOI UQ in a separately claimed sampler/harvest row,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/summary.json;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_5_frozen_scorecard_and_thesis_handoff/summary.json
recirculation,terminal_source_family_exchange_QOIs,missing: terminal_harvest_ready_now=false and live terminal sources are not harvested,missing: neighbor windows unavailable until terminal success and harvest/sampler output,missing_no_prior_same_qoi_mesh_rows,blocked_missing_exchange_or_terminal_source,blocked_missing_neighbor_window,false,true,P2_terminal_or_exchange_harvest_gated,Wait for terminal monitor then claim harvest if terminal success; do not launch duplicate sampler from Phase A,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/summary.json;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_5_frozen_scorecard_and_thesis_handoff/summary.json
thermal,HTC_UA_prime_Nu_and_thermal_segment_closure,partial: medium/fine retained outputs are available if computed,missing: blocked_missing_neighbor_window,blocked_not_computed_no_coarse_thermal_triplet:2|diagnostic_two_level_only_not_computed_no_coarse_thermal_triplet:5,blocked_or_not_applicable_thermal_source_gate,blocked_missing_neighbor_window,false,true,P3_policy_and_sign_resolution_first,Resolve wallHeatFlux/enthalpy/UA sign convention and right-leg/downcomer policy then join exact retained and neighboring thermal windows before admission review,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv
thermal,internal_Nu_fit_by_segment,not_applicable: ledger rows are existing admission artifacts rather than retained-time extracts,missing: blocked_not_demonstrated_as_same_qoi_neighbor_window,blocked_not_demonstrated_as_same_qoi_GCI:40,blocked_or_not_applicable_thermal_source_gate,blocked_missing_neighbor_window,false,true,P3_policy_and_sign_resolution_first,Reopen only after matched-plane thermal/vector extraction; onset anchors; mesh/time uncertainty are admitted,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv
heat_loss,HX_cooler_candidate_and_final_predictive_heat_path,not_applicable: ledger rows are candidate/scorecard artifacts and not retained-time CFD samples,missing: blocked_not_demonstrated_as_same_qoi_neighbor_window,blocked_not_demonstrated_as_same_qoi_GCI:40,blocked_heat_loss_source_or_scorecard_gate,blocked_missing_neighbor_window,false,true,P3_runtime_candidate_or_freeze_gate_first,Separate setup-legal heat-loss terms from diagnostic replay and scorecard lanes; keep final freeze negative until hydraulic/cfd-pp/runtime gates pass,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/phase_c_input_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/mesh_gci_coverage_matrix.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_terminal_source_readiness/summary.json;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_5_frozen_scorecard_and_thesis_handoff/summary.json
