case_id,mesh_level,qoi_label,exact_contract_windows_s,exact_contract_windows_present,terminal_candidate_windows_s,required_fields,latest_required_fields_present,geometry_mask_required,formula_sign_basis_required,source_run_available,existing_exact_s13_row_present,sampling_status,production_use_allowed_now,mesh_gci_use_allowed_now
salt_2,medium,Q_wall_W,7914;7915;7916,false,516;517;518,wallHeatFlux,true,"trusted_wall_vtk, wall face areas, wall provenance, and face normals",integral of sampled wallHeatFlux over trusted_wall faces; positive Q_wall_W adds heat to the recirculation/exchange control-volume fluid,true,false,ready_for_terminal_window_sampling_needs_mesh_time_equivalence_gate,false,false
salt_2,medium,mdot_exchange_positive_outward_proxy_kg_s,7914;7915;7916,false,516;517;518,rho;U,true,"exchange_interface_vtk, interface areas, normals, and CV provenance","surface integral of max(rho * U dot n_outward, 0) over the trusted exchange interface; positive is outward from the recirculation CV",true,false,ready_for_terminal_window_sampling_needs_mesh_time_equivalence_gate,false,false
salt_2,medium,tau_recirc_proxy_s,7914;7915;7916,false,516;517;518,rho;U,true,"recirculation CV cells, exchange interface, interface normals, and cell volumes",proxy residence time from recirculation CV inventory divided by the same positive-outward exchange flux basis; no alternative flux label may be substituted,true,false,ready_for_terminal_window_sampling_needs_mesh_time_equivalence_gate,false,false
salt_2,medium,wall_core_bulk_temperature_contrast_K,7914;7915;7916,false,516;517;518,T;rho,true,"trusted wall band, core band, bulk CV cells, and averaging provenance","same-mask wall/core/bulk temperature contrast in K; wall, core, and bulk averaging weights must match the target-window temporal UQ rows",true,false,ready_for_terminal_window_sampling_needs_mesh_time_equivalence_gate,false,false
salt_2,fine,Q_wall_W,7914;7915;7916,false,397;398;399,wallHeatFlux,true,"trusted_wall_vtk, wall face areas, wall provenance, and face normals",integral of sampled wallHeatFlux over trusted_wall faces; positive Q_wall_W adds heat to the recirculation/exchange control-volume fluid,true,false,ready_for_terminal_window_sampling_needs_mesh_time_equivalence_gate,false,false
salt_2,fine,mdot_exchange_positive_outward_proxy_kg_s,7914;7915;7916,false,397;398;399,rho;U,true,"exchange_interface_vtk, interface areas, normals, and CV provenance","surface integral of max(rho * U dot n_outward, 0) over the trusted exchange interface; positive is outward from the recirculation CV",true,false,ready_for_terminal_window_sampling_needs_mesh_time_equivalence_gate,false,false
salt_2,fine,tau_recirc_proxy_s,7914;7915;7916,false,397;398;399,rho;U,true,"recirculation CV cells, exchange interface, interface normals, and cell volumes",proxy residence time from recirculation CV inventory divided by the same positive-outward exchange flux basis; no alternative flux label may be substituted,true,false,ready_for_terminal_window_sampling_needs_mesh_time_equivalence_gate,false,false
salt_2,fine,wall_core_bulk_temperature_contrast_K,7914;7915;7916,false,397;398;399,T;rho,true,"trusted wall band, core band, bulk CV cells, and averaging provenance","same-mask wall/core/bulk temperature contrast in K; wall, core, and bulk averaging weights must match the target-window temporal UQ rows",true,false,ready_for_terminal_window_sampling_needs_mesh_time_equivalence_gate,false,false
salt_3,medium,Q_wall_W,7617;7618;7619,false,1338;1339;1340,wallHeatFlux,true,"trusted_wall_vtk, wall face areas, wall provenance, and face normals",integral of sampled wallHeatFlux over trusted_wall faces; positive Q_wall_W adds heat to the recirculation/exchange control-volume fluid,true,false,ready_for_terminal_window_sampling_needs_mesh_time_equivalence_gate,false,false
salt_3,medium,mdot_exchange_positive_outward_proxy_kg_s,7617;7618;7619,false,1338;1339;1340,rho;U,true,"exchange_interface_vtk, interface areas, normals, and CV provenance","surface integral of max(rho * U dot n_outward, 0) over the trusted exchange interface; positive is outward from the recirculation CV",true,false,ready_for_terminal_window_sampling_needs_mesh_time_equivalence_gate,false,false
