source,gate,status,blocks_freeze,evidence
S12-HIAX1_train_score_gate,legal_train_solve_metrics,pass,false,"Phase E train-only solve emitted finite mdot, pressure-root, TP, TW, and all-probe residual metrics."
S12-HIAX1_train_score_gate,s12_exchange_state_available,fail,true,"S12 still lacks V_recirc, mdot_exchange, tau_recirc, paired thermal state, pressure residual, and energy residual evidence."
S12-HIAX1_train_score_gate,source_property_release,fail,true,"Architecture is source-backed but no source-bounded coefficient, property sensitivity, or split release exists."
S12-HIAX1_train_score_gate,attribution_freeze_complete,fail,true,Prior attribution/freeze package has no frozen candidate and reports missing canonical coverage/full-solve/source-property gates.
S12-HIAX1_train_score_gate,validation_holdout_external_unconsumed,pass,false,"Phase E runtime audit consumed no validation, holdout, or external-test rows."
thermal_residual_ownership_gate,single_physical_candidate_available,fail,true,No candidate has finite train score plus source/property/same-QOI readiness.
thermal_residual_ownership_gate,repeat_failed_s8_families_avoided,pass,false,S8 prior wall/test-section selector families remain rejected.
thermal_residual_ownership_gate,passive_repair_source_basis,fail,true,PASSIVE-H2-CAND001 gate decision is needs_more_source.
thermal_residual_ownership_gate,exchange_state_and_uq,fail,true,S12-HIAX1 still lacks exchange-state harvest and same-QOI UQ.
thermal_residual_ownership_gate,empirical_correction_physics_admission,fail,true,Empirical leg-bias layer is diagnostic residual ownership only.
thermal_residual_ownership_gate,overall_decision,needs_more_physical_basis,true,5 evidence families reviewed; none releases a repair or S11 candidate.
