priority,fitting_id,action_class,required_next_evidence,candidate_followon_lane,must_remain_forbidden
1,FIT-CORNER-LOWER-LEFT,recirculation_or_exchange_cell_gate,part_number;bend_radius_ratio_Rc_over_D;miter_flag;number_of_miters;true_component_boundaries;downstream_recovery_length_D;tap_plane_sweep;same_QOI_mesh_time_UQ;final_velocity_basis;recirculation_threshold_calibration,basis_recovery_and_recirc_gate_before_any_component_or_cluster_review,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K
2,FIT-CORNER-LOWER-RIGHT,recirculation_or_exchange_cell_gate,component_isolation;ordinary_low_reverse_anchor;admissible_straight_reference;same_QOI_mesh_time_UQ;final_q_ref_orientation;recovery_length_D;part_number;bend_radius_ratio_Rc_over_D,use nonrecirculating same-topology anchor for ordinary K contrast or recirc residual scorer for section-effective lane,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K
3,FIT-CORNER-UPPER-RIGHT,pressure_basis_component_isolation_gate,part_number;bend_radius_ratio_Rc_over_D;miter_flag;number_of_miters;true_component_boundaries;downstream_recovery_length_D;tap_plane_sweep;same_QOI_mesh_time_UQ;final_velocity_basis;recirculation_threshold_calibration,recover pressure/velocity basis and component isolation before any cluster_K review,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K
4,FIT-CORNER-UPPER-LEFT,recirculation_or_exchange_cell_gate,part_number;bend_radius_ratio_Rc_over_D;miter_flag;number_of_miters;true_component_boundaries;downstream_recovery_length_D;tap_plane_sweep;same_QOI_mesh_time_UQ;final_velocity_basis;recirculation_threshold_calibration,basis_recovery_and_recirc_gate_before_any_component_or_cluster_review,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K
5,FIT-QUARTZ-LOWER-TRANSITION,geometry_source_gap,actual transition length;reducer_half_angle;edge_radius;part_number;pressure_tap_planes;hydrostatic/kinetic split;straight_reference;recirculation/exchange-cell treatment;same_QOI_UQ,"extract transition geometry and pressure planes, then keep as section/cluster unless recirculation is resolved",numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K
6,FIT-QUARTZ-UPPER-TRANSITION,geometry_source_gap,actual transition length;expansion_half_angle;edge_radius;recovery_length_D;pressure_recovery_sweep;hydrostatic/kinetic split;straight_reference;recirculation/exchange-cell treatment;same_QOI_UQ,separate static recovery from loss and keep as test-section complex residual until evidence isolates component,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K
7,CLUSTER-TEST-SECTION-COMPLEX,recirculation_or_exchange_cell_gate,component boundaries;cell volume;exchange mass flux;recirculation residence time;pressure residual family;same_QOI_UQ;pressure planes that bracket only the complex;thermal/pressure residual split,handoff to throughflow_plus_recirc_exchange_cell lane after CFD cell evidence exists,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K
8,FIT-HEAT-EXCHANGER-REDUCER,geometry_source_gap,exact location;D_up;D_down;area_ratio;reducer_or_expansion_angle;edge_radius;part_number;pressure planes;velocity basis;cooler/reducer cluster boundaries;straight reference;same_QOI_UQ,recover facility part/dimensions and decide whether pressure planes can bracket reducer separately from cooler jacket,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K
9,FIT-TEE-CORNER-FACILITY,pressure_basis_component_isolation_gate,exact location;part_number;branch numbering;tee topology;branch angle;junction_angle;flow_split_ratio;signed path mdot;pressure nodes;velocity basis;pressure basis;recirculation map;same_QOI_UQ,only open signed-flow junction lane if a discrete modeled branch changes net sign; otherwise route local exchange to MF-04,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K
10,CLUSTER-JUNCTION-OTHER,pressure_basis_component_isolation_gate,which physical fittings are included;pressure planes;component boundaries;thermal/pressure separation;geometry class per fitting;velocity basis;hydrostatic and kinetic corrections;same_QOI_UQ,build physical junction map from facility/CAD/mesh patches before pressure source-envelope review,numeric_K_import;component_K_admission;F6_fit;hidden_global_multiplier;clipped_or_sign_flipped_K
