assumption_id,workstream,assumption,method,source_path,process_step,validation_check,risk_if_wrong,owner_lane,status
zero_fit_internal_nu,internal-Nu admission,Current fit-admissible internal-Nu row count is zero.,"Carry the AGENT-319/330/339 admission decision forward; do not infer fit eligibility from diagnostic Nu, HTC, UA, or section-effective rows.",work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/README.md,"Before any model fit, read the admission table and confirm a later dated gate has explicitly admitted rows.",README and admission tables must state current fit-admissible upcomer/internal-Nu rows remain 0.,"A forward model can silently absorb boundary, heater, cooler, storage, radiation, or recirculation residuals into Nu.",internal-Nu,active_assumption
section_effective_only_under_recirculation,coefficient naming,"Recirculating upcomer rows may use section-effective diagnostic labels, not true single-stream Nu/f_D/K labels.","Classify rows with reverse-flow, Ri, or recirculation evidence as invalid single-stream coefficients unless all fit gates pass.",work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_nu_admission_criteria.csv,Apply naming policy before exporting coefficients to downstream fitting or reporting tables.,`Nu_section_effective_upcomer_diagnostic` is allowed only for diagnostic/validation use and forbidden for fit.,A mixed-convection cell is mislabeled as ordinary pipe convection and contaminates correlations.,internal-Nu; therm-reconstr,active_assumption
geometric_plane_normal,matched-plane extraction,"The plane normal for upcomer extraction must be geometric and oriented nominal inlet-to-outlet, not mean-velocity based.",Use mesh station tangent and fixed plane definitions; carry sign and reverse-flow metrics separately.,work_products/2026-07/2026-07-14/2026-07-14_upcomer_internal_nu_extraction_contract/upcomer_extraction_contract.csv,Reject admission-grade extraction rows that used mean-velocity normals.,Extractor metadata records geometric normal and plane location for inlet/mid/outlet.,The sampling normal can rotate with the cell and hide reverse flow.,therm-reconstr,active_assumption
existing_proxies_diagnostic_only,matched-plane extraction,Existing upcomer plane proxies are diagnostic because they lack face areas and matched wall-band wall T plus wallHeatFlux.,Treat AGENT-341 parsed values as planning/proxy rows until compute-node OpenFOAM sampling supplies the required fields.,work_products/2026-07/2026-07-14/2026-07-14_upcomer_matched_plane_extraction_plan/README.md,Keep proxy rows out of fit and validation admission tables.,Matched-plane package states admission-grade extraction still requires compute-node sampling.,A partial proxy row is promoted to an admission row without required thermal and vector metrics.,therm-reconstr,active_assumption
corrected_q_pending_terminal_harvest,cfd-pp,"Corrected-Q rows are not admitted until terminal harvest, steady/admission review, and recirculation extraction complete.",Use corrected-Q candidate rows only as pending transition evidence until their terminal package is available.,work_products/2026-07/2026-07-14/2026-07-14_salt_cfd_training_evidence_inventory/upcomer_onset_candidate_cases.csv,"Monitor/harvest submitted jobs, then rerun steady-state and admission gates before Nu use.","Candidate inventory marks selected corrected-Q rows as pending-terminal-harvest, running, stopped, or sensitivity-only.",Transient or under-advanced rows can falsely bracket recirculation onset.,cfd-pp,active_assumption
smoke_repair_rows_diagnostic_until_admitted,mesh/GCI,Repaired or smoke thermal outputs remain diagnostic until an explicit gate admits them.,"Do not convert readable repaired outputs into fit or publication GCI rows without sign, heat-balance, triplet, and uncertainty gates.",.agent/BLOCKERS.md,"Keep closure-QOI mesh/GCI as the active trust limiter, not stale reconstruction blockers.",Blocker ledger says refined-T corruption is resolved and closure-qoi-mesh-gci remains open.,Thermal mesh uncertainty is claimed before row-level admission is complete.,mesh/GCI; internal-Nu,active_assumption
radiation_embedded_no_qr,thermal boundary semantics,CFD rcExternalTemperature wallHeatFlux includes radiation; no separate exported qr term exists for current rows.,Carry radiation as embedded wallHeatFlux semantics and forbid an extra Nu or wall residual for qr unless a future source explicitly exports qr.,work_products/2026-07/2026-07-14/2026-07-14_boundary_internal_nu_residual_guardrails/README.md,Check thermal sign/boundary semantics before any heat-balance or Nu admission.,No downstream row adds separate radiation on top of CFD wallHeatFlux.,Radiation is double-counted or incorrectly assigned to internal Nu.,BC-modeling; internal-Nu,active_assumption
no_realized_cfd_inputs_for_forward_runtime,forward predictive model,"Forward models must not consume realized CFD mdot, wallHeatFlux, or validation temperatures as runtime inputs.","Use extracted CFD quantities as diagnostics/admission evidence only, not predictive inputs.",work_products/2026-07/2026-07-14/2026-07-14_final_forward_v1_scorecard_gate/README.md,Audit every proposed forward run input against setup/calibrated/validation/diagnostic classifications.,Forward-v1 gate rejects fitted internal Nu consumption and preserves train/validation/holdout separation.,The model becomes a replay or leakage exercise rather than a predictive model.,forward-pred; internal-Nu,active_assumption
f6_waits_admitted_re_variation,hydraulics,"F6 friction/Re correction is a hydraulics candidate, but it waits for admitted Re-variation rows.",Keep pressure-loss validation primary and do not let thermal Nu evidence backfill hydraulic K/f gaps.,work_products/2026-07/2026-07-14/2026-07-14_hydraulic_reset_k_admission_contract/README.md,"After corrected-Q/target-Re admission, rebuild F6 pressure-loss scorecards.",Hydraulic contract reports 0 component/cluster K fit-admissible rows and F6 blocked pending admitted Re variation.,Hydraulic error is hidden in thermal coefficients.,hydraulics; cfd-pp,active_assumption
residual_ownership_before_nu_fit,thermal residual ownership,"Heater, cooler, passive loss, wall storage, radiation, and branch mixing residuals must be assigned before Nu fitting reopens.",Use residual ownership lanes as a prefit ledger; Nu can receive only its physically admissible internal-convection residual.,work_products/2026-07/2026-07-14/2026-07-14_boundary_internal_nu_residual_guardrails/README.md,Run residual ownership audit after extraction and before any fit decision.,Every residual row has an owner lane and an explicit `do not fit into Nu` disposition where applicable.,Internal Nu becomes a compensating knob for missing boundary physics.,BC-modeling; internal-Nu; forward-pred,active_assumption
