evidence_id,source_path,observed_count_or_value,status,allowed_claim,forbidden_claim,next_task
s4_ordinary_candidates_reviewed,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s4_recirculation_guard_upcomer_hybrid/README.md,90,present,S4 reviewed ordinary single-stream candidate rows for upcomer applicability.,Do not treat reviewed rows as admitted ordinary upcomer Nu/f_D/K coefficients.,Keep disabled unless exact low-recirculation or ordinary-flow anchors pass release gates.
s4_ordinary_closure_disable_rows,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s4_recirculation_guard_upcomer_hybrid/README.md,4,present,S4 supplies positive guard evidence for disabling ordinary single-stream labels.,Do not fit a one-stream closure from recirculating upcomer rows.,Use disable rows as model-form rationale in thesis evidence.
s4_reverse_flow_exchange_diagnostic_rows,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s4_recirculation_guard_upcomer_hybrid/README.md,45,present,Reverse-flow/exchange evidence supports recirculation-aware model-form discussion.,Do not score or admit exchange-cell coefficients from diagnostic rows alone.,Join with same-window QOIs and UQ in a later candidate row.
s4_exchange_variables_reviewed,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s4_recirculation_guard_upcomer_hybrid/README.md,14,present,Variable contract exists for exchange-cell evidence planning.,Do not claim variables are all populated for candidate admission.,Complete V_recirc/mdot_exchange/tau_recirc extraction and UQ.
s4_ordinary_upcomer_coefficients_admitted,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s4_recirculation_guard_upcomer_hybrid/README.md,0,present,Ordinary upcomer Nu/f_D/K remain closed.,Do not reopen ordinary upcomer closure from this packet.,Seek separate nonrecirculating anchor evidence if ordinary closure is ever reconsidered.
s4_exchange_cell_coefficients_admitted,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s4_recirculation_guard_upcomer_hybrid/README.md,0,present,Exchange-cell coefficient admission remains closed.,Do not report exchange coefficients in thesis results.,Require same-window exchange QOIs/UQ and split-safe candidate scoring.
s9_grouped_onset_exchange_rows,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/README.md,14,present,S9 enriches recirculation/onset evidence.,Do not claim S9 unblocks S11.,Use as negative-result/onset-gap evidence.
s9_exchange_qoi_contract_rows,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/README.md,6,present,Exchange-QOI contract rows define what must be measured.,Do not infer missing exchange QOIs from rendered figures.,Populate contract rows in a later sampler/harvest row.
s9_s11_ready_upcomer_candidates,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s9_upcomer_onset_anchor_exchange_uq/README.md,0,present,S11 remains blocked for upcomer exchange candidate release.,Do not launch source/property refresh from S9 evidence alone.,Reassess only after exactly one candidate passes S9 release gate.
current_section_hybrid_lane,reports/thesis_dossier/Chapters_and_sections/current/04_upcomer_recirculation_modeling.md,throughflow_pipe_plus_recirculation_cell,present,Current thesis section routes upcomer to a hybrid lane.,Do not equate hybrid lane with admitted predictive coefficients.,Use as narrative structure and keep admission caveats visible.
