claim_id,question_id,value,units,scope_or_case,source_path,allowed_use,forbidden_use
C01,Q1_MDOT_NOT_THERMAL,0,count,current thesis candidate roster,work_products/2026-07/2026-07-22/2026-07-22_thesis_compact_numerical_claims_ledger/compact_numerical_claims_ledger.csv,state no model is currently admitted as final predictive candidate,do not imply no model can ever work
C02,Q1_MDOT_NOT_THERMAL,0,count,current final score ledger,work_products/2026-07/2026-07-22/2026-07-22_thesis_compact_numerical_claims_ledger/compact_numerical_claims_ledger.csv,state final score values are intentionally absent before freeze,do not score protected rows
C03,Q1_MDOT_NOT_THERMAL,4.38159298515,K,D2 TP RMSE,work_products/2026-07/2026-07-22/2026-07-22_thesis_compact_numerical_claims_ledger/compact_numerical_claims_ledger.csv,show TP projection context,do not call it a final score
C04,Q1_MDOT_NOT_THERMAL,12.5130610954,K,D2 TW RMSE,work_products/2026-07/2026-07-22/2026-07-22_thesis_compact_numerical_claims_ledger/compact_numerical_claims_ledger.csv,show TW remains a separate harder gate,do not claim wall closure admission
C05,Q3_RUNTIME_LEGALITY,8,count,CFD legal-use evidence classes,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_cfd_legal_use_matrix/cfd_legal_use_matrix.csv,support runtime/diagnostic separation,do not treat diagnostics as inputs
C06,Q3_RUNTIME_LEGALITY,16,count,split-role rows,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_cfd_legal_use_matrix/case_split_legal_use_table.csv,support split separation,do not mix train validation holdout external roles
C07,Q3_RUNTIME_LEGALITY,1302,count,1D smoke runtime manifest rows,work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_execution/summary.json,show preflight runtime manifest coverage,do not interpret as solve result
C08,Q3_RUNTIME_LEGALITY,0,count,forbidden runtime field values in 1D smoke preflight,work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_execution/summary.json,show manifest legality before compute job completion,do not claim solve success
C09,Q4_CORRELATION_SOURCE_ENVELOPE,0,count,ordinary upcomer Nu/f_D/K admitted rows,work_products/2026-07/2026-07-22/2026-07-22_mf09_recirculating_upcomer_thermal_model_alternatives/README.md,justify ordinary-closure disablement,do not fit ordinary closure in recirculating rows
C10,Q4_CORRELATION_SOURCE_ENVELOPE,0,count,existing replacement-ready low-reverse pressure anchors,work_products/2026-07/2026-07-22/2026-07-22_pressure_alternate_low_reverse_anchor_screen/README.md,justify pressure anchor blocker,do not admit component-K/F6
C11,Q6_SCORE_DISCIPLINE,3310985,slurm_job_id,1D train-only smoke job,work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_execution/RUNNING.md,monitor train-only smoke progress,do not submit duplicate job
C12,Q6_SCORE_DISCIPLINE,36,count,executable train-only Fluid solves in running smoke,work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_execution/summary.json,show scope of train-only smoke,do not use as final score
