case_id,source_id,qoi_family,lane,qoi_id,span,segment,method,quantity,classification,primary_bucket,current_publication_ready,current_fit_admissible,complete_triplet,coarse_available,medium_available,fine_available,gci_status,gci_verdict,gci_trustworthy,admission_remaining,extraction_remaining,next_artifact_needed,next_resolution_action,diagnostic_use_allowed,source_paths
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::left_lower_leg::section_mean_static_gradient,left_lower_leg,left_lower_leg,section_mean_static_gradient,apparent_darcy_f,non-monotone/oscillatory,gci_failed_no_resolution_without_reextract_or_remesh,no,no,yes,yes,yes,yes,not_computed_non_monotone_or_divergent,oscillatory,no,exclude from final closure set or produce same-QOI monotone/asymptotic triplet,no missing levels; targeted same-plane/same-window re-extraction or conformal-first remesh only if this QoI remains in final closure set,final closure-set exclusion decision or remeshed/re-extracted monotone triplet package,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,yes,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::left_lower_leg::section_mean_total_pressure_gradient,left_lower_leg,left_lower_leg,section_mean_total_pressure_gradient,apparent_darcy_f,non-monotone/oscillatory,gci_failed_no_resolution_without_reextract_or_remesh,no,no,yes,yes,yes,yes,not_computed_non_monotone_or_divergent,oscillatory,no,exclude from final closure set or produce same-QOI monotone/asymptotic triplet,no missing levels; targeted same-plane/same-window re-extraction or conformal-first remesh only if this QoI remains in final closure set,final closure-set exclusion decision or remeshed/re-extracted monotone triplet package,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,yes,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::left_upper_leg::section_mean_static_gradient,left_upper_leg,left_upper_leg,section_mean_static_gradient,apparent_darcy_f,blocked-missing-triplet,missing_triplet_extraction_or_reconciliation_required,no,no,no,no,yes,yes,not_computed_missing_triplet,,,admit pressure source row and same-QOI mesh-level provenance after missing triplet is reconciled,missing_or_unreconciled_mesh_levels=coarse,staged same-QOI mesh-level extraction or reconciliation package before admitted-only GCI,reconcile missing mesh-level values first; do not compute publication GCI yet,yes,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::left_upper_leg::section_mean_total_pressure_gradient,left_upper_leg,left_upper_leg,section_mean_total_pressure_gradient,apparent_darcy_f,blocked-missing-triplet,missing_triplet_extraction_or_reconciliation_required,no,no,no,no,yes,yes,not_computed_missing_triplet,,,admit pressure source row and same-QOI mesh-level provenance after missing triplet is reconciled,missing_or_unreconciled_mesh_levels=coarse,staged same-QOI mesh-level extraction or reconciliation package before admitted-only GCI,reconcile missing mesh-level values first; do not compute publication GCI yet,yes,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::lower_leg::section_mean_static_gradient,lower_leg,lower_leg,section_mean_static_gradient,apparent_darcy_f,non-monotone/oscillatory,gci_failed_no_resolution_without_reextract_or_remesh,no,no,yes,yes,yes,yes,not_computed_non_monotone_or_divergent,oscillatory,no,"exclude from final closure set or produce same-QOI monotone/asymptotic triplet; resolve pressure fit-safety, pressure-recovery/noise, tap orientation, straight-loss subtraction, and recirculation gates",no missing levels; targeted same-plane/same-window re-extraction or conformal-first remesh only if this QoI remains in final closure set,final closure-set exclusion decision or remeshed/re-extracted monotone triplet package,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,yes,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::lower_leg::section_mean_total_pressure_gradient,lower_leg,lower_leg,section_mean_total_pressure_gradient,apparent_darcy_f,non-monotone/oscillatory,gci_failed_no_resolution_without_reextract_or_remesh,no,no,yes,yes,yes,yes,not_computed_non_monotone_or_divergent,oscillatory,no,"exclude from final closure set or produce same-QOI monotone/asymptotic triplet; resolve pressure fit-safety, pressure-recovery/noise, tap orientation, straight-loss subtraction, and recirculation gates",no missing levels; targeted same-plane/same-window re-extraction or conformal-first remesh only if this QoI remains in final closure set,final closure-set exclusion decision or remeshed/re-extracted monotone triplet package,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,yes,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::right_leg::section_mean_static_gradient,right_leg,right_leg,section_mean_static_gradient,apparent_darcy_f,non-monotone/oscillatory,gci_failed_no_resolution_without_reextract_or_remesh,no,no,yes,yes,yes,yes,not_computed_non_monotone_or_divergent,oscillatory,no,"exclude from final closure set or produce same-QOI monotone/asymptotic triplet; resolve pressure fit-safety, pressure-recovery/noise, tap orientation, straight-loss subtraction, and recirculation gates",no missing levels; targeted same-plane/same-window re-extraction or conformal-first remesh only if this QoI remains in final closure set,final closure-set exclusion decision or remeshed/re-extracted monotone triplet package,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,yes,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::right_leg::section_mean_total_pressure_gradient,right_leg,right_leg,section_mean_total_pressure_gradient,apparent_darcy_f,non-monotone/oscillatory,gci_failed_no_resolution_without_reextract_or_remesh,no,no,yes,yes,yes,yes,not_computed_non_monotone_or_divergent,oscillatory,no,"exclude from final closure set or produce same-QOI monotone/asymptotic triplet; resolve pressure fit-safety, pressure-recovery/noise, tap orientation, straight-loss subtraction, and recirculation gates",no missing levels; targeted same-plane/same-window re-extraction or conformal-first remesh only if this QoI remains in final closure set,final closure-set exclusion decision or remeshed/re-extracted monotone triplet package,either exclude row from final closure set or rerun same-QOI extraction on better mesh/source contract,yes,work_products/2026-06/2026-06-30/2026-06-30_claude_segment_friction/segment_friction.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_gci_results.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::test_section_span::section_mean_static_gradient,test_section_span,test_section_span,section_mean_static_gradient,apparent_darcy_f,blocked-missing-triplet,missing_triplet_extraction_or_reconciliation_required,no,no,no,no,yes,yes,not_computed_missing_triplet,,,admit pressure source row and same-QOI mesh-level provenance after missing triplet is reconciled,missing_or_unreconciled_mesh_levels=coarse,staged same-QOI mesh-level extraction or reconciliation package before admitted-only GCI,reconcile missing mesh-level values first; do not compute publication GCI yet,yes,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,closure,pressure_gradient_friction,pressure_gradient_friction::test_section_span::section_mean_total_pressure_gradient,test_section_span,test_section_span,section_mean_total_pressure_gradient,apparent_darcy_f,blocked-missing-triplet,missing_triplet_extraction_or_reconciliation_required,no,no,no,no,yes,yes,not_computed_missing_triplet,,,admit pressure source row and same-QOI mesh-level provenance after missing triplet is reconciled,missing_or_unreconciled_mesh_levels=coarse,staged same-QOI mesh-level extraction or reconciliation package before admitted-only GCI,reconcile missing mesh-level values first; do not compute publication GCI yet,yes,work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/friction_mesh_comparison.csv;work_products/2026-07/2026-07-13/2026-07-13_salt2_closure_qoi_mesh_gci/closure_qoi_admission_decisions.csv
