case_key,source_id,salt_number,variant,q_ratio,target_heater_power_W,parent_restart_time_s,case_stage_path,submitted_job_ids,part_of_live_selected_job_3293924,live_slurm_step,preflight_overall_ok,run_state,latest_time_s,previous_gate_status,terminal_status_evidence_path,solver_log_path,admission_verdict,action_needed
salt1_hi10q,salt1_jin_hi10q_corrected,salt1,hi10q,1.10,255.53,3756.33125,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,3288636;3288638;3288651;3288661;3288666;3288671,no,,,failed,5587.9879518072294,Not accepted; early monitor/End path. Repair/rerun before treating as continuation evidence.,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,not-admissible,"investigate failed high-Q attempt, document cause, then rebuild/rerun from corrected restart if still needed"
salt1_lo10q,salt1_jin_lo10q_corrected,salt1,lo10q,0.90,209.07,3756.33125,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,3275448;3288636;3288638;3288651;3288661;3288666;3288671,no,,,stopped,8016.7467532467581,"Partial usable window, but gate says too_short; hold until Salt1 policy resolves, then continue if still useful.",work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,diagnostic-only,define Salt1 policy and verify diagnostic-only convergenceMonitor before any continuation
salt2_hi10q,salt2_jin_hi10q_corrected,salt2,hi10q,1.10,292.27,7915,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,3293924,yes,3293924.1,True,running,10030.441989,"Partial usable window, but gate says too_short; first-wave continuation candidate.",jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/slurm-saltq_sel_cont-3293924.out; jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/slurm-saltq_sel_cont-3293924.err; jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3293924.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,pending-terminal-harvest,"harvest terminal logs and postprocess after Slurm exits, then run operating-point steady/admission gate"
salt2_hi5q,salt2_jin_hi5q_corrected,salt2,hi5q,1.05,278.985,7915,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,3275449,no,,,stopped,9780.590909091,Partial/under-advanced; gate says too_short; deferred continuation candidate.,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,sensitivity-only,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised
salt2_lo10q,salt2_jin_lo10q_corrected,salt2,lo10q,0.90,239.13,7915,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,3293924,yes,3293924.0,True,running,10661.674847,"Partial usable window, but gate says too_short; first-wave continuation candidate.",jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/slurm-saltq_sel_cont-3293924.out; jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/slurm-saltq_sel_cont-3293924.err; jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3293924.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,pending-terminal-harvest,"harvest terminal logs and postprocess after Slurm exits, then run operating-point steady/admission gate"
salt2_lo5q,salt2_jin_lo5q_corrected,salt2,lo5q,0.95,252.415,7915,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,,no,,,stopped,10275.910714286,Partial/under-advanced; gate says too_short; deferred continuation candidate.,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,sensitivity-only,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised
salt3_hi10q,salt3_jin_hi10q_corrected,salt3,hi10q,1.10,327.25,7618,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,,no,,,failed,7637.875696673,Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,not-admissible,"investigate failed high-Q attempt, document cause, then rebuild/rerun from corrected restart if still needed"
salt3_hi5q,salt3_jin_hi5q_corrected,salt3,hi5q,1.05,312.375,7618,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,3275450,no,,,failed,7639.476190476,Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,not-admissible,"investigate failed high-Q attempt, document cause, then rebuild/rerun from corrected restart if still needed"
salt3_lo10q,salt3_jin_lo10q_corrected,salt3,lo10q,0.90,267.75,7618,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,,no,,,stopped,9428.159090909,Partial/under-advanced; gate says too_short; deferred continuation candidate.,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,sensitivity-only,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised
salt3_lo5q,salt3_jin_lo5q_corrected,salt3,lo5q,0.95,282.625,7618,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,,no,,,stopped,9389.171270718,Partial/under-advanced; gate says too_short; deferred continuation candidate.,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,sensitivity-only,continue or re-gate after sufficient perturbed operating-point window; do not fit until split policy is revised
