case_id,feature,gate,status,evidence,blocker,source_paths
salt_2,corner_lower_right,pressure_and_velocity_basis,fail,preserved feature loss available; raw endpoint pressure fields blank; velocity basis remains proxy,raw_endpoint_pressure_and_final_velocity_basis_missing,work_products/2026-07/2026-07-17/2026-07-17_two_tap_component_repair_contract/component_repair_targets.csv;work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv
salt_2,corner_lower_right,straight_reference,fail,K_local_centerline=-49.8511935701 after centerline straight-loss subtraction,current_centerline_reference_over_subtracts_local_loss,work_products/2026-07/2026-07-14/2026-07-14_hydraulic_tap_length_admission_refresh/component_cluster_k_recomputed_admission_table.csv
salt_2,corner_lower_right,component_isolation,fail,component row is still a cluster/component candidate without reset-development exclusion,component_K_not_isolated_from_reset_development_or_branch_apparent_loss,work_products/2026-07/2026-07-17/2026-07-17_two_tap_component_repair_contract/component_repair_targets.csv;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_pressure_evidence_corner_k_diagnosis/corner_k_gate_matrix.csv
salt_2,corner_lower_right,recirculation_policy,fail,same-window RAF/RMF/SVF fields are blank for this feature row,same_window_reverse_and_secondary_flow_metrics_missing,work_products/2026-07/2026-07-15/2026-07-15_staged_closure_qoi_pressure_sbatch/raw_pressure_two_tap_harvest.csv
salt_2,corner_lower_right,same_qoi_mesh_time_UQ,fail,same pressure-loss QoI mesh/time uncertainty unavailable,same_qoi_mesh_time_uncertainty_missing,work_products/2026-07/2026-07-17/2026-07-17_two_tap_component_repair_contract/acceptance_gate_matrix.csv
salt_3,corner_lower_right,pressure_and_velocity_basis,fail,preserved feature loss available; raw endpoint pressure fields blank; velocity basis remains proxy,raw_endpoint_pressure_and_final_velocity_basis_missing,work_products/2026-07/2026-07-17/2026-07-17_two_tap_component_repair_contract/component_repair_targets.csv;work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv
salt_3,corner_lower_right,straight_reference,fail,K_local_centerline=-42.4613158707 after centerline straight-loss subtraction,current_centerline_reference_over_subtracts_local_loss,work_products/2026-07/2026-07-14/2026-07-14_hydraulic_tap_length_admission_refresh/component_cluster_k_recomputed_admission_table.csv
salt_3,corner_lower_right,component_isolation,fail,component row is still a cluster/component candidate without reset-development exclusion,component_K_not_isolated_from_reset_development_or_branch_apparent_loss,work_products/2026-07/2026-07-17/2026-07-17_two_tap_component_repair_contract/component_repair_targets.csv;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_pressure_evidence_corner_k_diagnosis/corner_k_gate_matrix.csv
salt_3,corner_lower_right,recirculation_policy,fail,same-window RAF/RMF/SVF fields are blank for this feature row,same_window_reverse_and_secondary_flow_metrics_missing,work_products/2026-07/2026-07-15/2026-07-15_staged_closure_qoi_pressure_sbatch/raw_pressure_two_tap_harvest.csv
salt_3,corner_lower_right,same_qoi_mesh_time_UQ,fail,same pressure-loss QoI mesh/time uncertainty unavailable,same_qoi_mesh_time_uncertainty_missing,work_products/2026-07/2026-07-17/2026-07-17_two_tap_component_repair_contract/acceptance_gate_matrix.csv
salt_4,corner_lower_right,pressure_and_velocity_basis,fail,preserved feature loss available; raw endpoint pressure fields blank; velocity basis remains proxy,raw_endpoint_pressure_and_final_velocity_basis_missing,work_products/2026-07/2026-07-17/2026-07-17_two_tap_component_repair_contract/component_repair_targets.csv;work_products/2026-07/2026-07-08/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv
salt_4,corner_lower_right,straight_reference,fail,K_local_centerline=-35.6268419138 after centerline straight-loss subtraction,current_centerline_reference_over_subtracts_local_loss,work_products/2026-07/2026-07-14/2026-07-14_hydraulic_tap_length_admission_refresh/component_cluster_k_recomputed_admission_table.csv
salt_4,corner_lower_right,component_isolation,fail,component row is still a cluster/component candidate without reset-development exclusion,component_K_not_isolated_from_reset_development_or_branch_apparent_loss,work_products/2026-07/2026-07-17/2026-07-17_two_tap_component_repair_contract/component_repair_targets.csv;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_pressure_evidence_corner_k_diagnosis/corner_k_gate_matrix.csv
salt_4,corner_lower_right,recirculation_policy,fail,same-window RAF/RMF/SVF fields are blank for this feature row,same_window_reverse_and_secondary_flow_metrics_missing,work_products/2026-07/2026-07-15/2026-07-15_staged_closure_qoi_pressure_sbatch/raw_pressure_two_tap_harvest.csv
salt_4,corner_lower_right,same_qoi_mesh_time_UQ,fail,same pressure-loss QoI mesh/time uncertainty unavailable,same_qoi_mesh_time_uncertainty_missing,work_products/2026-07/2026-07-17/2026-07-17_two_tap_component_repair_contract/acceptance_gate_matrix.csv
