path,used_for,mutation_status
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-23/2026-07-23_empirical_bias_salt1_4_refit_holdout_external_score/refit_coefficients.csv,F1-based F2_global_affine temperature-correction coefficients (independently re-verified),read_only
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-23/2026-07-23_empirical_bias_salt1_4_refit_holdout_external_score/train_fit_quality.csv,F1-based F2_global_affine train MAE/RMSE (independently re-verified),read_only
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-23/2026-07-23_empirical_bias_salt1_4_refit_holdout_external_score/holdout_external_score_old_vs_new.csv,F1-based F2_global_affine validation MAE/RMSE for salt2_lo5q/hi5q/val_salt2 (independently re-verified),read_only
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/master_model_form_scoreboard.csv,M3 comparator TP/TW RMSE (independently re-verified),read_only
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/.agent/BLOCKERS.md,thermal-cfd-1d-parity guardrail phrase (independently re-verified verbatim),read_only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/friction_closures.py,"F4 calibrated-global-multiplier docstring line and F3_hagenbach/Shah(1978) citation (independently re-verified verbatim, read/run-only, not edited)",read_only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,"insulation-thickness formula and major_loss_multiplier default (independently re-verified verbatim, read/run-only, not edited)",read_only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/joint_htc_friction_calibration_weekend_focused_v1/trial_grid__salt.csv,"joint_htc_friction_calibration_weekend_focused_v1 trial grid (independently re-verified row count, TP/TW ranges, best mdot row, absence of friction_form column)",read_only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/practical_reduced_order_broadened_v1/analysis/scenario_rankings.csv,"practical_reduced_order_broadened_v1 scenario rankings (independently re-verified row count, best TP, absence of friction_form column)",read_only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/practical_reduced_order_broadened_v1/scenario_plan.csv,practical_reduced_order_broadened_v1 scenario plan (independently re-verified insulation-multiplier range tested: 0.85-1.5x),read_only
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/practical_reduced_order_broadened_v1/RUN_SUMMARY.md,practical_reduced_order_broadened_v1 RUN_SUMMARY.md mean/std TW RMSE excl TW10 (independently re-verified),read_only
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/CLAUDE.md,checked that neither prior sweep's name appears here (independently re-verified),read_only
work_products/2026-07/2026-07-23/2026-07-23_combined_best_current_model_temp_mdot_correction/friction_root_cause.csv,"f*Re=64.0 confirming F1 baseline (cited, prior sibling package, read-only)",read_only
"SESSION-ONLY, no file","friction closure comparison percentages (finding 1); F3_hagenbach T-refit (finding 2); insulation/friction sweeps (findings 5-7); validation-case raw-physics scores (finding 8); residual correction fit (finding 9); internal-Nu ablation (finding 10) -- all computed in-session via direct solve_case() calls this conversation, not written to any repo file, not re-run by this script",session_only_not_a_repo_file
