qoi_family,qoi_name,mesh_gci_phrase,thesis_destination,admission_wording,source_paths
pressure,lower_right_corner_available_pressure_residual,blocked: Prior rows explicitly mark mesh/GCI support missing or blocked.,Chapter 6 same-QOI uncertainty table; Chapter 7 pressure-corner limitation,No same-QOI uncertainty admission from Phase B.,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_isolation_uq_progress/same_qoi_mesh_uq.csv
pressure,corner_lower_right_section_effective_pressure_residual,blocked: Prior rows explicitly mark mesh/GCI support missing or blocked.,Chapter 6 pressure uncertainty gate; Chapter 7 pressure diagnostic caveat,No same-QOI uncertainty admission from Phase B.,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_isolation_uq_progress/same_qoi_mesh_uq.csv
pressure,F6_endpoint_pressure_delta,blocked: Prior rows explicitly mark mesh/GCI support missing or blocked.,Chapter 6 pressure/F6 uncertainty row; Chapter 7 F6 non-admission note,No same-QOI uncertainty admission from Phase B.,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/same_qoi_mesh_uq_diagnostic.csv
pressure,F6_endpoint_face_raw_pressure_velocity,blocked: Prior rows explicitly mark mesh/GCI support missing or blocked.,Chapter 6 F6 uncertainty blocker table; Chapter 7 pressure limitation,No same-QOI uncertainty admission from Phase B.,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/same_qoi_mesh_uq.csv
recirculation,pm10_pressure_partial_residual_v1,blocked: Prior rows explicitly mark mesh/GCI support missing or blocked.,Chapter 6 recirculation uncertainty gate; Chapter 7 source-envelope caveat,No same-QOI uncertainty admission from Phase B.,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
recirculation,V_recirc_mdot_exchange_tau_recirc,blocked: Exchange-state or terminal source QOIs are not harvested into a same-QOI mesh family.,Chapter 6 recirculation uncertainty gate; Chapter 7 upcomer validity envelope,No same-QOI uncertainty admission from Phase B.,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
recirculation,terminal_source_family_exchange_QOIs,blocked: Exchange-state or terminal source QOIs are not harvested into a same-QOI mesh family.,Chapter 6 recirculation source-readiness note; Chapter 7 validity envelope,No same-QOI uncertainty admission from Phase B.,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
thermal,HTC_UA_prime_Nu_and_thermal_segment_closure,diagnostic_only: Existing mesh evidence is useful for diagnostics but is incomplete for admission.,Chapter 6 thermal uncertainty rows; Chapter 7 heat-loss caveat,No same-QOI uncertainty admission from Phase B.,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_mesh_gate/thermal_mesh_gate_qois.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_mesh_gate_qois.csv
thermal,internal_Nu_fit_by_segment,"not_applicable: These rows are release/admission ledgers, not same-QOI retained mesh triplets.",Chapter 6 thermal uncertainty blocker; Chapter 7 ordinary upcomer disablement,No same-QOI uncertainty admission from Phase B.,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_mesh_gate/thermal_mesh_gate_qois.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_mesh_gate_qois.csv
heat_loss,HX_cooler_candidate_and_final_predictive_heat_path,"not_applicable: These rows are release/admission ledgers, not same-QOI retained mesh triplets.",Chapter 6 heat-loss uncertainty; Chapter 7 final scorecard limitation,No same-QOI uncertainty admission from Phase B.,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
heat_loss,upcomer_exchange_heat_loss_fields,blocked: Exchange-state or terminal source QOIs are not harvested into a same-QOI mesh family.,Chapter 6 heat-loss uncertainty and upcomer exchange blocker; Chapter 7 heat-loss limitations,No same-QOI uncertainty admission from Phase B.,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
same-QOI admission,cross_family_same_QOI_UQ_table,diagnostic_only: Existing mesh evidence is useful for diagnostics but is incomplete for admission.,Chapter 6 same-QOI admission table,No same-QOI uncertainty admission from Phase B.,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-06/2026-06-30/2026-06-30_claude_gci_study/gci_results.csv;work_products/2026-07/2026-07-16/2026-07-16_closure_qoi_mesh_gci_resolution/mesh_gci_gate_for_admitted_candidates.csv
