row_family,case_id,split_role,model_form,runtime_inputs_allowed,fit_source,score_source,admission_class,forward_v1_use,blocker,source_path
predictive_hx_closure,salt_2,train,salt2_fit_constant_UA_bulk_drive,"setup geometry, fit scalar, and model-predicted bulk/external drive only; no validation target or realized CFD cooler duty at runtime",Salt2-only fit,Salt3 validation and Salt4 holdout without refit,predictive_candidate,preferred_setup_legal_hx_candidate_pending_terminal_scorecard,terminal hydraulic/cfd-pp/internal gates still block final forward-v1 promotion,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_model_scores.csv
predictive_hx_closure,salt_3,validation,salt2_fit_constant_UA_bulk_drive,"setup geometry, fit scalar, and model-predicted bulk/external drive only; no validation target or realized CFD cooler duty at runtime",Salt2-only fit,Salt3 validation and Salt4 holdout without refit,predictive_candidate,preferred_setup_legal_hx_candidate_pending_terminal_scorecard,terminal hydraulic/cfd-pp/internal gates still block final forward-v1 promotion,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_model_scores.csv
predictive_hx_closure,salt_4,holdout,salt2_fit_constant_UA_bulk_drive,"setup geometry, fit scalar, and model-predicted bulk/external drive only; no validation target or realized CFD cooler duty at runtime",Salt2-only fit,Salt3 validation and Salt4 holdout without refit,predictive_candidate,preferred_setup_legal_hx_candidate_pending_terminal_scorecard,terminal hydraulic/cfd-pp/internal gates still block final forward-v1 promotion,work_products/2026-07/2026-07-14/2026-07-14_mdot_temperature_overnight_compute_node_run/setup_only_cooler_closure_bakeoff/cooler_model_scores.csv
predictive_hx_closure,salt_2,train,F1_heater_only + HX1_global_qhx_multiplier_on_fluid_airside,"setup geometry, fit scalar, and model-predicted bulk/external drive only; no validation target or realized CFD cooler duty at runtime",Salt2-only fit,Salt3 validation and Salt4 holdout without refit,predictive_candidate,secondary_reconciliation_candidate_not_promoted,terminal hydraulic/cfd-pp/internal gates still block final forward-v1 promotion,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv
predictive_hx_closure,salt_3,validation,F1_heater_only + HX1_global_qhx_multiplier_on_fluid_airside,"setup geometry, fit scalar, and model-predicted bulk/external drive only; no validation target or realized CFD cooler duty at runtime",Salt2-only fit,Salt3 validation and Salt4 holdout without refit,predictive_candidate,secondary_reconciliation_candidate_not_promoted,terminal hydraulic/cfd-pp/internal gates still block final forward-v1 promotion,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv
predictive_hx_closure,salt_4,holdout,F1_heater_only + HX1_global_qhx_multiplier_on_fluid_airside,"setup geometry, fit scalar, and model-predicted bulk/external drive only; no validation target or realized CFD cooler duty at runtime",Salt2-only fit,Salt3 validation and Salt4 holdout without refit,predictive_candidate,secondary_reconciliation_candidate_not_promoted,terminal hydraulic/cfd-pp/internal gates still block final forward-v1 promotion,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/predictive_hx_fit_setup_only_refresh/hx_primary_forward_scores.csv
fitted_internal_nu,salt_2_to_salt_4,not_applicable,fitted_internal_Nu_rows,none,no fit set admitted,no predictive score,blocked_empty_fit_set,blocked_from_forward_v1_closure_fit,AGENT-319 reports 0 fit-eligible rows; AGENT-330 reports all current upcomer evidence is recirculating and missing wall-bulk/Gz/onset anchors.,.agent/journal/2026-07-14/thermal-admission-internal-nu-final-gate.md;.agent/journal/2026-07-14/upcomer-recirculation-internal-nu-admissibility.md;work_products/2026-07/2026-07-15/2026-07-15_pm5_matched_plane_parser_repair/summary.json
realized_wallHeatFlux_replay,salt_2,train,F1_heater_only:lower_leg,diagnostic consumption of CFD realized wallHeatFlux only,not_fit,section heat-loss comparison,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
realized_wallHeatFlux_replay,salt_2,train,F1_heater_only:upcomer,diagnostic consumption of CFD realized wallHeatFlux only,not_fit,section heat-loss comparison,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
realized_wallHeatFlux_replay,salt_2,train,F1_heater_only:cooling_branch,diagnostic consumption of CFD realized wallHeatFlux only,not_fit,section heat-loss comparison,diagnostic_replay,residual_localization_and_sign_policy_only,realized_wallHeatFlux_is_CFD_output_and_radiation_is_inseparable_inside_total_flux,work_products/2026-07/2026-07-14/2026-07-14_thermal_overnight_compute_node_rescue/results/best_predictive_heat_loss_discrepancy_refresh/best_predictive_leg_heat_loss_discrepancy.csv
