symbol,units,meaning,writer_note
s,m,Loop or segment coordinate,"Use consistently for one-dimensional path position."
i,dimensionless,Segment index,"Segment i may be ordinary pipe, junction, test section, heater/cooler span, or recirculation-effective region."
\dot{m},kg/s,Mass flow rate,"CFD mdot can be target/score/diagnostic context, not predictive runtime input for scored row."
\rho,kg/m^3,Density,"Property lane must be named."
c_p,J/(kg K),Specific heat capacity,"Property lane must be named."
T,K,Temperature,"TP/TW/validation temperatures are score targets or diagnostics, not runtime inputs."
T_{\mathrm{drive}},K,Temperature driving heat loss,"Must specify bulk, inner wall, outer wall, or insulation surface."
T_{\mathrm{env}},K,Environment or external boundary temperature,"Predictive runtime use requires setup-known external boundary input."
T_{\mathrm{sur}},K,Surroundings/radiation temperature,"Only setup-known values are runtime-legal."
\Delta p,Pa,Pressure difference,"Always state static/hydrostatic/kinetic/section basis."
\Delta p_{\mathrm{drive}},Pa,Buoyancy driving pressure,"Depends on density/property lane and elevation path."
\Delta p_{\mathrm{loss}},Pa,Modeled pressure loss,"Sum of admitted or candidate distributed/local/model-form slots."
f_i,dimensionless,Darcy friction factor slot,"Slot notation is not admission; recirculating rows may be invalid for ordinary f_D."
K_i,dimensionless,Local loss coefficient slot,"Do not call component K unless component isolation and pressure-basis gates pass."
q_i,Pa,Dynamic pressure basis one-half rho V squared,"State velocity/area basis."
Q,W,Integrated heat rate,"Use sign convention from sign ledger."
q',W/m,Line heat rate,"Use for distributed source/sink terms along s."
R,K/W,Thermal resistance,"Resistance owner and drive temperature must be named."
UA,W/K,Overall conductance slot,"Can be diagnostic/candidate/admitted depending on source and gate status."
h,W/(m^2 K),Heat-transfer coefficient,"Internal/external/source lane and admission status must be labeled."
Nu,dimensionless,Nusselt number,"Must not absorb wall/source/radiation/residual errors."
Re,dimensionless,Reynolds number,"Property lane and characteristic length/velocity basis required."
Pr,dimensionless,Prandtl number,"Property lane required."
Gz,dimensionless,Graetz/development coordinate,"Use only where source basis defines it."
Ri,dimensionless,Richardson number or mixed-convection indicator,"Use as diagnostic/regime context unless a later source admits it."
V_{\mathrm{recirc}},m^3,Recirculating volume variable,"Current upcomer exchange lane is diagnostic/blocked, not admitted."
\dot{m}_{\mathrm{exchange}},kg/s,Exchange mass-flow proxy/variable,"Current S13 evidence has temporal UQ but lacks same-label mesh/GCI admission."
\tau_{\mathrm{recirc}},s,Recirculation residence-time proxy/variable,"Current S13 evidence has temporal UQ but lacks same-label mesh/GCI admission."
Q_{\mathrm{residual}},W,Unassigned residual after declared sources/sinks,"Accounting lane only; never silently convert into internal Nu."
