output_table,column_name,purpose,source_files,source_columns,transformation_formula,units,sign_convention,validity_gates,known_failure_modes
thermal_decomposition_rows.csv,q_enthalpy_w,Branch/leg fluid enthalpy change used for closure gating.,reports/2026-06-18_ethan_salt_closure_correlation_package/salt_leg_enthalpy_summary.csv,mean_enthalpy_change_w,Direct late-window mean carried forward; derived branches sum component spans.,W,Positive means net energy gain by the fluid along the branch direction.,Requires finite enthalpy row and documented bulk-temperature method.,Weak branch closure where span enthalpy is contaminated by unresolved junction exchange.
thermal_decomposition_rows.csv,q_wall_total_w,Net wall-to-fluid heat for the branch used as the main closure reference.,reports/2026-06-15_ethan_all_runs_field_transport_campaign/field_transport_streamwise_heat_comparison.csv,mean_wall_heat_w,Sum streamwise-bin mean_wall_heat_w across component spans.,W,Positive means wall heat enters the fluid; negative means wall heat removes energy from the fluid.,Requires preserved streamwise heat bins for every component span.,Missing streamwise bins or mixed sign contributions near branch boundaries.
thermal_decomposition_rows.csv,q_intended_transfer_w,Intended-transfer contribution separated from parasitic loss.,reports/2026-06-15_ethan_all_runs_field_transport_campaign/field_transport_grouped_heat_comparison.csv,"mean_wall_heat_w, thermal_role_group",Sum mean_wall_heat_w where thermal_role_group == intended_transfer across component spans.,W,"Positive means intended heating, negative means intended cooling.",Depends on current thermal_role_group metadata in tools/case_analysis_profiles.py.,Thermal-role reclassification changes this decomposition without changing the CFD fields.
thermal_decomposition_rows.csv,q_external_or_loss_w,Bounded proxy for external/parasitic wall-loss contribution.,reports/2026-06-15_ethan_all_runs_field_transport_campaign/field_transport_grouped_heat_comparison.csv,"mean_wall_heat_w, thermal_role_group",Set equal to grouped parasitic-loss sum; no hidden reassignment into HTC.,W,Negative means parasitic cooling or wall loss from the fluid.,"Only a proxy for external-like loss, not a resolved conduction/radiation resistance split.",Cannot distinguish internal wall conduction from external convection/radiation with preserved artifacts alone.
thermal_decomposition_rows.csv,residual_fraction_of_wall_heat,Main thermal closure gate used before any defended Nu fit.,thermal_decomposition_rows.csv (derived within builder),"q_enthalpy_w, q_wall_total_w",|q_enthalpy_w - q_wall_total_w| / |q_wall_total_w|,1,Magnitude only.,Requires finite wall-heat reference with nonzero magnitude.,Large values often indicate unresolved junction exchange or branch-definition mismatch rather than impossible CFD physics.
thermal_decomposition_rows.csv,nu_effective,Effective branch Nusselt number used for Salt thermal dependency screening.,reports/2026-06-18_ethan_salt_analysis_checkpoint_suite/phase3_branch_trust_gate/branch_promotion_gate.csv; case_config.yaml,"mean_effective_htc_w_m2_k, mean_bulk_temp_fluid_area_avg_k, hydraulic_diameter_geom_m, fluid property coefficients",nu_effective = h_effective * D_h / k(T_eval),1,Signed through h_effective; only positive rows are fit-eligible.,"Requires positive support-gated h_effective, finite D_h, and finite k(T_eval).",Composite derived branches require weighted D_h assumptions and are therefore sensitivity-only.
thermal_decomposition_rows.csv,re_effective,Branch Reynolds number for Salt thermal dependency fits.,reports/2026-06-18_ethan_salt_closure_correlation_package/salt_straight_section_correlation_inputs.csv; case_config.yaml,"bulk_velocity_m_s, hydraulic_diameter_m, rho(T), mu(T)",Re = rho(T_eval) * U * D_h / mu(T_eval),1,Positive magnitude only.,"Requires positive velocity, diameter, density, and viscosity under the chosen property convention.","For derived branches, U and D_h are component-weighted surrogates, not direct reconstructed cross-section values."
thermal_decomposition_rows.csv,fit_use_status,"Separates screened, closure-supported, fit-used, excluded, and sensitivity-only thermal rows.",thermal_decomposition_rows.csv (derived within builder),"branch gate, residual_fraction_of_wall_heat, group_reconstruction_fraction, thermal_direction_consistent, branch identity",Rule-based gate stack documented in README and model_dependency_handoff.md.,categorical,n/a,Right leg is hard-blocked; derived upcomer is sensitivity-only; weak support or weak enthalpy closure blocks defended fits.,Policy changes intentionally alter fit-used row counts and must be recorded in sensitivity_summary.csv.
hydraulic_hardening_audit.csv,pressure_method_status,Documents whether the row uses a defended hydro-corrected straight-section method or a residual-only feature method.,reports/2026-06-17_ethan_pressure_htc_boundarylayer_package/README.md; reports/2026-06-18_ethan_salt_analysis_checkpoint_suite/phase1_hydraulic_hardening/README.md,method interpretation only,"Assigned by asset family: straight sections -> defended_direct_hydro, features -> residual_prgh_only.",categorical,n/a,Feature rows are never promoted to fit-used without a new feature hydro-integral method.,Residual-only feature K_eff can change sign under subtraction noise or buoyancy contamination.
hydraulic_hardening_audit.csv,apparent_darcy_f_local,Primary straight-section friction target audited for Salt dependency fitting.,reports/2026-06-18_ethan_salt_closure_correlation_package/salt_straight_section_correlation_inputs.csv,apparent_darcy_f_local,Direct carry-through from additive June 18 Salt closure package.,1,Positive indicates dissipative net loss; negative sections remain excluded as buoyancy-aided or net-gain.,Requires straight-section candidate gate and defended hydro-corrected pressure method.,Can be unstable where direct-pressure and wall-shear proxies disagree strongly.
hydraulic_hardening_audit.csv,fit_use_status,Separates defended straight-section friction rows from residual-only feature rows and screened exclusions.,hydraulic_hardening_audit.csv (derived within builder),"fit_status_screened, pressure_method_status",Straight-section candidate + defended method -> fit_used; residual-only feature method -> excluded.,categorical,n/a,Nonpositive residual feature loss is never enough to justify K_eff fitting.,A future upstream feature hydro-integral extractor would change these labels by design.
salt_friction_fit_results.json,recommended_model,Current defended recommendation for Salt straight-section friction dependency.,hydraulic_fit_ready_rows.csv,"re_effective, apparent_darcy_f_local, scope_name",Selected between class-aware constant and class-aware Re power law using bootstrap support and sample sufficiency.,categorical/model,n/a,Only fit-used straight sections contribute.,Small row count and unfinished feature closure mean the recommendation may stay provisional or be set to none.
salt_nu_fit_results.json,recommended_model,"Current defended recommendation for Salt HTC/Nu dependency, if any.",thermal_fit_ready_rows.csv; thermal_decomposition_rows.csv,"nu_effective, re_effective, branch_name, fit_use_status","Uses closure-supported direct-branch rows only; if too few rows survive, the recommendation is explicitly none.",categorical/model,n/a,Right leg blocked; upcomer overlap rows sensitivity-only; weak enthalpy closure blocks defended Nu fits.,Branch support can look strong while enthalpy closure remains too weak for a defended Nu dependency.
sensitivity_summary.csv,qualitative_conclusion_changed,Records whether the fitted dependency story changes under alternate gates or property conventions.,fit result JSON derived in builder,"row counts, fit status, log_re slope, rmse","Set to yes when model status changes, slope changes materially, or retained row counts change.",categorical yes/no/unknown,n/a,Only reports sensitivities that were actually runnable from preserved artifacts.,Hydraulic late-window sensitivity is not runnable because time-resolved hydro-corrected closures were not preserved.
