item_id,litrev_item,primary_source_paths,target_csem_file,target_section_or_chapter,thesis_use,claim_ids,admission_status,caveat,implementation_row
TCI-01,"Dissertation-safe wording: developed friction and Nu are reference limits, not default active closures","../papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/chapters/11_dissertation_safe_claims.tex","../papers/UTexas_Research/csem-Masters_dissertation/chapters/02_background_literature.tex","Background and Literature Review","Use as framing language for hydraulic and thermal closure review","CL-02; CL-15; CL-17","thesis-ready wording; no closure admission","Do not state long branches use 64/Re or constant Nu by default.","csem-litrev-background-source-envelope-2026-07-21"
TCI-02,"Source-envelope table by author/title/equation/validity/TAMU overlap","work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv","../papers/UTexas_Research/csem-Masters_dissertation/chapters/02_background_literature.tex","Thermophysical properties; hydraulic closures; thermal closures","Convert literature review from prose citations into source-bounded evidence table","CL-02; CL-17; CL-21","thesis-ready method support","A source-bounded method is not a TAMU coefficient unless geometry, basis, and validation match.","csem-litrev-background-source-envelope-2026-07-21"
TCI-03,"Pressure-corner basis and recovery rules","work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/pressure_corner_extraction_findings.csv","../papers/UTexas_Research/csem-Masters_dissertation/chapters/04_cfd_to_1d_reduction.tex","Pressure reduction","Define static, hydrostatic, kinetic, straight/developing, recovery, and residual decomposition before coefficient naming","CL-13; CL-16; CL-26","diagnostic/admission rule","Pressure rise around a corner is not negative dissipation or admitted negative K by itself.","csem-litrev-reduction-pressure-contract-2026-07-21"
TCI-04,"CFD postprocessing contract for pressure, heat, recirculation, source envelope, and same-QOI UQ","work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/cfd_postprocessing_contract.csv","../papers/UTexas_Research/csem-Masters_dissertation/chapters/04_cfd_to_1d_reduction.tex","Reduction consistency","Use as methods table for required fields and diagnostic-only failure modes","CL-04; CL-16; CL-17; CL-20","thesis-ready method support","Missing fields make rows diagnostic only; they do not justify invented pressure or heat terms.","csem-litrev-reduction-pressure-contract-2026-07-21"
TCI-05,"MF-01 gated single-stream developing branch","work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/model_form_candidates.csv","../papers/UTexas_Research/csem-Masters_dissertation/chapters/05_coupled_fluid_walls_model.tex","Candidate model forms","Main-body ordinary-branch model form with gate table","CL-03; CL-14; CL-17; CL-23","candidate; not admitted by LitRev","Use only where stable signed net throughflow and no persistent exchange pass TAMU gates.","csem-litrev-model-form-admission-2026-07-21"
TCI-06,"MF-02 section or cluster K with recirculation diagnostics","work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/model_form_candidates.csv","../papers/UTexas_Research/csem-Masters_dissertation/chapters/05_coupled_fluid_walls_model.tex","Candidate model forms","Main-body naming rule for component, section, and cluster pressure losses","CL-13; CL-16; CL-26","candidate naming rule; no component K admission","Use K_section or K_cluster unless isolation and recovery are demonstrated.","csem-litrev-model-form-admission-2026-07-21"
TCI-07,"MF-04 throughflow plus recirculation/exchange cell","work_products/2026-07/2026-07-21/2026-07-21_litrev_throughflow_recirc_exchange_cell/README.md","../papers/UTexas_Research/csem-Masters_dissertation/chapters/05_coupled_fluid_walls_model.tex","Candidate model forms","Main-body escalation lane for persistent local exchange and invalid one-bulk-state behavior","CL-14; CL-23","designed candidate; not calibrated/admitted","Do not fit exchange coefficients or implement Fluid/API changes from the thesis writing row.","csem-litrev-model-form-admission-2026-07-21"
TCI-08,"MF-03 signed-flow junction network","work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/model_form_candidates.csv","../papers/UTexas_Research/csem-Masters_dissertation/chapters/05_coupled_fluid_walls_model.tex","Candidate model forms","Conditional architecture paragraph only","CL-14; CL-26","deferred unless negative net branch flow evidence exists","If behavior is local forward/reverse exchange inside one cross-section, use MF-04 instead.","csem-litrev-model-form-admission-2026-07-21"
TCI-09,"Admission gates and no-silent-threshold rule","../papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/appendices/S_equation_threshold_admission_registry.tex","../papers/UTexas_Research/csem-Masters_dissertation/chapters/06_closure_admission_uncertainty.tex","Criteria for including a closure in the predictive model","State Re/Pr/Gr/Ri/Ra/Gz/F_A/F_m/recovery diagnostics as computed fields whose tolerances require TAMU calibration","CL-04; CL-19; CL-20; CL-21","thesis-ready admission rule","Do not import universal thresholds from literature as TAMU switching values.","csem-litrev-model-form-admission-2026-07-21"
TCI-10,"Heat-loss resistance-network separation","work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/README.md","../papers/UTexas_Research/csem-Masters_dissertation/chapters/04_cfd_to_1d_reduction.tex; ../papers/UTexas_Research/csem-Masters_dissertation/chapters/05_coupled_fluid_walls_model.tex","Thermal reduction; constitutive relations","Separate internal Nu, wall conduction, insulation/contact, external convection, radiation, jacket/cooler, storage, and residual","CL-09; CL-10; CL-17; CL-18","thesis-ready method support","Do not hide external or residual heat loss in internal Nu.","csem-litrev-reduction-pressure-contract-2026-07-21; csem-litrev-model-form-admission-2026-07-21"
TCI-11,"Current diagnostic/blocked pressure and thermal results interpreted through LitRev rules","reports/thesis_dossier/Chapters_and_sections/current/13_two_tap_recirc_section_effective_pressure_model.md; reports/thesis_dossier/Chapters_and_sections/current/07_wall_test_section_coupled_score_and_physics_plan.md","../papers/UTexas_Research/csem-Masters_dissertation/chapters/07_reduced_cfd_evidence.tex","Hydraulic behavior; thermal behavior; upcomer recirculation","Use LitRev to explain why negative/failed rows are useful model-form evidence","CL-10; CL-13; CL-16; CL-26","diagnostic/negative result interpretation","Do not upgrade current diagnostic rows into predictive coefficients.","csem-litrev-results-limits-futurework-2026-07-21"
TCI-12,"MF-05 transient fitting loss and MF-06 CFD/POD/ROM","work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/model_form_candidates.csv","../papers/UTexas_Research/csem-Masters_dissertation/chapters/09_implications_conclusions_future_work.tex","Limitations and future work","Park as future work with trigger conditions","CL-23; CL-24; CL-25","future-only unless new evidence lands","MF-05 requires periodic positive-mean evidence; MF-06 requires verified FOM snapshot ensemble and held-out validation.","csem-litrev-results-limits-futurework-2026-07-21"
