family,assumption,caveat,source_paths,writer_instruction,next_task_if_blocked
steady_scope,"Current thesis model is steady fluid+walls.","Wall storage and transient heat capacity are future work unless reopened by a later row.","reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","Describe steady scope explicitly before writing transient implications.","None for current steady thesis."
segment_energy,"Segment energy balance separates heater, cooler, wall loss, other, and residual lanes.","Residual is not a closure and should not be hidden in internal Nu.","reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md; reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md","Use residual to motivate missing physics, not to admit a coefficient.","Thermal accounting traceability evidence packet."
passive_wall_loss,"Wall/external heat loss can be represented as a resistance circuit.","Drive temperature and external boundary basis must be named; global passive hA sensitivity is not an admitted repair.","reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md; work_products/2026-07/2026-07-21/2026-07-21_fluid_extbc_phase_h2_passive_heat_loss_attribution/README.md","Keep passive heat-loss explanation separate from fitting/admission language.","Thermal accounting traceability evidence packet."
radiation,"Radiation belongs in the external boundary network.","Realized CFD rcExternalTemperature/wallHeatFlux evidence must not be double-counted with a predictive radiation term.","reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","State setup-facing radiation inputs before predictive use.","External Fluid BC implementation packet."
test_section,"Test section is the bare-quartz middle span of the upcomer.","It may be a net source or sink; it is not a removable cleanup heat leak.","reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md; reports/thesis_dossier/Chapters_and_sections/current/09_fluid_walls_segment_atlas.md","Preserve explicit source/loss lane in diagrams and tables.","Thermal accounting traceability evidence packet."
pressure_loss,"Pressure model contains distributed friction and local-loss slots.","f_i and K_i are symbols until basis, isolation, split, and UQ gates pass.","reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md; reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md","Use slot language unless a source package states admitted coefficient.","Pressure-basis ladder evidence packet."
recirculation,"Upcomer evidence supports a throughflow plus recirculation-cell model lane.","Ordinary single-stream Nu, f_D, and K are invalid in recirculation-dominated rows.","reports/thesis_dossier/Chapters_and_sections/current/04_upcomer_recirculation_modeling.md","Use visual and metric evidence as diagnostic model-form support only.","Recirculation fraction/onset evidence packet."
section_effective_pressure,"Current lower-right two-tap pressure is section-effective residual evidence.","It is not ordinary component K, F6, clipped K, or hidden/global multiplier.","reports/thesis_dossier/Chapters_and_sections/current/13_two_tap_recirc_section_effective_pressure_model.md; work_products/2026-07/2026-07-21/2026-07-21_hybrid_pressure_no_fit_performance_bakeoff/README.md","Use negative result and model-form motivation wording.","Pressure-basis ladder evidence packet."
split_policy,"Salt1-4 nominal rows are final training; support/holdout/external rows have restricted roles.","Split role cannot be overridden by good numerical agreement.","reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md","Attach split role to every quantitative claim.","Candidate-specific release refresh only after gates pass."
runtime_leakage,"Predictive runtime inputs are setup-known quantities plus admitted coefficients.","CFD mdot, realized wallHeatFlux, imposed CFD cooler duty, validation temperatures, holdout targets, and external targets are forbidden runtime inputs.","reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md; reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md","Repeat this in captions for scorecards or model comparisons.","No direct scoring until frozen candidate exists."
same_qoi_uq,"S13 target-minus/target/target-plus rows are available for selected same-label QOIs.","Same-QOI UQ was not executed in this glossary packet; mesh/GCI remains separate.","work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_target_plus_same_qoi_harvest/README.md","Say triplet-ready, not admitted or UQ-accepted.","S13 same-QOI UQ execution and mesh/GCI gate."
final_score,"Final scorecard shell exists.","No frozen runtime-legal candidate exists and final score values remain zero/blocked.","reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md; reports/thesis_dossier/Chapters_and_sections/current/18_ch6_csem_closure_admission_uncertainty.md","Use blocked-scorecard language as a result of the admission workflow.","Chapter 7/8 negative-results evidence packet."
