case_id,assumption_id,ethan_3d_assumption,one_d_assumption,match_status,evidence_class,source_paths,notes
salt_2,fixed_mdot_policy,CFD mdot is an observed diagnostic target.,Fixed-mdot replay holds mdot at CFD value only for diagnostic parity.,matched_for_diagnostic_replay_not_predictive,diagnostic_parity,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/fixed_mdot_parity_results.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv,Forward predictive modes must not use CFD mdot at runtime.
salt_2,heater_setup_location_and_power,heater setup power 265.7 W on heater/lower-leg patches.,heater source applied to heated_incline/lower_leg with 265.7 W in setup replay.,matched_setup_location_and_power,setup_input,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv,Realized heater wallHeatFlux efficiency is diagnostic (0.91651899729).
salt_2,test_section_source_policy,"test-section setup source 37 W exists, but realized CFD wallHeatFlux can be net sink.",Current source variants include full test-section source and heater-only sensitivity.,variant_dependent_diagnostic,source_contract_candidate,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv;work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv,Do not tune passive external loss to hide test-section source-contract error.
salt_2,cooler_removal_location_and_duty,cooler imposed removal 136.351 W on cooling-branch cooler patches.,Fixed-mdot diagnostic replay can impose the same cooler duty on cooled_incline_hx_active.,matched_for_imposed_cooler_replay,setup_input_diagnostic_replay,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv,Predictive HX must replace imposed cooler duty with UA/epsilon-NTU or equivalent setup-only model.
salt_2,passive_wall_external_boundary,"rcExternalTemperature patches carry h, Ta, Tsur, emissivity, and layer metadata.","Current repo-local Fluid API accepts fixed sources/losses, not patch-level external boundary dictionaries.",blocked_external_bc_api,model_form_blocker,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv,This is the main place where same-assumption setup parity is contract-only rather than executable.
salt_2,radiation_handling,rcExternalTemperature includes emissivity/Tsur effects in total wallHeatFlux; no separate qr ledger is available.,Do not add a separate radiation term on top of realized CFD wallHeatFlux replay.,matched_no_double_count_for_realized_wallflux_replay,radiation_inseparable,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv;work_products/2026-07/2026-07-14/2026-07-14_boundary_hx_wall_radiation_model_form_decision/README.md,Radiation-off rows remain sensitivity-only and must not be called Ethan-CFD parity.
salt_2,wallheatflux_runtime_use,Realized wallHeatFlux is diagnostic heat accounting evidence.,Realized wallHeatFlux may be prescribed only in diagnostic fixed-Q replay.,diagnostic_only,not_admissible_predictive_runtime,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/fixed_mdot_parity_results.csv,Using realized wallHeatFlux in forward prediction would leak validation target information.
salt_3,fixed_mdot_policy,CFD mdot is an observed diagnostic target.,Fixed-mdot replay holds mdot at CFD value only for diagnostic parity.,matched_for_diagnostic_replay_not_predictive,diagnostic_parity,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/fixed_mdot_parity_results.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv,Forward predictive modes must not use CFD mdot at runtime.
salt_3,heater_setup_location_and_power,heater setup power 297.5 W on heater/lower-leg patches.,heater source applied to heated_incline/lower_leg with 297.5 W in setup replay.,matched_setup_location_and_power,setup_input,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv,Realized heater wallHeatFlux efficiency is diagnostic (0.918169327227).
salt_3,test_section_source_policy,"test-section setup source 37 W exists, but realized CFD wallHeatFlux can be net sink.",Current source variants include full test-section source and heater-only sensitivity.,variant_dependent_diagnostic,source_contract_candidate,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv;work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv,Do not tune passive external loss to hide test-section source-contract error.
salt_3,cooler_removal_location_and_duty,cooler imposed removal 150.77 W on cooling-branch cooler patches.,Fixed-mdot diagnostic replay can impose the same cooler duty on cooled_incline_hx_active.,matched_for_imposed_cooler_replay,setup_input_diagnostic_replay,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv,Predictive HX must replace imposed cooler duty with UA/epsilon-NTU or equivalent setup-only model.
salt_3,passive_wall_external_boundary,"rcExternalTemperature patches carry h, Ta, Tsur, emissivity, and layer metadata.","Current repo-local Fluid API accepts fixed sources/losses, not patch-level external boundary dictionaries.",blocked_external_bc_api,model_form_blocker,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/section_heat_balance.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv,This is the main place where same-assumption setup parity is contract-only rather than executable.
salt_3,radiation_handling,rcExternalTemperature includes emissivity/Tsur effects in total wallHeatFlux; no separate qr ledger is available.,Do not add a separate radiation term on top of realized CFD wallHeatFlux replay.,matched_no_double_count_for_realized_wallflux_replay,radiation_inseparable,work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/parity_decision_table.csv;work_products/2026-07/2026-07-14/2026-07-14_boundary_hx_wall_radiation_model_form_decision/README.md,Radiation-off rows remain sensitivity-only and must not be called Ethan-CFD parity.
salt_3,wallheatflux_runtime_use,Realized wallHeatFlux is diagnostic heat accounting evidence.,Realized wallHeatFlux may be prescribed only in diagnostic fixed-Q replay.,diagnostic_only,not_admissible_predictive_runtime,work_products/2026-07/2026-07-13/2026-07-13_heater_test_section_contract/case_heat_ledger.csv;work_products/2026-07/2026-07-13/2026-07-13_patch_boundary_fixed_mdot_1d_parity/fixed_mdot_parity_results.csv,Using realized wallHeatFlux in forward prediction would leak validation target information.
