scope_kind,scope_name,closure_family,gate_label,source_status,current_basis,current_recommendation,example_metric,example_value_or_note,concrete_failure_or_limit,source_files
branch_group,lower_leg|test_section_span,straight_friction_direct,defended,provisional_defended,"June 26 closure bundle plus the June 29 paper subset and reduction audit; not the post-overnight latest-window surface","Use now inside the bounded Salt hydraulic lane","fit_used_row_count","12 direct fit rows on admitted straights","Late-window sensitivity is still queued, so keep this fit branch-bounded and explicitly caveated.","reports/2026-06/2026-06-19/2026-06-19_ethan_salt_conclusions_package/dependency_status.csv|work_products/2026-06-26_ethan_cfd_closure_bundle/closure_term_contract.csv|reports/2026-06/2026-06-26/2026-06-26_ethan_progressive_story_synthesis/open_analysis_queue.md"
branch,left_lower_leg,direct_nu,defended,provisional_defended_limited_domain,"June 26 closure bundle plus the June 19 v3 thermal gate","Use narrowly on left_lower_leg only","support_fraction/residual_fraction/fit_used_count","0.941 support; 0.373 residual fraction; 7 fit-used rows","Do not spread this fit to upcomer, right_leg, or a loop-global Nu surface.","work_products/2026-06-26_ethan_cfd_closure_bundle/branch_state_surface_policy.csv|reports/2026-06/2026-06-19/2026-06-19_ethan_salt_thermal_closure_hardening_v3/branch_trust_summary.csv|work_products/2026-06-26_ethan_cfd_closure_bundle/closure_term_contract.csv"
branch,left_lower_leg,primary_ua_surface,support-gated,admit_state_surface,"June 26 closure bundle plus the current June 22 local modeling surface","Use now as the primary thermal state surface, not as evidence of a new universal direct closure","bundle_recommendation","Primary thermal closure in the current local bundle","UA' remains the admitted cross-branch thermal surface because broader direct Nu support is still too narrow.","work_products/2026-06-26_ethan_cfd_closure_bundle/closure_term_contract.csv|reports/2026-06/2026-06-23/2026-06-23_ethan_1d_closure_bakeoff/scenario_bundle_alignment.csv"
branch,left_upper_leg,primary_ua_surface,support-gated,admit_state_surface,"June 26 closure bundle plus the June 19 v3 branch gate","Use as a state surface only","support_fraction/residual_fraction","0.949 support; 0.608 residual fraction","Fails the v3 0.45 residual ceiling for direct closure and stays outside the defended Nu domain.","work_products/2026-06-26_ethan_cfd_closure_bundle/branch_state_surface_policy.csv|reports/2026-06/2026-06-19/2026-06-19_ethan_salt_thermal_closure_hardening_v3/branch_trust_summary.csv"
branch,test_section_span,primary_ua_surface,support-gated,admit_state_surface,"June 26 closure bundle plus the June 19 v3 branch gate","Use as a state surface only","support_fraction/residual_fraction","1.000 support; 2.639 residual fraction","Entry effects remain active and direct Nu stays unadmitted.","work_products/2026-06-26_ethan_cfd_closure_bundle/branch_state_surface_policy.csv|reports/2026-06/2026-06-19/2026-06-19_ethan_salt_thermal_closure_hardening_v3/branch_trust_summary.csv"
branch,upcomer,primary_ua_surface,diagnostic-only,sensitivity_only,"June 26 closure bundle plus the June 19 v3 branch gate","Use only for sensitivity and separate-submodel prototyping","support_fraction/residual_fraction","0.963 support; 1.017 residual fraction","Derived overlap context only; direct Nu is not defended there and recirculation likely needs its own submodel.","work_products/2026-06-26_ethan_cfd_closure_bundle/branch_state_surface_policy.csv|work_products/2026-06-26_ethan_cfd_closure_bundle/blocked_term_followons.csv"
branch_group,left_lower_leg|left_upper_leg|test_section_span|upcomer,secondary_htc_surface,diagnostic-only,admit_secondary_surface,"June 26 closure bundle plus the current June 22 local modeling surface","Use only as a comparison or diagnostic surface","bundle_recommendation","closure_term_contract current_bakeoff_recommendation=diagnostic_only","UA' remains the admitted thermal quantity; HTC is secondary only.","work_products/2026-06-26_ethan_cfd_closure_bundle/closure_term_contract.csv"
branch,lower_leg,direct_thermal_branch,residual-only,excluded,"June 26 closure bundle plus the June 19 v3 branch gate","Keep inside the heater-side residual bucket","support_fraction/residual_fraction","0.749 support; 1.713 residual fraction","Support falls below the 0.90 gate and the heating-dominant imbalance is too large for defended direct Nu.","work_products/2026-06-26_ethan_cfd_closure_bundle/branch_state_surface_policy.csv|reports/2026-06/2026-06-19/2026-06-19_ethan_salt_thermal_closure_hardening_v3/branch_trust_summary.csv"
branch,upper_leg,direct_thermal_branch,residual-only,excluded,"June 26 closure bundle plus the June 19 v3 branch gate","Keep inside the cooler-side residual bucket","support_fraction/residual_fraction","0.955 support; 2.001 residual fraction","Cooler-side direct closure remains blocked, so this branch stays in the residual bucket despite broad support coverage.","work_products/2026-06-26_ethan_cfd_closure_bundle/branch_state_surface_policy.csv|reports/2026-06/2026-06-19/2026-06-19_ethan_salt_thermal_closure_hardening_v3/branch_trust_summary.csv"
family,features|right_leg|cooler_return|reducers|corners,hydraulic_residual_bucket,residual-only,calibration_only,"June 26 closure bundle plus the June 26 open-analysis queue","Use only in hybrid replay and calibration lanes","bundle_recommendation","closure_term_contract current_bakeoff_recommendation=keep_for_hybrid_only","Feature and return-path hydraulic losses are not yet closed from defended direct observables.","work_products/2026-06-26_ethan_cfd_closure_bundle/closure_term_contract.csv|work_products/2026-06-26_ethan_cfd_closure_bundle/blocked_term_followons.csv"
