source_path,exists,mutated,use
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/passive_h2_radiation_runtime_smoke.py,True,False,already-existing Fluid smoke runner; consumed read-only by this package builder
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,True,False,already-existing role-row radiation hook; consumed through diagnostic outputs
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,True,False,already-existing external-boundary tests referenced by command_log.csv
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/passive_h2_outer_insulation_radiation_runtime_v1/summary.json,True,False,canonical Fluid runtime-smoke summary copied locally
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/passive_h2_outer_insulation_radiation_runtime_v1/heat_ledger_delta.csv,True,False,canonical train-only heat-ledger delta copied locally
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/passive_h2_outer_insulation_radiation_runtime_v1/runtime_smoke_summary.csv,True,False,canonical train-only runtime QOI summary copied locally
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/passive_h2_outer_insulation_radiation_runtime_v1/runtime_input_audit.csv,True,False,canonical runtime-input audit copied locally
/scratch/09748/andresfierro231/projects_scratch/cfd-modeling-tools/tamu_first_order_model/Fluid/results/diagnostics/passive_h2_outer_insulation_radiation_runtime_v1/source_operator_rows_train_only.csv,True,False,canonical train-role operator rows copied locally
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_passive_h2_corrected_operator_predictive_train_packet/predicted_heat_ledger_delta.csv,True,False,corrected train-row radiation and full passive heat-ledger deltas
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_thermal_passive_h2_multi_train_corrected_radiation_smoke/case_corrected_radiation_summary.csv,True,False,casewise convection/radiation split and baseline context
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_thermal_passive_h2_source_backed_basis_table/summary.json,True,False,setup/source-basis guardrails and release status
/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_thermal_passive_h2_radiation_runtime_basis_reconciliation/summary.json,True,False,negative no-op runtime observation and radiation-basis reconciliation
