qoi_id,canonical_leg_id,reported_span_or_segment,qoi_family,quantity,current_publication_ready,current_fit_admissible,complete_triplet,gci_status,prior_final_use_decision,final_use_disposition,disposition_reason,blocks_closure_qoi_mesh_gci,required_next_artifact,evidence_path
pressure_gradient_friction::lower_leg::section_mean_static_gradient,heater_lower_leg,lower_leg,closure,apparent_darcy_f,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,excluded_branch_gate_failed,AGENT-468 reviewed heater source/sign/GCI and admitted zero heater Internal-Nu or same-QOI GCI rows,no,none; heater lane excluded from final-use closure until a future branch admission reopens it,work_products/2026-07/2026-07-16/2026-07-16_heater_lower_leg_source_sign_gci_admission/README.md
pressure_gradient_friction::lower_leg::section_mean_total_pressure_gradient,heater_lower_leg,lower_leg,closure,apparent_darcy_f,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,excluded_branch_gate_failed,AGENT-468 reviewed heater source/sign/GCI and admitted zero heater Internal-Nu or same-QOI GCI rows,no,none; heater lane excluded from final-use closure until a future branch admission reopens it,work_products/2026-07/2026-07-16/2026-07-16_heater_lower_leg_source_sign_gci_admission/README.md
pressure_gradient_friction::right_leg::section_mean_static_gradient,downcomer_right_vertical,right_leg,closure,apparent_darcy_f,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,excluded_branch_gate_failed,"AGENT-469 downcomer policy failed sign/enthalpy, interface recirculation, same-QOI GCI, and LitRev gates",no,none; downcomer lane excluded from final-use closure until a future policy admission reopens it,work_products/2026-07/2026-07-16/2026-07-16_downcomer_policy_admission_artifact/README.md
pressure_gradient_friction::right_leg::section_mean_total_pressure_gradient,downcomer_right_vertical,right_leg,closure,apparent_darcy_f,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,excluded_branch_gate_failed,"AGENT-469 downcomer policy failed sign/enthalpy, interface recirculation, same-QOI GCI, and LitRev gates",no,none; downcomer lane excluded from final-use closure until a future policy admission reopens it,work_products/2026-07/2026-07-16/2026-07-16_downcomer_policy_admission_artifact/README.md
pressure_gradient_friction::upper_leg::section_mean_static_gradient,cooler_hx_branch,upper_leg,closure,apparent_darcy_f,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,excluded_boundary_residual,"AGENT-459 classifies cooler/HX as boundary-residual separation work, not an Internal-Nu final-use closure lane",no,none for Closure-QOI mesh/GCI closeout; track future cooler/HX residual separation separately,work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/targeted_extraction_admission_queue.csv
pressure_gradient_friction::upper_leg::section_mean_total_pressure_gradient,cooler_hx_branch,upper_leg,closure,apparent_darcy_f,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,excluded_boundary_residual,"AGENT-459 classifies cooler/HX as boundary-residual separation work, not an Internal-Nu final-use closure lane",no,none for Closure-QOI mesh/GCI closeout; track future cooler/HX residual separation separately,work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/targeted_extraction_admission_queue.csv
momentum_corrected_friction::lower_leg,heater_lower_leg,lower_leg,closure,f_corrected,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,excluded_branch_gate_failed,AGENT-468 reviewed heater source/sign/GCI and admitted zero heater Internal-Nu or same-QOI GCI rows,no,none; heater lane excluded from final-use closure until a future branch admission reopens it,work_products/2026-07/2026-07-16/2026-07-16_heater_lower_leg_source_sign_gci_admission/README.md
momentum_corrected_friction::right_leg,downcomer_right_vertical,right_leg,closure,f_corrected,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,excluded_branch_gate_failed,"AGENT-469 downcomer policy failed sign/enthalpy, interface recirculation, same-QOI GCI, and LitRev gates",no,none; downcomer lane excluded from final-use closure until a future policy admission reopens it,work_products/2026-07/2026-07-16/2026-07-16_downcomer_policy_admission_artifact/README.md
momentum_corrected_friction::upper_leg,cooler_hx_branch,upper_leg,closure,f_corrected,no,no,yes,not_computed_non_monotone_or_divergent,not_publication_gci_current_triplet_exclude_or_reextract,excluded_boundary_residual,"AGENT-459 classifies cooler/HX as boundary-residual separation work, not an Internal-Nu final-use closure lane",no,none for Closure-QOI mesh/GCI closeout; track future cooler/HX residual separation separately,work_products/2026-07/2026-07-16/2026-07-16_branch_local_internal_nu_unblock/targeted_extraction_admission_queue.csv
thermal_segment_closure::downcomer::thermal_segment_closure,downcomer_right_vertical,downcomer,thermal,thermal_segment_closure,no,no,no,not_computed_blocked_downcomer_policy,blocked_pending_downcomer_policy,excluded_branch_gate_failed,"AGENT-469 downcomer policy failed sign/enthalpy, interface recirculation, same-QOI GCI, and LitRev gates",no,none; downcomer lane excluded from final-use closure until a future policy admission reopens it,work_products/2026-07/2026-07-16/2026-07-16_downcomer_policy_admission_artifact/README.md
