case_id,source_id,segment,blocker,details,next_action
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,downcomer,downcomer_policy,downcomer/right-leg thermal segment is policy-blocked in repaired thermal extraction,decide whether downcomer remains excluded or define a separate right-leg extraction policy
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,downcomer,high_recirculation_interface,max_interface_recirc_ratio=0.76273,keep diagnostic-only or design recirculation-aware control-volume sampling
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,downcomer,large_wall_enthalpy_residual,abs_residual_fraction=1.26611,audit wall patch grouping and enthalpy interface placement
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,downcomer,thermal_mesh_gate_not_admitted,blocked_downcomer_policy,resolve thermal mesh gate blockers before closure use
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,repaired_q_sign_label_conflict,segment_htc q_sign label conflicts with wall/enthalpy sign evidence,audit q_sign label convention in sample_segment_htc_uaprime before admission
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,thermal_mesh_gate_not_admitted,blocked_missing_two_level_value;blocked_sign_review,resolve thermal mesh gate blockers before closure use
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,high_recirculation_interface,max_interface_recirc_ratio=0.980419,keep diagnostic-only or design recirculation-aware control-volume sampling
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,large_wall_enthalpy_residual,abs_residual_fraction=1.18848,audit wall patch grouping and enthalpy interface placement
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,repaired_q_sign_label_conflict,segment_htc q_sign label conflicts with wall/enthalpy sign evidence,audit q_sign label convention in sample_segment_htc_uaprime before admission
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,thermal_mesh_gate_not_admitted,blocked_sign_review,resolve thermal mesh gate blockers before closure use
