boundary_row,sensor,kind,acceptance_class,rationale,bounded_or_excluded_reason,score_aggregate_after_refresh,score_policy_decision,runtime_use,source_paths
S7-BOUNDARY-01,TP1,TP,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,forbidden_not_runtime_input,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
S7-BOUNDARY-02,TP2,TP,mapped,"TP2 is mapped to the right-downcomer/bottom-horizontal junction for scoring, but remains runtime_temperature_allowed=false and fit_allowed=false.","bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes_after_projection_source_segment_and_finite_prediction_gates,restore_to_aggregate_after_gates; validation_target_only,forbidden_not_runtime_input,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
S7-BOUNDARY-03,TP3,TP,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,forbidden_not_runtime_input,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
S7-BOUNDARY-04,TP4,TP,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,forbidden_not_runtime_input,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
S7-BOUNDARY-05,TP5,TP,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,forbidden_not_runtime_input,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
S7-BOUNDARY-06,TP6,TP,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,forbidden_not_runtime_input,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
S7-BOUNDARY-07,TW1,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,forbidden_not_runtime_input,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
S7-BOUNDARY-08,TW2,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,forbidden_not_runtime_input,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
S7-BOUNDARY-09,TW3,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,forbidden_not_runtime_input,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
S7-BOUNDARY-10,TW4,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,forbidden_not_runtime_input,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
S7-BOUNDARY-11,TW5,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,forbidden_not_runtime_input,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
S7-BOUNDARY-12,TW6,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,forbidden_not_runtime_input,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
S7-BOUNDARY-13,TW7,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,forbidden_not_runtime_input,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
S7-BOUNDARY-14,TW8,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,forbidden_not_runtime_input,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/bounded_or_excluded_sensor_rationale.csv;work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
