request_type,task_id,board_status_after_this_task,priority,reason,required_analysis_or_action,outputs_needed,dependencies,guardrails
added_transfer,TODO-THESIS-LATEX-EVIDENCE-PACKET-WRITER-CONTROL-SURFACE-2026-07-22,planned_unclaimed,HIGH,LaTeX evidence lacks the writer control surface needed to use matrix and ledger safely,Import compact matrix ledger crosswalks forbidden-overclaim matrix admission labels source index and writer protocol,"README; chapter matrix; numerical ledger; crosswalk bundle; source manifest",None beyond papers-row path claim,No thesis body edit; no raw CFD; no final-score/admission change
added_transfer,TODO-THESIS-LATEX-EVIDENCE-PACKET-CH3-CFD-DATABASE-2026-07-22,planned_unclaimed,HIGH,Ch3 CFD database compact packet is ready locally but absent in thesis evidence,Import compact Ch3 case provenance QoI retained-window and legal-use evidence,"case provenance ledger; QoI dictionary; method contract; split labels; figure/table targets",Papers evidence path claim,CFD reference only; no experimental validation; no native CFD copy
added_transfer,TODO-THESIS-LATEX-EVIDENCE-PACKET-S13-MESH-GCI-UPCOMER-2026-07-22,planned_unclaimed,HIGH,S13 mesh/GCI packet completed after old queue and should update upcomer evidence,Import completed packet and preserve fail-closed GCI/admission labels,"mesh QOI table; medium/fine deltas; temporal-vs-mesh table; predictive path status",Completed TODO-THESIS-S13-MESH-GCI-UPCOMER-EXCHANGE-EVIDENCE-PACKET-2026-07-22,No Qwall/source-property release; no exchange coefficient; no ordinary upcomer closure
added_transfer,TODO-THESIS-LATEX-EVIDENCE-PACKET-PRESSURE-F6-ORDINARY-BASIS-2026-07-22,planned_unclaimed,HIGH,Pressure F6 ordinary-basis failure packet completed after old queue,Import negative-result packet and claim boundaries,"section residual table; failure matrix; gate waterfall; allowed/forbidden claims",Completed TODO-THESIS-PRESSURE-F6-ORDINARY-BASIS-FAILURE-PACKET-2026-07-22,No clipped K; no component-K/F6 admission; no F3/Shah defeat claim
added_transfer,TODO-THESIS-LATEX-EVIDENCE-PACKET-SOURCE-PROPERTY-UNBLOCK-2026-07-22,planned_unclaimed,HIGH,Source/property unblock packet completed after old queue and informs Ch6/Ch8 blocked state,Import release-unblock evidence and protected runtime legality table,"unblock matrix; candidate release path table; protected runtime legality table; thesis transfer manifest",Completed TODO-THESIS-SOURCE-PROPERTY-RELEASE-UNBLOCK-STUDY-2026-07-22,Release-ready rows remain zero; no freeze or protected scoring
added_update,TODO-THESIS-TABLES-LEDGERS-POST-STUDY-REFRESH-2026-07-22,planned_unclaimed,HIGH,Older dispatch queues now have stale statuses after S13 pressure and source/property completions,Refresh transfer manifest table/figure queues and list any new numerical claims missing from ledger,"stale-status correction table; updated completed-studies ledger; table/figure update queue; optional claims-ledger update plan",Use current board and completed packets,No prose rewrite; no external edit unless separately claimed; no admission change
added_modeling_info,TODO-THESIS-PAPER-OUTLINE-MODELING-INFORMATION-PACKET-2026-07-22,planned_unclaimed,HIGH,Outside writer needs compact technical model information beyond prose drafts,Build a full model-slot and governing-equations information pack tied to outline sections,"model-slot inventory; equations and symbols; assumptions/caveats; runtime whitelist/blacklist; split/admission labels; figure/table targets",Use glossary Ch5 Ch6 LitRev final rows and completed model-form packets,No new science; no coefficient admission; no final score
existing_science,TODO-THESIS-FIGURE-IMPORT-COUNT-AUDIT-2026-07-22,active,HIGH,Figure count mismatch must be resolved before asset copy,Audit summary count versus selected figure ledger and source existence,"copy/no-copy manifest; caption-safe claims; source-path existence table",Active row closeout,No broad figure tree copy
existing_science,TODO-THESIS-RECIRCULATION-FRACTION-CLOSED-CV-STUDY-2026-07-22,open,HIGH,Current recirculation evidence is proxy-based and needs closed same-CV fraction if possible,Define CV masks and quantify fraction/topology/onset feasibility,"closed-CV mask schematic; Salt-family fraction table; topology table; onset/regime map",S13 and velocity figure packets read-only,No ordinary upcomer Nu/f_D/K/F6 admission
existing_science,TODO-THESIS-THERMAL-RESIDUAL-OWNER-FIGURE-PACKET-2026-07-22,open,HIGH,Thermal evidence needs thesis-ready visual synthesis,Build residual-owner waterfall heat-path table D2/D3/D4 table passive hA panel and caption ledger,"figure/table packet ready for LaTeX import",Thermal accounting D2/D3/D4/MF12/MF15/MF17 packets,No residual absorption into internal Nu
