candidate_id,case_key,legacy_case_id,legacy_split_role,corrected_split_role,coupled_run_status,root_status,mdot_error_pct,tp_rmse_K,tw_rmse_K,all_probe_rmse_K,coupled_gate,scorecard_use,corrected_split_training_compliant,source_path
PB1_PLUS_HX_LUMPED_UA_NTU,salt1_nominal,,missing_from_legacy_coupled_scorecard,final_training,missing_no_salt1_scenario_contract,,,,,,not_run_corrected_split_required,required_for_final_training_freeze_missing,no,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_coupled_admission/coupled_scorecard.csv
PB1_PLUS_HX_LUMPED_UA_NTU,salt2_jin_nominal,salt_2,train,final_training,completed,accepted,-3.329620592,18.60869667,59.04363343,50.04939754,train_not_admission_scored,diagnostic_legacy_split_evidence_not_final_corrected_split,no,Fluid solve_case with AGENT-494 PB1+cooler scenario
PB1_PLUS_HX_LUMPED_UA_NTU,salt3_jin_nominal,salt_3,validation,final_training,completed,accepted,-0.5565578445,27.56637904,61.52743028,53.29246998,fail_vs_m3,diagnostic_legacy_split_evidence_not_final_corrected_split,no,Fluid solve_case with AGENT-494 PB1+cooler scenario
PB1_PLUS_HX_LUMPED_UA_NTU,salt4_nominal,salt_4,holdout,final_training,completed,accepted,-7.091500839,41.31592615,67.50572981,60.55074726,fail_vs_m3,diagnostic_legacy_split_evidence_not_final_corrected_split,no,Fluid solve_case with AGENT-494 PB1+cooler scenario
PB1_PLUS_HX_SEGMENTED_UA_NTU_N16,salt1_nominal,,missing_from_legacy_coupled_scorecard,final_training,missing_no_salt1_scenario_contract,,,,,,not_run_corrected_split_required,required_for_final_training_freeze_missing,no,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_coupled_admission/coupled_scorecard.csv
PB1_PLUS_HX_SEGMENTED_UA_NTU_N16,salt2_jin_nominal,salt_2,train,final_training,completed,accepted,-3.322905605,18.59766163,59.06216206,50.06314385,train_not_admission_scored,diagnostic_legacy_split_evidence_not_final_corrected_split,no,Fluid solve_case with AGENT-494 PB1+cooler scenario
PB1_PLUS_HX_SEGMENTED_UA_NTU_N16,salt3_jin_nominal,salt_3,validation,final_training,completed,accepted,-0.5506962407,27.55635375,61.54202957,53.30243815,fail_vs_m3,diagnostic_legacy_split_evidence_not_final_corrected_split,no,Fluid solve_case with AGENT-494 PB1+cooler scenario
PB1_PLUS_HX_SEGMENTED_UA_NTU_N16,salt4_nominal,salt_4,holdout,final_training,completed,accepted,-7.086912583,41.30724294,67.51576027,60.55658425,fail_vs_m3,diagnostic_legacy_split_evidence_not_final_corrected_split,no,Fluid solve_case with AGENT-494 PB1+cooler scenario
PB1_PLUS_HX_SEGMENTED_UA_NTU_N4,salt1_nominal,,missing_from_legacy_coupled_scorecard,final_training,missing_no_salt1_scenario_contract,,,,,,not_run_corrected_split_required,required_for_final_training_freeze_missing,no,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_coupled_admission/coupled_scorecard.csv
PB1_PLUS_HX_SEGMENTED_UA_NTU_N4,salt2_jin_nominal,salt_2,train,final_training,completed,accepted,-3.323297969,18.59830662,59.061078,50.06233947,train_not_admission_scored,diagnostic_legacy_split_evidence_not_final_corrected_split,no,Fluid solve_case with AGENT-494 PB1+cooler scenario
PB1_PLUS_HX_SEGMENTED_UA_NTU_N4,salt3_jin_nominal,salt_3,validation,final_training,completed,accepted,-0.5510385116,27.55693971,61.54117525,53.30185468,fail_vs_m3,diagnostic_legacy_split_evidence_not_final_corrected_split,no,Fluid solve_case with AGENT-494 PB1+cooler scenario
PB1_PLUS_HX_SEGMENTED_UA_NTU_N4,salt4_nominal,salt_4,holdout,final_training,completed,accepted,-7.087180631,41.30775041,67.51517311,60.55624236,fail_vs_m3,diagnostic_legacy_split_evidence_not_final_corrected_split,no,Fluid solve_case with AGENT-494 PB1+cooler scenario
PB1_PLUS_HX_SEGMENTED_UA_NTU_N8,salt1_nominal,,missing_from_legacy_coupled_scorecard,final_training,missing_no_salt1_scenario_contract,,,,,,not_run_corrected_split_required,required_for_final_training_freeze_missing,no,work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_coupled_admission/coupled_scorecard.csv
PB1_PLUS_HX_SEGMENTED_UA_NTU_N8,salt2_jin_nominal,salt_2,train,final_training,completed,accepted,-3.322984436,18.59779044,59.06194534,50.06298302,train_not_admission_scored,diagnostic_legacy_split_evidence_not_final_corrected_split,no,Fluid solve_case with AGENT-494 PB1+cooler scenario
PB1_PLUS_HX_SEGMENTED_UA_NTU_N8,salt3_jin_nominal,salt_3,validation,final_training,completed,accepted,-0.5507650389,27.55647089,61.54185875,53.30232148,fail_vs_m3,diagnostic_legacy_split_evidence_not_final_corrected_split,no,Fluid solve_case with AGENT-494 PB1+cooler scenario
PB1_PLUS_HX_SEGMENTED_UA_NTU_N8,salt4_nominal,salt_4,holdout,final_training,completed,accepted,-7.086964995,41.30734432,67.51564287,60.55651587,fail_vs_m3,diagnostic_legacy_split_evidence_not_final_corrected_split,no,Fluid solve_case with AGENT-494 PB1+cooler scenario
