symbol_or_term,plain_definition,units,sign_or_basis,source_paths,writer_use,forbidden_use,admission_state
mdot,Loop mass flow rate,kg/s,positive in loop throughflow direction,"reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md","May be a score target or CFD reference quantity.","Do not use scored-row CFD mdot as predictive runtime input.",guardrail
cp,Specific heat capacity,J/kg-K,property-lane dependent,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md; reports/thesis_dossier/Chapters_and_sections/current/10_uncertainty_chapter_package.md","Use in energy balance and property-lane discussion.","Do not treat as property-independent when comparing Re/Pr/Gz or heat residuals.",model_input
T_in/T_out,Segment inlet/outlet bulk temperatures,K,segment path direction,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","Use as state variables in finite segment energy balance.","Do not replace runtime inputs with validation TP/TW probe temperatures.",model_state
T_drive,Temperature used to drive wall/external heat loss,K,must state bulk/inner-wall/outer-wall/insulation basis,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","Use to define wall-loss resistance basis.","Do not compare UA or hA values unless T_drive basis is the same.",basis_required
T_env,Ambient or external boundary temperature,K,setup-facing if predictive,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","Use for external convection/radiation/layer terms.","Do not substitute realized validation temperatures as runtime boundary inputs.",basis_required
Q_wall_W,Trusted-wall heat into the seeded fluid,W,positive into seeded fluid when source package says so,"work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_target_plus_same_qoi_harvest/README.md","Use only with exact package provenance and S13 gate caveats.","Do not relabel source-side heatflow as Q_wall_W; do not admit coefficient from it here.",released_target_diagnostic
Q_source_side_net_static_bc_W,Source-side static boundary heat accounting quantity,W,source static BC minus sink static BC,"operational_notes/07-26/22/2026-07-22_THESIS_TOMORROW_CONTEXT_PROGRESS_HANDOFF.md","Use when discussing source-side conservation labels.","Do not call this realized wall heat flux.",label_pinned
Q_residual_i,Remaining segment heat imbalance,W,signed by segment balance convention,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","Use to identify missing source/sink/model-form ownership.","Do not treat residual as admitted closure or hide it in Nu.",diagnostic
rho,Density,kg/m3,property-lane dependent,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","Use in buoyancy and dynamic pressure definitions.","Do not compare pressure terms without property-lane context.",model_input
V,Representative velocity,m/s,plane/window/basis must be named,"reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md; reports/thesis_dossier/Chapters_and_sections/current/13_two_tap_recirc_section_effective_pressure_model.md","Use to define dynamic pressure q_i or q_ref.","Do not use ordinary single-stream basis in recirculating rows without gate clearance.",basis_required
