qoi_family,qoi_name,case_or_source_family,phase_a_neighbor_window_status,phase_a_retained_time_source,matched_prior_same_qoi_rows,mesh_gci_status_summary,phase_b_classification,phase_b_blocker,phase_b_rationale,accepted_gci_rows,diagnostic_gci_rows,blocked_gci_rows,not_applicable_rows,next_task,source_paths
pressure,lower_right_corner_available_pressure_residual,pressure_corner_basis_recovery; salt2/salt3/salt4 mainline,missing: same-label neighboring windows are blocked_missing_neighbor_window,present: retained times 7915 s; 7618 s; 10000 s recorded for current lower-right corner residual rows,3,blocked_missing_same_qoi_GCI:3,blocked,missing_same_qoi_mesh_gci,Prior rows explicitly mark mesh/GCI support missing or blocked.,0,0,1,0,Run existing-artifact same-label/formula/sign time-window preflight for lower_leg__s04->right_leg__s00; queue compute-node sampling only if windows are absent,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_isolation_uq_progress/same_qoi_mesh_uq.csv
pressure,corner_lower_right_section_effective_pressure_residual,two_tap_face_qref_uq_progress; salt2/salt3/salt4 mainline,missing: blocked_missing_neighbor_window,present: single_retained_window_available for salt2/salt3/salt4,3,blocked_missing_same_qoi_mesh_UQ:3,blocked,missing_same_qoi_mesh_gci,Prior rows explicitly mark mesh/GCI support missing or blocked.,0,0,1,0,Use pressure-corner same-QOI time/mesh inventory route; do not convert residual into component K,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_two_tap_corner_lower_right_isolation_uq_progress/same_qoi_mesh_uq.csv
pressure,F6_endpoint_pressure_delta,f6_endpoint_pair_same_qoi_uq_preflight; clean endpoint pairs for salt2/salt3/salt4,missing: blocked_missing_neighbor_window,missing: geometry_preflight_only_no_pressure_window,6,blocked_missing_same_qoi_mesh_GCI:6,blocked,missing_same_qoi_mesh_gci,Prior rows explicitly mark mesh/GCI support missing or blocked.,0,0,1,0,Claim raw F6 endpoint face sampler row that emits retained and neighboring windows before any F6 review,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/same_qoi_mesh_uq_diagnostic.csv
pressure,F6_endpoint_face_raw_pressure_velocity,f6_endpoint_face_uq_execution; coarse/medium/fine endpoint face matrix,missing: blocked_missing_neighbor_window,partial: single sample times are listed for coarse faces but rows are blocked_pending_raw_sampler_output or missing required fields/time,20,blocked_missing_same_qoi_mesh_GCI:12|diagnostic_mesh_spread_possible_after_raw_sampler:8,blocked,missing_same_qoi_mesh_gci,Prior rows explicitly mark mesh/GCI support missing or blocked.,0,0,1,0,Complete face sampler outputs across retained and neighboring windows with mesh-level labels; keep no-fit gate active,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/same_qoi_mesh_uq.csv
recirculation,pm10_pressure_partial_residual_v1,pm10_upcomer_same_qoi_uq_preflight; salt2_lo10q/salt2_hi10q/salt4_lo10q/salt4_hi10q,missing: missing_no_same_qoi_neighbor_windows,present: single_retained_window_members_1 for four PM10 rows,4,missing_no_same_qoi_mesh_family:4,blocked,missing_same_qoi_mesh_gci,Prior rows explicitly mark mesh/GCI support missing or blocked.,0,0,1,0,Wait for terminal same-QOI mesh family and neighboring retained windows; do not fit/select model from PM10 rows now,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
recirculation,V_recirc_mdot_exchange_tau_recirc,upcomer_exchange_evidence_preflight; matched-plane/upcomer diagnostic proxy,missing: same-QOI neighboring windows blocked_or_terminal_gated,partial: retained proxy windows exist for salt2/salt3/salt4 upcomer diagnostics but are not admission-grade for exchange QOIs,0,missing_no_prior_same_qoi_mesh_rows,blocked,missing_exchange_or_terminal_mesh_family,Exchange-state or terminal source QOIs are not harvested into a same-QOI mesh family.,0,0,1,0,Extract or admit V_recirc; mdot_exchange; tau_recirc; paired thermal state; same-window pressure residual; same-QOI UQ in a separately claimed sampler/harvest row,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
recirculation,terminal_source_family_exchange_QOIs,upcomer_exchange_terminal_source_readiness; latest_corrected_Q/high_heat/PM10/two_tap/upcomer source families,missing: neighbor windows unavailable until terminal success and harvest/sampler output,missing: terminal_harvest_ready_now=false and live terminal sources are not harvested,0,missing_no_prior_same_qoi_mesh_rows,blocked,missing_exchange_or_terminal_mesh_family,Exchange-state or terminal source QOIs are not harvested into a same-QOI mesh family.,0,0,1,0,Wait for terminal monitor then claim harvest if terminal success; do not launch duplicate sampler from Phase A,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
thermal,HTC_UA_prime_Nu_and_thermal_segment_closure,thermal_mesh_gate; salt2 thermal mesh rows,missing: blocked_missing_neighbor_window,partial: medium/fine retained outputs are available if computed,7,blocked_not_computed_no_coarse_thermal_triplet:2|diagnostic_two_level_only_not_computed_no_coarse_thermal_triplet:5,diagnostic_only,two_level_or_incomplete_mesh_evidence,Existing mesh evidence is useful for diagnostics but is incomplete for admission.,0,1,0,0,Resolve wallHeatFlux/enthalpy/UA sign convention and right-leg/downcomer policy then join exact retained and neighboring thermal windows before admission review,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_mesh_gate/thermal_mesh_gate_qois.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_mesh_gate_qois.csv
thermal,internal_Nu_fit_by_segment,thermal_row_admission_ledger; downcomer/lower_leg/upcomer,missing: blocked_not_demonstrated_as_same_qoi_neighbor_window,not_applicable: ledger rows are existing admission artifacts rather than retained-time extracts,40,blocked_not_demonstrated_as_same_qoi_GCI:40,not_applicable,ledger_artifact_not_retained_mesh_gci_extract,"These rows are release/admission ledgers, not same-QOI retained mesh triplets.",0,0,0,1,Reopen only after matched-plane thermal/vector extraction; onset anchors; mesh/time uncertainty are admitted,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv;work_products/2026-07/2026-07-13/2026-07-13_thermal_mesh_gate/thermal_mesh_gate_qois.csv;work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_mesh_gate_qois.csv
heat_loss,HX_cooler_candidate_and_final_predictive_heat_path,thermal_row_admission_ledger; heatloss_phase_5_frozen_scorecard,missing: blocked_not_demonstrated_as_same_qoi_neighbor_window,not_applicable: ledger rows are candidate/scorecard artifacts and not retained-time CFD samples,40,blocked_not_demonstrated_as_same_qoi_GCI:40,not_applicable,ledger_artifact_not_retained_mesh_gci_extract,"These rows are release/admission ledgers, not same-QOI retained mesh triplets.",0,0,0,1,Separate setup-legal heat-loss terms from diagnostic replay and scorecard lanes; keep final freeze negative until hydraulic/cfd-pp/runtime gates pass,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv;work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_a_retained_window_inventory/qoi_retained_window_inventory.csv
