heat_path,measurement_or_input_needed,runtime_allowed_after_release,diagnostic_allowed,forbidden_runtime_input,current_status,minimum_unblock
"heater_to_salt_efficiency","setup heater power; declared source distribution; heater-to-salt efficiency eta_h; geometry; property lane","yes_after_source_property_release","realized heater wallHeatFlux and imposed-realized gap for audit","realized CFD heater wallHeatFlux; validation temperature fit; hidden Nu correction","setup source traceable but runtime contract/source-property release not ready","candidate-specific source/property release and train/support UQ"
"cooler_or_jacket_removal","setup HX/jacket geometry; coolant/ambient state; UA/effectiveness model; property lane","yes_after_setup_model_release","imposed/realized cooler heat for post-score audit","imposed CFD cooler duty; realized cooler wallHeatFlux; validation temperatures","setup model lane exists but no final release","predeclared cooler UA/effectiveness model without CFD duty runtime input"
"test_section_source_loss","setup test-section power; quartz/layer geometry; exposed area; external BC fields","yes_after_source_bounded_release","train-only residual response and wall diagnostics","realized test-section heat; legacy residual shortcut; validation temperatures","partial response no release","narrow test-section source-basis and same-QOI UQ"
"passive_external_convection","h_ext; Ta; area; coverage; drive selector; solved surface temperature","yes_after_setup_field_completion","passive wall sensitivity and patchwise wallHeatFlux audit","global hA multiplier selected by protected score","diagnostic strong but not released","source-backed h/area/coverage and wall-state mapping"
"radiation","emissivity; Tsur; area; view-factor assumption; solved surface temperature","yes_after_radiation_policy_release","radiation sensitivity and CFD wallHeatFlux audit","double-count radiation on top of CFD wallHeatFlux replay","contract ready but no numeric release","radiation semantics and source-backed emissivity/Tsur"
"wall_conduction_contact","wall/layer thickness; material k; contact resistance; area; solved wall states","yes_after_material_field_release","wall temperature and wallHeatFlux comparison","back-solved heldout contact resistance; contact collapsed into Nu","partial setup fields missing","material/geometry field completion and same-QOI UQ"
"insulation_or_quartz","insulation/quartz thickness; k; coverage; external BCs","yes_after_material_source_release","test-section and passive wall residual attribution","realized wallHeatFlux or validation temperature as fitted source","candidate not admitted","segment-specific material/source release"
"storage","rho*cp*volume; wall/fluid dT/dt; time-window metadata","no_current_steady_runtime","time drift and solid energy audit","storage fitted as steady residual closure","future transient lane only","separate transient/storage model row"
"recirculation_exchange","exchange geometry/state; cp; same-label exchange QOIs; mesh/time UQ","yes_after_exchange_candidate_release","S13 exchange/Qwall diagnostics","ordinary upcomer Nu/f_D/K under recirculation","diagnostic only","S13 same-label mesh/GCI and source/property release"
"unknown_residual","explicit output after all declared lanes","never_runtime_closure","blocker tracking and residual-owner matrix","runtime residual closure; hidden multiplier; internal Nu absorption","output only","new physical owner evidence"
