claim_id,quantity,value,units,case_or_scope,split_role,source_path,allowed_thesis_claim,forbidden_overclaim,target_section,uncertainty_or_admission_label,figure_table_target
NUM-001,final_score_values,0,count,current thesis-wide,all,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch7_ch8_results_negative_blocked/summary.json,No final predictive score is currently released,Do not report final predictive accuracy or final validation score,Ch7/Ch8,blocked_no_final_score,blocked_scorecard_waterfall
NUM-002,single_released_candidates,0,count,current thesis-wide,all,work_products/2026-07/2026-07-22/2026-07-22_four_study_thesis_support_gate/summary.json,No single released candidate exists for freeze review,Do not open S15 or claim candidate freeze,Ch6/Ch8,blocked_no_single_released_candidate,model_form_ladder_no_admission
NUM-003,cfd_evidence_classes,8,rows,CFD legal-use packet,context,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_cfd_legal_use_matrix/summary.json,CFD evidence use is explicitly classified by evidence class,Do not treat diagnostic CFD evidence as runtime predictor input,Ch3/Ch4,writer_support_ready,cfd_legal_use_matrix
NUM-004,cfd_case_split_rows,16,rows,CFD legal-use packet,split-policy,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_cfd_legal_use_matrix/summary.json,Train support holdout and external-test boundaries are documented,Do not score holdout or external rows before candidate freeze,Ch4,split_boundary_ready,case_split_legal_use_table
NUM-005,cfd_forbidden_runtime_inputs,6,rows,CFD legal-use packet,runtime-contract,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_cfd_legal_use_matrix/summary.json,The runtime contract explicitly bans target leakage,Do not use CFD mdot realized wallHeatFlux cooler duty validation temperatures holdout data or external-test data as predictive inputs,Ch5/Ch6,runtime_leakage_guardrail,runtime_forbidden_input_bans
NUM-006,pm10_terminal_evidence_rows,4,rows,Salt2 and Salt4 plus/minus 10Q,future-holdout candidate,work_products/2026-07/2026-07-22/2026-07-22_predict_salt_pm10_terminal_admission/summary.json,PM10 terminal evidence exists for future blind-holdout planning,Do not fit tune model-select or score PM10 rows now,Ch4/Ch8,future_holdout_diagnostic_only,pm10_split_use_decision
NUM-007,pm10_protected_score_allowed_now,0,rows,PM10 rows,future-holdout candidate,work_products/2026-07/2026-07-22/2026-07-22_predict_salt_pm10_terminal_admission/summary.json,Protected PM10 score remains closed until an independent freeze,Do not publish PM10 protected score now,Ch4/Ch8,protected_score_blocked,pm10_split_use_decision
NUM-008,pm10_total_Q_not_steady_rows,4,rows,PM10 terminal packet,future-holdout candidate,work_products/2026-07/2026-07-22/2026-07-22_predict_salt_pm10_terminal_admission/summary.json,PM10 terminal rows still carry total-Q steadiness caveats,Do not promote PM10 rows to final performance evidence,Ch4/Ch8,future_holdout_diagnostic_only,pm10_case_terminal_gate
NUM-009,master_model_form_scoreboard_rows,15,rows,model-form scoreboard,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/summary.json,The model-form scoreboard consolidates current diagnostic and blocked forms,Do not infer any scoreboard row is admitted or frozen,Ch5/Ch7/Ch8,diagnostic_support,model_form_ladder_no_admission
NUM-010,model_form_glossary_terms,43,rows,model-form scoreboard,writer context,work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/summary.json,The glossary gives a compact vocabulary for model-form prose,Do not introduce new unsupported terminology,Ch5,writer_support_ready,term_glossary
NUM-011,signed_sensor_error_rows,204,rows,model-form scoreboard,diagnostic,work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/summary.json,Sensor-level signed errors exist for legacy diagnostic model forms,Do not call these rows final validation scores,Ch7,diagnostic_context,signed_sensor_errors
