case_key,source_id,salt_number,variant,exclusion_class,reason,evidence_path,reentry_condition
salt1_jin_nominal_continuation,viscosity_screening_salt_test_1_jin_coarse_mesh,salt1,nominal,diagnostic-only Salt1,Salt1 terminal window is context-only pending an explicit Salt1 admission policy.,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv,define Salt1 admission/split policy before any training use
salt1_lo10q,salt1_jin_lo10q_corrected,salt1,lo10q,diagnostic-only,Salt1 corrected-Q rows have context-only terminal evidence pending Salt1 policy.,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv,define Salt1 policy and verify diagnostic-only convergenceMonitor before any continuation
salt1_hi10q,salt1_jin_hi10q_corrected,salt1,hi10q,failed/not-admissible,Not accepted; early monitor/End path. Repair/rerun before treating as continuation evidence.,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,"investigate failed high-Q attempt, document cause, then rebuild/rerun from corrected restart if still needed"
salt3_hi5q,salt3_jin_hi5q_corrected,salt3,hi5q,failed/not-admissible,Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,"investigate failed high-Q attempt, document cause, then rebuild/rerun from corrected restart if still needed"
salt3_hi10q,salt3_jin_hi10q_corrected,salt3,hi10q,failed/not-admissible,Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,"investigate failed high-Q attempt, document cause, then rebuild/rerun from corrected restart if still needed"
salt2_mesh_refinement_family_coarse_medium_fine,viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,mesh-level,mesh diagnostic,"Mesh family exists and selected Salt2 pressure/thermal outputs are readable, but 0 closure-QOI rows are publication-ready and 0 thermal rows are fit-admissible.",work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/refreshed_qoi_mesh_gate_status.csv; work_products/2026-07/2026-07-14/2026-07-14_thermal_closure_mesh_gate_refresh/thermal_admission_table.csv; work_products/2026-07/2026-07-13/2026-07-13_salt2_pressure_only_mesh_family_comparison/fit_safety_summary.csv,resolve closure-QOI GCI/sign/heat-balance gates before using mesh rows for fit or publication uncertainty
salt1_kirst_historical_reference,viscosity_screening_salt_test_1_kirst_coarse_mesh,salt1,kirst,historical/reference,Historical/reference Salt row; not current mainline and not re-admitted for training.,operational_notes/maps/cfd-runs-and-admission.md,dated re-admission task required before any downstream use
salt2_native_historical_reference,val_salt_test_2_coarse_mesh_laminar,salt2,native_reference,historical/reference,Historical/reference Salt row; not current mainline and not re-admitted for training.,operational_notes/maps/cfd-runs-and-admission.md,dated re-admission task required before any downstream use
salt2_kirst_historical_reference,viscosity_screening_salt_test_2_kirst_coarse_mesh,salt2,kirst,historical/reference,Historical/reference Salt row; not current mainline and not re-admitted for training.,operational_notes/maps/cfd-runs-and-admission.md,dated re-admission task required before any downstream use
salt3_kirst_historical_reference,viscosity_screening_salt_test_3_kirst_coarse_mesh,salt3,kirst,historical/reference,Historical/reference Salt row; not current mainline and not re-admitted for training.,operational_notes/maps/cfd-runs-and-admission.md,dated re-admission task required before any downstream use
salt4_kirst_historical_reference,viscosity_screening_salt_test_4_kirst_coarse_mesh,salt4,kirst,historical/reference,Historical/reference Salt row; not current mainline and not re-admitted for training.,operational_notes/maps/cfd-runs-and-admission.md,dated re-admission task required before any downstream use
original_q_insulation_perturbation_sweep,invalid_14_case_q_insulation_campaign,salt1-salt4,old_false_steady_q_insulation,failed/not-admissible,Historical Q perturbation roots were false-steady/invalid because live restart fields did not carry the intended perturbation.,operational_notes/maps/cfd-runs-and-admission.md,none; use corrected Salt-Q campaign only after terminal admission
