source_id,path,kind,target_use,key_facts,claim_ids,caveats
SRC-CH1-01,reports/thesis_dossier/Chapters_and_sections/current/15_ch1_csem_motivation_and_contribution.md,thesis-dossier,Chapter 1 motivation and contribution framing,"Frames thesis as CFD-to-1D closure/admission workflow for CSEM/SAM-relevant reduced modeling; CFD is high-fidelity reference not experimental validation; negative results are part of contribution.",CL-01; CL-02; CL-03; CL-25,"Use as prose skeleton only; do not imply final predictive closure."
SRC-CH1-02,reports/thesis_dossier/Chapters_and_sections/current/14_csem_narrative_integration_plan.md,thesis-dossier,Chapter roadmap and ready/blocked writing status,"Maps motivation CFD evidence 1D model form closure ledger pressure/thermal results predictive path uncertainty limitations and SAM relevance; lists ready and blocked sections.",CL-01; CL-02; CL-04; CL-25,"Contains integration plan rather than final analysis; preserve ready-vs-blocked distinction."
SRC-CH1-03,../papers/UTexas_Research/csem-Masters_dissertation/intro_adjacent/introduction.tex,latex-readonly,Current Chapter 1 adjacent source context,"Current LaTeX contains TAMU MSFL setup description research questions scope and molten-salt property-correlation context.",CL-01; CL-02; CL-25,"External repo read-only for this task; property units and temperature basis should be source-checked before final prose tightening."
SRC-CH1-04,../papers/UTexas_Research/3d_analysis/sections/01_introduction_and_claim.tex,latex-readonly,Chapter 1 evidence context and Chapter 3 bridge,"3D paper central claim: Salt-family property-model choice redistributes hydraulic loading and thermal pathways; matched Salt2 supports mechanism; Salt-only result with Water future context.",CL-01; CL-02,"Do not promote 3D diagnostic redistribution evidence to admitted 1D closure."
SRC-CH4-01,reports/thesis_dossier/Chapters_and_sections/current/01_modeling_approach.md,thesis-dossier,Chapter 4 governing model architecture,"Defines compact pressure root buoyancy integral pressure loss sum and segment energy ledger; diagnostic modes are not final prediction.",CL-03; CL-04,"Model forms are slots and ledgers; slot existence is not coefficient admission."
SRC-CH4-02,reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md,thesis-dossier,Chapter 4 fluid+walls model form,"Defines steady fluid+walls target segment records wall/material stack pressure lane thermal lane source/sink flags recirculation flags evidence class and uncertainty status.",CL-03; CL-04; CL-17,"Do not collapse wall/external losses into internal Nu without admission evidence."
SRC-CH4-03,reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md,thesis-dossier,Chapter 4 split and evidence-class policy,"Defines training training-support holdout/testing external-test diagnostic and blocked roles; lists final split; forbids runtime leakage.",CL-04; CL-05; CL-22,"Must preserve role differences; holdout and external-test rows cannot tune or choose closure."
SRC-CH4-04,reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md,thesis-dossier,Chapter 4 claim crosswalk and guardrails,"Claim IDs for CFD reference workflow contribution fluid+walls runtime leakage split policy heat accounting pressure non-admission uncertainty and SAM relevance.",CL-01; CL-02; CL-03; CL-04; CL-05; CL-17; CL-18; CL-19; CL-20; CL-21; CL-22; CL-25; CL-26; CL-30,"Use claim IDs as boundaries; ledger is not new evidence by itself."
SRC-CH4-05,reports/thesis_dossier/Chapters_and_sections/current/16_ch3_csem_cfd_evidence_database.md,thesis-dossier,Chapter 3 to Chapter 4 evidence bridge,"Describes CFD database roles Salt-family cases retained window reduction workflow wall-boundary setup and legal uses of CFD artifacts.",CL-01; CL-04; CL-17; CL-18,"Use to explain evidence provenance and legal use; do not copy raw CFD outputs."
SRC-CH4-06,reports/thesis_dossier/Chapters_and_sections/current/25_litrev_csem_thesis_incorporation.md,thesis-dossier,Chapter 4 literature/source-use gate,"Literature equations and coefficients require source-basis matching; internal Nu must not absorb external heat losses; component K requires isolation/recovery.",CL-17; CL-26,"Literature support is source-bounded and diagnostic until TAMU admission."
