heat_path,lane_scope,runtime_inputs_allowed,forbidden_runtime_inputs,outputs,diagnostic_or_scoring_outputs,current_status,current_blocker,source_contracts,source_evidence,guardrail
heater_source_to_fluid,"Declared heater/electrical source that may enter the fluid or wall before losses are applied","setup heater power; declared heater/source distribution; optional admitted train-only heater efficiency; geometry; property lane","realized CFD heater wallHeatFlux as a predictive runtime input; validation temperatures; CFD mdot; hidden internal Nu correction","Q_heater_to_fluid; heater efficiency or source split; source residual if present","CFD imposed duty; realized heater wallHeatFlux; imposed-minus-realized gap; enthalpy residual","admitted setup-only scalar boundary lane for current predictive work","source distribution and same-time solid/storage audit remain incomplete for stronger physical claims","CFD-15 heat_loss_network_terms; fluid+walls source/sink role","work_products/2026-07/2026-07-16/2026-07-16_predictive_boundary_submodel_admission/submodel_admission_summary.csv; work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger/README.md","Do not compensate heater-transfer mismatch by changing internal Nu."
internal_Nu,"Salt-side internal convection and thermal boundary-layer closure only","geometry; Re; Pr; Gz; hydraulic diameter; admitted wall-bulk drive; source-envelope bounded Nu form; solved local fluid state","external heat residual; passive wall loss; radiation residual; heater or cooler duty error; storage; recirculation/mixing residual; CFD wallHeatFlux as runtime input","h_internal; Nu_internal; R_internal_convection; thermal entrance/development flag","postprocessed h and Nu from CFD wall and bulk fields; section-effective labels where recirculation or stratification is large","not fit-admitted; baseline/reference or diagnostic only","0 fit-admissible internal-Nu rows; sign/heat-balance recirculation and same-QOI mesh/GCI gates remain open","CFD-13 enthalpy_bulk_temperature; CFD-14 wall_heat_transfer; MF-01 gated_single_stream_developing_branch","operational_notes/maps/thermal-closures-and-internal-nu.md; work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/residual_owner_resolution_gate.csv","Heat residual may not be hidden in internal Nu."
wall_conduction,"Pipe wall or solid wall conduction between inner and outer surfaces","wall material; inner/outer radii or thickness; k_wall; area/perimeter; solved wall or coupled wall state","fit multiplier that absorbs external convection/radiation/storage; realized CFD wallHeatFlux as runtime input; validation wall temperatures","R_wall_conduction; inner/outer wall temperature relation; wall heat-rate contribution","CFD wall temperature and wallHeatFlux comparisons; wall-drive candidate errors","partial and diagnostic for most segments","segment-local wall material ownership and coupled validation still incomplete; wall-circuit candidates failed validation/holdout gates","CFD-14 wall_heat_transfer; CFD-15 heat_loss_network_terms; fluid+walls wall circuit","work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/candidate_admission_review.csv; reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md","Keep wall conduction as a resistance lane distinct from internal convection."
contact_layer_resistance,"Contact gaps local layers coatings and imperfect thermal interfaces where documented","declared contact/layer resistance; layer thickness; k_layer; area; setup patch/layer metadata","back-solving a contact resistance from held-out heat residual; collapsing contact resistance into Nu; validation temperatures","R_contact_or_layer; layer temperature drop if modeled","layer metadata from boundary dictionaries; residual after known wall/external terms","partial and mostly diagnostic","contact/local layer ownership is not yet isolated by segment or independently validated","CFD-15 heat_loss_network_terms; external BC dictionary TODO","work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger/README.md; TODO-FLUID-EXTERNAL-BC-DICT board row","Use contact/layer terms only when the layer is a setup field or admitted trained parameter."
insulation_quartz,"Insulated steel regions and bare-quartz test-section exterior path","insulation thickness; k_insulation; quartz thickness; k_quartz; exposed area; drive-temperature selector; Ta/Tsur/emissivity/h if external path is included","realized test-section wallHeatFlux; validation/holdout temperatures; legacy 37 W source as passive loss; residual fitted into Nu","R_insulation; R_quartz_external; Q_test_section_net; heat-loss sign for quartz/test-section","test-section realized loss; setup candidate heat errors; material stack atlas","quartz/test-section material exists but passive-loss candidate is not admitted","predictive-wall-test-section-submodels remains open; setup-only physical candidates fail validation/holdout heat gates or lack accepted coupled score","CFD-15 heat_loss_network_terms; MF-01 branch thermal precheck; fluid+walls test-section balance","work_products/2026-07/2026-07-16/2026-07-16_predictive_test_section_heat_loss_model/setup_candidate_summary.csv; work_products/2026-07/2026-07-17/2026-07-17_test_section_passive_loss_admission_repair/README.md","Test section stays explicit and may be net source or sink; do not delete it or bury it in Nu."
external_convection,"Ambient external convection on passive walls heater exterior junctions and test-section exterior","h_ext; Ta; exposed area; drive-temperature selector; setup segment/patch role; coverage factor","CFD realized wallHeatFlux as predictive runtime input; validation temperatures; hidden residual multiplier; separate radiation added during wallHeatFlux replay","Q_external_convection; R_external_convection; segment external-loss contribution","patchwise passive wallHeatFlux; external boundary dictionary values; segment heat-ledger comparison","setup dictionary lane exists but many segment models remain validation-only","external BC dictionary first-class bridge remains TODO; segment-local wall resistance and coupled score are incomplete","CFD-15 heat_loss_network_terms; TODO-FLUID-EXTERNAL-BC-DICT; fluid+walls wall/boundary circuit","operational_notes/maps/thermal-boundary-and-radiation.md; work_products/2026-07/2026-07-17/2026-07-17_predict_segment_thermal_models/thermal_model_slot_admission.csv","External convection is a boundary lane, not an internal Nu correction."
radiation,"Surface-to-surroundings radiative exchange on rcExternalTemperature or predictive external boundaries","predictive mode: emissivity; Tsur; area; surface temperature from solve; view-factor assumption if admitted; replay mode: no extra radiation term when using realized wallHeatFlux","adding radiation on top of CFD realized wallHeatFlux; claiming radiation absent; fitting radiation residual into Nu; using qr when no qr field exists","Q_radiation or h_rad when modeled separately in predictive mode; radiation_on/off sensitivity label","emissivity/Tsur metadata; OF13 microcase wallHeatFlux deltas; no separate qr output status","CFD radiation embedded in wallHeatFlux; separate 1D radiation capability still open","TODO-1D-RADIATION-CAPABILITY open; current CFD has no exported separate qr heat term","CFD-15 heat_loss_network_terms; TODO-FLUID-EXTERNAL-BC-DICT","operational_notes/maps/thermal-boundary-and-radiation.md; reports/2026-07/2026-07-09/2026-07-09_external_boundary_setup_reference/README.md","Do not double count radiation; do not absorb radiative mismatch into Nu."
jacket_cooler_removal,"Active cooler HX or jacket removal distinct from passive ambient losses","setup cooler/HX geometry; coolant/air inlet conditions; UA or effectiveness-NTU candidate admitted from allowed training rows; property lane","imposed CFD cooler duty as predictive runtime input; realized cooler wallHeatFlux for prediction; internal Nu correction to hide cooler error; validation temperatures","Q_cooler_removed; cooler UA/effectiveness; cooler residual if scored","CFD imposed and realized cooler duty; cooler scorecard validation/holdout errors","admitted setup-only cooler/HX candidate for current predictive boundary submodel","broader distributed/coupled review continues but current scalar setup-only lane passes its gate","CFD-15 heat_loss_network_terms; fluid+walls source/sink role","work_products/2026-07/2026-07-16/2026-07-16_predictive_boundary_submodel_admission/submodel_admission_summary.csv; work_products/2026-07/2026-07-17/2026-07-17_predict_segment_thermal_models/thermal_model_slot_admission.csv","Cooler/jacket removal is an active sink lane, not a passive wall loss and not Nu."
storage,"Wall solid and fluid transient heat capacity or non-steady accumulation","steady model: none; future transient model: rho_cp_volume; wall temperature time derivative; time-window metadata","using storage to tune steady fit without transient evidence; erasing storage residual via Nu; unlogged time-window drift","Q_storage or dE_wall_dt only in future transient/ROM lane; steady storage flag","heater imposed-minus-realized gaps and heat-balance residuals that may include storage","not in present steady fluid+walls runtime model","steady thesis scope excludes wall storage; same-time solid-energy audit and transient model not admitted","CFD-15 heat_loss_network_terms; fluid+walls steady scope","reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md; work_products/2026-07/2026-07-16/2026-07-16_thermal_parity_resolution_gate/residual_owner_resolution_gate.csv","Storage remains an explicit residual owner or future lane, never an internal Nu fit."
residual,"Named remaining imbalance after all declared source sink wall boundary storage and recirculation lanes are evaluated","none as a closure; residual tolerance and ledger ownership labels only","runtime residual as a fitted heat path; residual hidden in internal Nu; residual used as training target without owner; validation heat targets at runtime","Q_residual; residual_fraction; owner_candidate; blocker label; next extraction requirement","wallHeatFlux minus enthalpy change; junction unbracketed residuals; segment heat score residuals","diagnostic/scoring only","large segment residuals remain; junctions unbracketed; upcomer recirculation and test-section passive loss not admitted","CFD-13 enthalpy_bulk_temperature; CFD-14 wall_heat_transfer; CFD-15 heat_loss_network_terms; MF-04 exchange-cell","work_products/2026-07/2026-07-08/2026-07-08_patchwise_heat_ledger_enthalpy_interfaces/README.md; work_products/2026-07/2026-07-17/2026-07-17_predict_segment_thermal_models/source_sink_ownership_contract.csv","Residual is an output and blocker pointer, not a physical closure."
