registry_id,quantity,form_or_surface,current_status,path_a_fluid_use,path_b_salt_cfd_rom_use,defended_domain,dimensionless_coordinates,primary_inputs,primary_source,notes
MAT-001,"rho(T)|mu(T)|cp(T)|k(T)","Explicit Salt material-branch evaluation by case family",admit_v1,required_input,required_input,all_salt_segments,"T|family_id","segment temperature; case family id","reports/2026-06-02_ethan_1d_model_discrepancy_report/README.md","Do not collapse Jin Kirst and validation salt into one hidden default."
FRIC-BASE-001,fD,"Laminar fully developed circular baseline f_D = 64 / Re",baseline_only,baseline_reference,baseline_reference,straight_smooth_sections,Re,"local rho(T); mu(T); U or mdot; D_h","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/correlation_table.csv","Keep Fanning and Darcy conventions separate."
FRIC-FIT-001,fD,"log(f_D) = 5.2316378122 - 0.9477837868 log(Re) + 2.9210668439 I[test_section_span]",admit_v1,primary_hydraulic_fit,primary_hydraulic_fit,"lower_leg|test_section_span","Re|segment_id","local Re; segment family tag","reports/2026-06-19_ethan_blocker_report_and_followon_wave/one_d_implementation_spec.md","Current defended use range is approximately 80 <= Re <= 174."
FRIC-ENTRY-001,f_app,"Shah apparent-friction redevelopment framework",comparison_or_sensitivity_only,sensitivity_only,sensitivity_only,"quartz_transition_family|post_feature_reset","Re|L_over_D|reset_x","Re; hydraulic diameter; redevelopment length; reset assumption","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/chapters/04_friction_apparent_friction.tex","Use only when the reset assumption is explicit."
KLOCAL-001,K_local,"Explicit local-loss placeholders for contractions expansions elbows reducers and fittings",comparison_or_sensitivity_only,sensitivity_only,sensitivity_only,"test_section_transitions|features|return_path","Re|velocity_head_basis","geometry ratios; velocity scale; local convention","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/modeling_decision_memo.csv","Do not hide these terms inside distributed friction."
KEFF-001,K_eff,"Feature-resolved retained-time effective K from full-path hydro closure",blocked,exclude,exclude,all_features,"retained_time_hydro_integrals","pathwise p_rgh support; full-path retained-time hydro integrals","reports/2026-06-19_ethan_salt_feature_path_hydraulic_hardening/README.md","Readiness only until the missing extractor exists."
NU-DIRECT-001,Nu,"log(Nu) = -3.0042709988 + 0.9607621733 log(Re)",admit_v1,optional_direct_thermal_fit,optional_direct_thermal_fit,left_lower_leg,"Re|Nu","local Re; local k(T); D_h","reports/2026-06-19_ethan_blocker_report_and_followon_wave/one_d_implementation_spec.md","Current defended use range is approximately 76 <= Re <= 166."
NU-FD-001,Nu,"Fully developed laminar circular reference values Nu = 3.657 or Nu = 4.364",baseline_only,comparison_reference,comparison_reference,all_internal_sections,"boundary_condition_type|D_h","boundary condition class; hydraulic diameter","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/correlation_table.csv","Use as limiting references only."
NU-ENTRY-001,Nu_entry,"Muzychka and Yovanovich combined-entry Nusselt framework",comparison_or_sensitivity_only,sensitivity_only,sensitivity_only,developing_heated_segments,"Re|Pr|Gz|x_over_D","Re; Pr; development coordinate; boundary condition type","../papers/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/correlation_table.csv","Do not promote without a durable reset-coordinate contract."
UAPRIME-001,UAprime,"Support-gated effective UA' surface library",admit_v1,primary_thermal_surface,primary_thermal_surface,"left_lower_leg|test_section_span|left_upper_leg|upcomer","Re|Pr|segment_or_x","branch thermal summaries or segment libraries","reports/2026-06-18_ethan_salt_thermal_model_surface_ranking/README.md","Preferred over HTC because it avoids extra wall-area normalization."
HTC-001,HTC,"Support-gated effective HTC surface library",admit_v1,secondary_thermal_surface,secondary_thermal_surface,"left_lower_leg|test_section_span|left_upper_leg|upcomer","Re|Pr|segment_or_x","branch thermal summaries or segment libraries","reports/2026-06-18_ethan_salt_thermal_model_surface_ranking/README.md","Carry beside UA' rather than instead of UA'."
QCOOL-001,Q_cooler,"Readable fixed cooler sink input from 0/T behavior",admit_v1,required_input,required_input,cooler_sink_bucket,"Q_cooler|case_id","fixed sink Q; case id","reports/2026-06-15_ethan_boundary_modeling_report/README.md","Do not replace this with a hidden live cooler-side h in the first defended ROM pass."
RESHYD-001,Deltap_residual,"Positive lumped hydraulic residual bucket",calibration_only,required_hybrid_term,required_hybrid_term,"features|right_leg|cooler_return|reducers|corners",residual_only,"per-case residual calibration from CFD totals","reports/2026-06-19_ethan_blocker_report_and_followon_wave/blocker_resolution_plan.md","Expose the residual explicitly rather than calling it defended feature physics."
RESTHERM-001,UA_lumped_residual,"Positive lumped thermal residual bucket",calibration_only,required_hybrid_term,required_hybrid_term,"unsupported_walls|cooler_vicinity|right_leg",residual_only,"heater cooling and ambient-loss balance from CFD package outputs","reports/2026-06-19_ethan_blocker_report_and_followon_wave/blocker_resolution_plan.md","Keep unsupported external losses explicit until wider thermal support exists."
