case_id,case_key,time_window_s,input_name,path,status,basis,command_or_release_path,blocking_for_sampler_execution,native_solver_output_mutated,admission_use
salt_2,salt2_jin_nominal_continuation,7915,cell_volume_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_2_cell_volumes.csv,present_task_owned_cell_volume_export_sbatch,completed TODO-UPCOMER-EXCHANGE-INPUT-GENERATION-2026-07-21 job output,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/RUNNING.md,false,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,recirc_mask,,derivable_after_cell_vtk_exists,sample_upcomer_exchange_cell.py fallback U_dot_throughflow_normal_lt_zero,run diagnostic sampler after cell_vtk exists,false,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,cell_vtk,,blocked_requires_scheduler_surface_or_cell_sample_dict,same-window U/T/rho plus cellId or same-order cellVolume basis,claim separate OpenFOAM sampling row,true,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,exchange_interface_vtk,,blocked_requires_named_exchange_interface_definition,same-window interface U/rho/area with fixed normal sign,claim separate OpenFOAM surface-generation row,true,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,wall_vtk,,blocked_requires_wall_core_surface_definition,same-window wall T and optional wallHeatFlux diagnostic,claim separate OpenFOAM surface-generation row,true,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_2,salt2_jin_nominal_continuation,7915,source_sink_ledger,,blocked_requires_same_window_source_sink_extractor,Q_source_W/Q_sink_W with sign convention and source path,claim source/sink ledger extraction row,true,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_3,salt3_jin_nominal_continuation,7618,cell_volume_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_3_cell_volumes.csv,present_task_owned_cell_volume_export_sbatch,completed TODO-UPCOMER-EXCHANGE-INPUT-GENERATION-2026-07-21 job output,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/RUNNING.md,false,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_3,salt3_jin_nominal_continuation,7618,recirc_mask,,derivable_after_cell_vtk_exists,sample_upcomer_exchange_cell.py fallback U_dot_throughflow_normal_lt_zero,run diagnostic sampler after cell_vtk exists,false,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_3,salt3_jin_nominal_continuation,7618,cell_vtk,,blocked_requires_scheduler_surface_or_cell_sample_dict,same-window U/T/rho plus cellId or same-order cellVolume basis,claim separate OpenFOAM sampling row,true,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_3,salt3_jin_nominal_continuation,7618,exchange_interface_vtk,,blocked_requires_named_exchange_interface_definition,same-window interface U/rho/area with fixed normal sign,claim separate OpenFOAM surface-generation row,true,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_3,salt3_jin_nominal_continuation,7618,wall_vtk,,blocked_requires_wall_core_surface_definition,same-window wall T and optional wallHeatFlux diagnostic,claim separate OpenFOAM surface-generation row,true,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_3,salt3_jin_nominal_continuation,7618,source_sink_ledger,,blocked_requires_same_window_source_sink_extractor,Q_source_W/Q_sink_W with sign convention and source path,claim source/sink ledger extraction row,true,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_4,salt4_jin_nominal_continuation,10000,cell_volume_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_4_cell_volumes.csv,present_task_owned_cell_volume_export_sbatch,completed TODO-UPCOMER-EXCHANGE-INPUT-GENERATION-2026-07-21 job output,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/RUNNING.md,false,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_4,salt4_jin_nominal_continuation,10000,recirc_mask,,derivable_after_cell_vtk_exists,sample_upcomer_exchange_cell.py fallback U_dot_throughflow_normal_lt_zero,run diagnostic sampler after cell_vtk exists,false,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_4,salt4_jin_nominal_continuation,10000,cell_vtk,,blocked_requires_scheduler_surface_or_cell_sample_dict,same-window U/T/rho plus cellId or same-order cellVolume basis,claim separate OpenFOAM sampling row,true,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_4,salt4_jin_nominal_continuation,10000,exchange_interface_vtk,,blocked_requires_named_exchange_interface_definition,same-window interface U/rho/area with fixed normal sign,claim separate OpenFOAM surface-generation row,true,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_4,salt4_jin_nominal_continuation,10000,wall_vtk,,blocked_requires_wall_core_surface_definition,same-window wall T and optional wallHeatFlux diagnostic,claim separate OpenFOAM surface-generation row,true,false,diagnostic_only_no_fit_no_exchange_cell_admission
salt_4,salt4_jin_nominal_continuation,10000,source_sink_ledger,,blocked_requires_same_window_source_sink_extractor,Q_source_W/Q_sink_W with sign convention and source path,claim source/sink ledger extraction row,true,false,diagnostic_only_no_fit_no_exchange_cell_admission
