case_key,source_key,split_role,fit_allowed,model_selection_allowed,score_allowed,use_status,required_before_use,notes
salt1_nominal,salt1_jin_nominal_continuation_corrected,final_training,yes,yes,yes,admitted_needs_schema_promotion,TODO-PREDICT-SALT1-SCHEMA-PROMOTION,Use in final predictive training after promotion into Salt2-4 postprocessing schema; preserve operational stop/cancel provenance.
salt2_jin_nominal,viscosity_screening_salt_test_2_jin_coarse_mesh,final_training,yes,yes,yes,admitted_current_schema,none,Use in final predictive training; already has strongest Salt2-4 schema coverage.
salt3_jin_nominal,viscosity_screening_salt_test_3_jin_coarse_mesh,final_training,yes,yes,yes,admitted_current_schema,none,Use in final predictive training; no longer reserved as canonical validation row after this policy.
salt4_nominal,viscosity_screening_salt_test_4_jin_coarse_mesh,final_training,yes,yes,yes,admitted_current_schema,none,Use in final predictive training; no longer reserved as untouched canonical holdout.
salt1_lo10q,salt1_jin_lo10q_corrected,training_support,yes_with_label,yes_with_label,yes,admitted_needs_schema_promotion,TODO-PREDICT-SALT1-SCHEMA-PROMOTION,Training support/correlation row only with q-ratio label preserved; do not collapse into nominal Salt1.
salt1_hi10q,salt1_jin_hi10q_corrected,training_support,yes_with_label,yes_with_label,yes,admitted_needs_schema_promotion,TODO-PREDICT-SALT1-SCHEMA-PROMOTION,Training support/correlation row only with q-ratio label preserved; do not collapse into nominal Salt1.
salt4_lo5q,salt4_jin_lo5q_corrected,training_support,yes_with_label,yes_with_label,yes,diagnostic_schema_partial,matched pressure/upcomer metrics still diagnostic,Training support/correlation row only with perturbed-Q label preserved.
salt4_hi5q,salt4_jin_hi5q_corrected,training_support,yes_with_label,yes_with_label,yes,diagnostic_schema_partial,matched pressure/upcomer metrics still diagnostic,Training support/correlation row only with perturbed-Q label preserved.
salt2_lo5q,salt2_jin_lo5q_corrected,holdout_testing,no,no,yes,needs_pm5_repair,TODO-PREDICT-SALT2-PM5-HOLDOUT-EXTRACTION-REPAIR,Holdout/testing row; never fit or tune on this row.
salt2_hi5q,salt2_jin_hi5q_corrected,holdout_testing,no,no,yes,needs_pm5_repair,TODO-PREDICT-SALT2-PM5-HOLDOUT-EXTRACTION-REPAIR,Holdout/testing row; never fit or tune on this row.
val_salt2,val_salt_test_2_coarse_mesh,external_test,no,no,yes_after_admission,blocked_missing_matching_ledger,TODO-PREDICT-VAL-SALT2-EXTERNAL-LEDGER,Blind external-test row after matching heat-loss/admission package; never fit or tune on this row.
salt2_lo10q,salt2_jin_lo10q_corrected,future_holdout_candidate,no,no,yes_after_terminal_admission,blocked_live_job,TODO-PREDICT-SALT-PM10-TERMINAL-ADMISSION,Wait for 3293924 and 3295438; then terminal admission and postprocessing.
salt2_hi10q,salt2_jin_hi10q_corrected,future_holdout_candidate,no,no,yes_after_terminal_admission,blocked_live_job,TODO-PREDICT-SALT-PM10-TERMINAL-ADMISSION,Wait for 3293924 and 3295438; then terminal admission and postprocessing.
salt4_lo10q,salt4_jin_lo10q_corrected,future_holdout_candidate,no,no,yes_after_terminal_admission,blocked_live_job,TODO-PREDICT-SALT-PM10-TERMINAL-ADMISSION,Wait for 3293924 and 3295438; then terminal admission and postprocessing.
salt4_hi10q,salt4_jin_hi10q_corrected,future_holdout_candidate,no,no,yes_after_terminal_admission,blocked_live_job,TODO-PREDICT-SALT-PM10-TERMINAL-ADMISSION,Wait for 3293924 and 3295438; then terminal admission and postprocessing.
salt3_q_insulation_matrix,AGENT-478_proposed_salt3_q_x_insulation_matrix,new_cfd_holdout_candidate,no,no,yes_after_run_and_admission,not_yet_run,TODO-UPCOMER-ONSET-CFD-ANCHOR-MATRIX,Use new CFD for onset/generalization holdout after non-duplicate staging and admission.
