closure_name,target_region,output,mathematical_form,status,coefficients_or_rule,validity_window,source_artifact,v1_usage
salt_material_branch,all_segments,"rho(T)|mu(T)|cp(T)|k(T)",Explicit case-family material branch evaluation,required,Use readable CFD-side salt branch rather than a hidden generic default,Salt only,reports/2026-06-02_ethan_1d_model_discrepancy_report/README.md,Required input contract
straight_friction_class_aware_re_power_law,"lower_leg|test_section_span",fD,"log(f_D)=a+b*log(Re)+c*I[test_section_span]",provisional_defended,"a=5.2316378122|b=-0.9477837868|c=2.9210668439","Approximate defended fit domain 80.35 <= Re <= 173.74",reports/2026-06-19_ethan_salt_model_dependency_package_v3/salt_friction_fit_results.json,Primary hydraulic closure on admitted straights
left_lower_leg_nu_branch_aware_re_power_law,left_lower_leg,Nu,"log(Nu)=a+b*log(Re)",provisional_defended_limited_domain,"a=-3.0042709988|b=0.9607621733","Approximate defended fit domain 76.10 <= Re <= 165.23",reports/2026-06-19_ethan_salt_model_dependency_package_v3/salt_nu_fit_results.json,Optional direct thermal closure on left_lower_leg only
primary_ua_profile_library,"left_lower_leg|test_section_span|left_upper_leg|upcomer",UAprime,Support-gated profile or segment-average lookup from defended Salt branch summaries,admit_state_surface,Use UA' as the primary thermal conductance surface,Safe Salt branch subset only,reports/2026-06-18_ethan_salt_thermal_model_surface_ranking/README.md,Primary thermal closure
secondary_htc_profile_library,"left_lower_leg|test_section_span|left_upper_leg|upcomer",HTC,Support-gated profile or segment-average lookup from defended Salt branch summaries,admit_secondary_surface,Carry HTC for comparison and diagnostics only,Safe Salt branch subset only,reports/2026-06-18_ethan_salt_thermal_model_surface_ranking/README.md,Secondary thermal closure
heater_boundary_input,lower_leg_heater,Q_heater,Imposed readable heater power,readable_bc_only,Use visible heater Q from case config and 0/T,All current readable Salt cases,reports/2026-06-15_ethan_boundary_modeling_report/README.md,Primary forcing input
cooler_boundary_input,cooler_sink_bucket,Q_cooler,Imposed readable fixed negative cooler duty,readable_bc_only,Use fixed sink Q and do not mutate a hidden cooler h,All current readable Salt cases,reports/2026-06-15_ethan_boundary_modeling_report/README.md,Primary sink input
feature_keff_individual,all_features,K_eff,Unavailable defended closure due to missing retained-time full-path hydro integral,not_defensible_yet,None until pathwise extractor exists,Blocked,reports/2026-06-19_ethan_salt_feature_path_hydraulic_hardening/README.md,Exclude from defended v1
hydraulic_residual_bucket,"features|right_leg|cooler_return|reducers|corners",Deltap_residual,Positive lumped hydraulic remainder calibrated from CFD,calibration_only,Start with one residual per case then regress later,Until feature path closure and wider straight support exist,reports/2026-06-19_ethan_blocker_report_and_followon_wave/blocker_resolution_plan.md,Required hybrid closure
thermal_residual_bucket,"unsupported_walls|cooler_vicinity|right_leg",UA_lumped_residual,Positive lumped thermal remainder calibrated from CFD heat partition,calibration_only,Calibrate from heater cooling and ambient-loss balance,Until wider direct branch thermal support exists,reports/2026-06-19_ethan_blocker_report_and_followon_wave/blocker_resolution_plan.md,Required hybrid closure
