freeze_id,case_key,case_id,final_scorecard_partition,corrected_scorecard_role,score_allowed_after_freeze,fit_allowed,model_selection_allowed,prediction_status,target_status,release_status,property_mode,property_sensitivity_label,source_validity_envelope_status,source_use_category,provenance_author_title,source_property_gate_status,source_property_gate_reason,source_paths
FINAL_FREEZE_TBD,salt1_nominal,salt_1,train_nominal,final_training,yes_after_freeze_or_gate,no,no,blocked_no_frozen_prediction_artifact,ready_schema_promoted,shell_only_no_score_value,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,source_envelope_not_row_specific_salt1_partial,blocked_pending_salt1_branch_source_envelope,AGENT-538 and AGENT-554 source-property audit; Salt1 uses the intended Jin/Parida/Santini property family but lacks row-specific branch envelope labels,blocked_pending_row_specific_source_envelope,Final source/property resolution policy blocked_pending_row_specific_source_envelope; final_fit_allowed=no; final_model_selection_allowed=no.,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv
FINAL_FREEZE_TBD,salt2_jin_nominal,salt_2,train_nominal,final_training,yes_after_freeze_or_gate,no,no,blocked_no_frozen_prediction_artifact,ready_current_schema,shell_only_no_score_value,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,source_envelope_not_strict_pass_outside_or_unknown,demoted_no_fit_due_to_source_envelope_blockers,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",blocked_source_envelope_not_strict_pass,Final source/property resolution policy demote_to_no_fit_source_envelope_blocked; final_fit_allowed=no; final_model_selection_allowed=no.,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv
FINAL_FREEZE_TBD,salt3_jin_nominal,salt_3,train_nominal,final_training,yes_after_freeze_or_gate,no,no,blocked_no_frozen_prediction_artifact,ready_current_schema,shell_only_no_score_value,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,source_envelope_not_strict_pass_outside_or_unknown,demoted_no_fit_due_to_source_envelope_blockers,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",blocked_source_envelope_not_strict_pass,Final source/property resolution policy demote_to_no_fit_source_envelope_blocked; final_fit_allowed=no; final_model_selection_allowed=no.,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv
FINAL_FREEZE_TBD,salt4_nominal,salt_4,train_nominal,final_training,yes_after_freeze_or_gate,no,no,blocked_no_frozen_prediction_artifact,ready_current_schema,shell_only_no_score_value,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,source_envelope_not_strict_pass_outside_or_unknown,demoted_no_fit_due_to_source_envelope_blockers,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",blocked_source_envelope_not_strict_pass,Final source/property resolution policy demote_to_no_fit_source_envelope_blocked; final_fit_allowed=no; final_model_selection_allowed=no.,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv
FINAL_FREEZE_TBD,salt1_lo10q,salt_1,excluded_support_diagnostic,support_diagnostic_not_final_training,no,no,no,blocked_no_frozen_prediction_artifact,admitted_support_only_not_corrected_final_training,shell_only_no_score_value,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,source_envelope_not_row_specific_salt1_partial,diagnostic_or_blocked_until_salt1_branch_envelope_update,AGENT-538 and AGENT-554 source-property audit; Salt1 uses the intended Jin/Parida/Santini property family but lacks row-specific branch envelope labels,blocked_source_property_partial_salt1,Final source/property resolution policy unchanged_non_candidate_or_score_only; final_fit_allowed=no; final_model_selection_allowed=no.,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv
FINAL_FREEZE_TBD,salt1_hi10q,salt_1,excluded_support_diagnostic,support_diagnostic_not_final_training,no,no,no,blocked_no_frozen_prediction_artifact,admitted_support_only_not_corrected_final_training,shell_only_no_score_value,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_fit_blocked,source_envelope_not_row_specific_salt1_partial,diagnostic_or_blocked_until_salt1_branch_envelope_update,AGENT-538 and AGENT-554 source-property audit; Salt1 uses the intended Jin/Parida/Santini property family but lacks row-specific branch envelope labels,blocked_source_property_partial_salt1,Final source/property resolution policy unchanged_non_candidate_or_score_only; final_fit_allowed=no; final_model_selection_allowed=no.,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv
FINAL_FREEZE_TBD,salt4_lo5q,salt_4,excluded_support_diagnostic,support_diagnostic_not_final_training,no,no,no,blocked_no_frozen_prediction_artifact,admitted_support_only_not_corrected_final_training,shell_only_no_score_value,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_no_fit,mixed_or_outside_envelope_label_required,diagnostic_support_no_fit,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",blocked_diagnostic_support_no_fit,Final source/property resolution policy unchanged_non_candidate_or_score_only; final_fit_allowed=no; final_model_selection_allowed=no.,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv
FINAL_FREEZE_TBD,salt4_hi5q,salt_4,excluded_support_diagnostic,support_diagnostic_not_final_training,no,no,no,blocked_no_frozen_prediction_artifact,admitted_support_only_not_corrected_final_training,shell_only_no_score_value,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_no_fit,mixed_or_outside_envelope_label_required,diagnostic_support_no_fit,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",blocked_diagnostic_support_no_fit,Final source/property resolution policy unchanged_non_candidate_or_score_only; final_fit_allowed=no; final_model_selection_allowed=no.,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv
FINAL_FREEZE_TBD,salt2_lo5q,salt_2,blind_holdout_pm5q,blind_holdout_salt2_pm5q,yes_after_freeze_or_gate,no,no,blocked_no_frozen_prediction_artifact,pm5_diagnostic_rows=3,shell_only_no_score_value,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_no_fit,mixed_or_outside_envelope_label_required,holdout_score_only_no_fit,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",blocked_holdout_score_only_no_fit,Final source/property resolution policy unchanged_non_candidate_or_score_only; final_fit_allowed=no; final_model_selection_allowed=no.,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv
FINAL_FREEZE_TBD,salt2_hi5q,salt_2,blind_holdout_pm5q,blind_holdout_salt2_pm5q,yes_after_freeze_or_gate,no,no,blocked_no_frozen_prediction_artifact,pm5_diagnostic_rows=3,shell_only_no_score_value,jin_viscosity_parida_cp_santini_k,property_sensitivity_material_closure_no_fit,mixed_or_outside_envelope_label_required,holdout_score_only_no_fit,"Chen et al., Characteristics of the laminar convective heat transfer of molten salt in concentric tube | Everts and Meyer, Laminar Hydrodynamic and Thermal Entrance Lengths for Simultaneously Hydrodynamically and Thermally Developing Forced and Mixed Convective Flows in Horizontal Tubes | Muzychka and Yovanovich, Laminar Forced Convection Heat Transfer in the Combined Entry Region of Non-Circular Ducts | Tian et al., Numerical analysis of turbulent mixed convection heat transfer of molten salt in horizontal tubes with uniformly cooled heat flux",blocked_holdout_score_only_no_fit,Final source/property resolution policy unchanged_non_candidate_or_score_only; final_fit_allowed=no; final_model_selection_allowed=no.,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv;operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/final_scorecard_case_coverage_audit.csv;work_products/2026-07/2026-07-18/2026-07-18_source_envelope_property_carryforward/source_property_label_contract.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_property_refresh/refreshed_final_scorecard_source_property_labels.csv;work_products/2026-07/2026-07-20/2026-07-20_final_scorecard_source_envelope_resolution/scorecard_source_property_resolution_policy.csv
