priority,model_form,why_untried_or_incomplete,required_gate,current_blocker,next_executable_action,primary_sources
1,"F6 phi(Re) hydraulic friction candidate","Selected as next bounded candidate but no admitted Re-variation rows yet","Terminal corrected-Q admission plus pressure-loss validation","f6-friction-re-correction; corrected-Q rows pending admission","After corrected-Q harvest admits rows, run F6 with pressure loss primary and mdot guardrail","work_products/2026-07/2026-07-14/2026-07-14_h1_faithful_gap_and_f6_decision/README.md"
1,"Faithful H1 reset/development plus component/cluster K","Localized fixed-K alone failed and reset/redevelopment API is missing","Admitted component/cluster K rows plus Fluid reset/development API","component/cluster K has 0 fit-admissible rows; test-section connector raw extraction missing","Implement raw two-tap connector extraction, then Fluid reset/development API","work_products/2026-07/2026-07-14/2026-07-14_hydraulic_tap_length_admission_refresh/README.md"
1,"Upcomer internal Nu with recirculation/onset classification","Current upcomer rows are recirculating and invalid for single-stream Nu","Matched vector+thermal planes plus ordinary/transition anchors","upcomer-onset-data-sparsity; matched extraction job pending","Consume matched-plane extraction, then target candidate Re 150/200/250 if onset not bracketed","work_products/2026-07/2026-07-14/2026-07-14_upcomer_recirculation_internal_nu_admissibility/README.md"
1,"Setup-only cooler/HX UA or effectiveness inside Fluid","Current HX multiplier is screening around computed duty, not final physical HX form","Fluid API support and split-safe validation","predictive-heater-cooler-wall-submodels; fluid-external-boundary-api-gap","Implement BCM-COOLER-HX-UA-V1 as direct UA/effectiveness multiplier in predictive HX","work_products/2026-07/2026-07-14/2026-07-14_boundary_model_task_matrix/README.md"
1,"First-class wall/external convection/radiation boundary dictionaries","Current replay evidence cannot be final setup-only prediction","Fluid external boundary API with h/Ta/Tsur/emissivity/layers","fluid-external-boundary-api-gap","Add external boundary dictionaries and no-double-count radiation tests","work_products/2026-07/2026-07-14/2026-07-14_boundary_internal_nu_residual_guardrails/README.md"
2,"Chen 2017 mixed-convection Nu candidate","Source-envelope gate exists but no branch has been admitted for active Chen closure","Inside source overlap plus valid single-stream thermal evidence","thermal-cfd-1d-parity; upcomer recirculation invalidity","Filter branch_source_envelope for inside overlap and run only validation-safe candidate rows","work_products/2026-07/2026-07-13/2026-07-13_litrev_source_envelope/README.md"
2,"Muzychka-Yovanovich forced developing Nu bakeoff","Thermal admission rejects fitted Nu today; forced-developing form remains candidate only","Matched heat-balance/sign/mesh gate and non-recirculating branch evidence","closure-qoi-mesh-gci; thermal-cfd-1d-parity","Run branchwise Nu bakeoff only after thermal rows become fit-admissible or validation-only targets are declared","work_products/2026-07/2026-07-14/2026-07-14_thermal_admission_internal_nu_final_gate/README.md"
2,"Nonuniform heating and inclination diagnostics","Recorded from literature but not yet encoded in branch metadata or scorecards","Branch orientation/heating-pattern metadata and wall heat-flux reconstruction","not a blocker; incomplete metadata path","Add g_parallel/g_perpendicular, wall heating pattern, and axial/circumferential heat-flux fields","reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/README.md"
2,"Radiation bound as setup-only sensitivity","CFD wallHeatFlux includes rcExternalTemperature radiation; separate predictive radiation model not final","External boundary model without realized wallHeatFlux replay","fluid-external-boundary-api-gap","Add Stefan-Boltzmann/lumped radiation sensitivity with emissivity/Tsur and no double counting","operational_notes/maps/thermal-boundary-and-radiation.md"
3,"Transient startup/freezing/oscillation model","Out of current steady closure scope","Explicit thesis scope expansion to transient behavior","not active scope","Define storage states and transient validation metrics only if transient scope is activated","reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/README.md"
3,"ROM/POD archive and reduced-order model","Future method; no FOM/snapshot/stabilization/validation package yet","Stable closure/admission rows and snapshot envelope","not active scope","Define ROM state-vector metadata after closure tables stabilize","reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/README.md"
