lane_id,lane_status,can_score_now,score_scope,current_result,blocking_status,next_gate,source_artifact
input_contract,complete_pass,yes,strict pre-score admissibility,"32 runtime fields, 3 Salt case rows, 75 validation targets, 0 violations","none","Keep strict violations empty before any score refresh","work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/summary.json"
validation_split,complete_locked,yes,train_validation_holdout_assignment,"Salt2=train; Salt3=validation; Salt4=holdout; Salt1 diagnostic-only; corrected-Q and low-heat blocked","none for current mainline Salt rows","Do not revise the split after inspecting validation or holdout residuals","work_products/2026-07/2026-07-13/2026-07-13_predictive_validation_split/admission_split_table.csv"
forward_v0_fast_scan,complete_proxy,yes_proxy,pressure-rooted fast_scan bridge,"3 Salt cases x 2 source variants scored; F1 heater-only mean abs Tmean error 4.609 K and mean mdot error 0.0054775 kg/s vs CFD","not authoritative full solve_case","Run the prepared compute-node solve_case confirmation before final scorecard claims","work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_imposed_cooler/summary.json"
solve_case_confirmation,submitted_running,no,full Fluid nested solve_case,"AGENT-301 submitted Slurm job 3293960; latest recorded state RUNNING; harvest not complete","pending terminal completion and row-level comparison","Monitor job 3293960 and require completed solve_case_full rows plus comparison_summary before final scoring","work_products/2026-07/2026-07-13/2026-07-13_forward_v0_solve_case_compute_run/summary.json"
hx_one_scalar_primary,complete_guardrailed,yes_guardrailed,split-aware HX1 global duty multiplier,"F1 heater-only abs HX-duty error: 0.000 W train, 2.341 W validation, 17.511 W holdout","hydraulic guardrail failed, so this is not an end-to-end predictive claim","Resolve mdot overprediction before interpreting thermal improvements as predictive closure","work_products/2026-07/2026-07-13/2026-07-13_predictive_hx_fit/hx_primary_forward_scores.csv"
hydraulic_gate,blocked,no,end-to-end mdot credibility,"Both forward-v0 variants overpredict mdot for every Salt row; F1 mean mdot error 36.37% vs CFD","blocks thermal-fit and end-to-end readiness claims","Tune friction, minor-loss, and profile terms using only fit-safe pressure rows","work_products/2026-07/2026-07-13/2026-07-13_predictive_hydraulic_gate/summary.json"
hydraulic_correction_candidates,complete_candidate_ranked,yes_candidate_only,hydraulic correction candidates,"Best next candidate is H1_localized_named_loss_and_reset_bundle; mean required resistance multiplier 2.115","not an admitted closure and not rerun through forward-v1","Implement bounded hydraulic rerun before reopening thermal scoring","work_products/2026-07/2026-07-13/2026-07-13_predictive_hydraulic_correction_candidates/decision_summary.json"
external_bc_wave,complete_ready_partial,yes_diagnostic,external-boundary implementation readiness,"24 external-boundary rows, 24 boundary score rows, 6 HX guardrail rows; Fluid source not modified","Fluid API implementation pending; E1/E2 wall modes remain diagnostic","Implement Fluid external-boundary API under a separately claimed external-source task","work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/summary.json"
thermal_mesh_gate,blocked,no,thermal UA HTC Nu admission,"7 Salt2 thermal QOI rows, 5 two-level-complete rows, 0 fit-admissible rows, 0 publication-ready thermal GCI rows","sign review, missing coarse thermal triplets, and downcomer policy","Run thermal admission sign and heat-balance review before any thermal fitting","work_products/2026-07/2026-07-13/2026-07-13_thermal_mesh_gate/summary.json"
external_wall_residual,diagnostic_only,yes_diagnostic,passive external wall attribution,"E1/E2 wall-shell modes are executable but do not close passive heat-loss gap","not admitted as passive wall closure fit","Use for residual attribution only, not thermal correction fitting","work_products/2026-07/2026-07-13/2026-07-13_predictive_external_bc_implementation_wave/boundary_mode_scorecard.csv"
sensor_map,complete_partial,yes_partial_after_solve,TP/TW sensor scoring,"17 labels mapped; 15 provisionally diagnostic-scoreable; TP2 and TW10 blocked; sensor temperatures remain validation targets only","exact survey-grade coordinates blocked; TP2/TW10 excluded for current forward-v0 sensor score claims","Join 15 provisional sensor rows only after solve; keep TP2/TW10 excluded until blockers clear","work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/summary.json"
