priority,item,target_in_latex_repo,source_path,copy_policy,reason,caveat
1,evidence packet README and schema,UTexas_Research/csem-Masters_dissertation/evidence/README.md,work_products/2026-07/2026-07-22/2026-07-22_thesis_external_writer_evidence_packet_contract/README.md,copy_or_summarize_small_text,"Gives external writer the evidence-packet contract inside the LaTeX workspace.","Requires papers-board row before external edit."
2,Chapter 4 evidence packet,UTexas_Research/csem-Masters_dissertation/evidence/ch04_reduction_split_packet.md,planned CH4_REDUCTION_SPLIT_FOUNDATIONS packet,copy_small_markdown,"Highest-value compact support for next LaTeX writing row.","No coefficient admission; no runtime leakage."
3,governing equations glossary,UTexas_Research/csem-Masters_dissertation/evidence/governing_equations_glossary.csv,planned MODEL_FORM_GOVERNING_EQUATIONS_GLOSSARY_PACKET,copy_small_csv,"Foundational reference for symbols units assumptions and sign conventions.","Equation presence is not admission."
4,claim/evidence crosswalk,UTexas_Research/csem-Masters_dissertation/evidence/claim_evidence_crosswalk.md,reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md,copy_small_markdown_or_summary,"External writer needs claim boundaries without raw repo context.","Update before introducing new claims."
5,figure/table incorporation ledger,UTexas_Research/csem-Masters_dissertation/evidence/figure_table_ledger.md,reports/thesis_dossier/Chapters_and_sections/current/21_csem_figure_table_incorporation_package.md,copy_small_markdown_or_summary,"Provides source paths captions allowed uses and forbidden uses.","Do not copy huge figure trees; import exact selected assets later."
6,Salt upcomer panels,UTexas_Research/csem-Masters_dissertation/figures/upcomer_selected/,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/README.md,copy_selected_svg_pdf_only,"High-value visual evidence for recirculation and 2D-axisymmetric abandonment.","Diagnostic visual only; no recirculation fraction unless quantified by later packet."
7,pressure negative result table,UTexas_Research/csem-Masters_dissertation/evidence/pressure_negative_result_packet.md,work_products/2026-07/2026-07-21/2026-07-21_hybrid_pressure_no_fit_performance_bakeoff/README.md,copy_small_markdown_csv_excerpt,"External writer needs exact residuals and non-admission status.","No component K/F6/clipped-K/global multiplier admission."
8,S13 Qwall/UQ status packet,UTexas_Research/csem-Masters_dissertation/evidence/s13_upcomer_exchange_status_packet.md,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_same_qoi_neighbor_uq_execution/README.md,copy_small_markdown_csv_excerpt,"S13 is a key model-form and limitations result.","Direct Q_wall_W exists but production harvest/UQ/admission remain blocked."
9,blocked scorecard packet,UTexas_Research/csem-Masters_dissertation/evidence/blocked_scorecard_packet.md,work_products/2026-07/2026-07-22/2026-07-22_four_study_thesis_support_gate/README.md,copy_small_markdown_csv_excerpt,"Explains why final scorecard is blocked rigorously.","Zero final score values until frozen candidate exists."
10,3D paper quantitative tables,UTexas_Research/csem-Masters_dissertation/evidence/3d_paper_table_sources.md,../papers/UTexas_Research/3d_analysis/tables/*.tex,reference_or_copy_selected_tex,"Already compact publication-grade tables.","Preserve original provenance and trust-boundary wording."
