artifact_id,artifact_type,source_path,target_section,use_status,caption_or_table_instruction,copy_policy
FT-Pressure-001,table,work_products/2026-07/2026-07-22/2026-07-22_s10_s14_pressure_f6_cand001_retry_and_uq_gate/pressure_claim_boundary_table.csv,Ch7 pressure negative results,ready_as_compact_table,"Use as claim-boundary table: stopped/diagnostic/context-only pressure claims and forbidden F6/component-K wording.",copy_summary_rows_only
FT-Pressure-002,table,work_products/2026-07/2026-07-22/2026-07-22_s10_s14_pressure_f6_cand001_retry_and_uq_gate/lower_right_negative_result_classification.csv,Ch7 pressure negative results,ready_as_compact_table,"Use to explain why lower-right pressure rise is section-effective/hydrostatic/recovery context, not a negative K.",copy_summary_rows_only
FT-Thermal-001,figure,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/figures/svg/s12_residual_owner_waterfall.svg,Ch7 thermal residual-owner results,ready_existing_artifact,"S12 thermal residual-owner disposition; dominant TW5/TW6 residuals motivate S12-HIAX1 but freeze/admission gates remain closed.",copy_svg_or_pdf_only_if_final_manuscript_needs_it
FT-Thermal-002,table,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/candidate_disposition_table.csv,Ch7 thermal residual-owner results,ready_as_compact_table,"List S12-HIAX1 not frozen; passive wall/test-section source evidence-only; empirical correction diagnostic-only; junction/stub blocked.",copy_summary_rows_only
FT-Thermal-003,table,work_products/2026-07/2026-07-22/2026-07-22_s12_thermal_residual_candidate_disposition_and_thesis_panels/runtime_legality_matrix.csv,Ch8 predictive assessment,ready_as_compact_table,"Show all thermal lanes remain not released for runtime use.",copy_summary_rows_only
FT-Upcomer-001,figure,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/composites/y_velocity_side_z_trimmed_composite_labeled.png,Ch7 upcomer recirculation evidence,ready_review_composite,"Matched side-Z y-velocity upcomer panels for Salt1-Salt4 with shared signed Uy range; use as qualitative visual evidence for downward pockets and single-stream invalidity.",copy_small_png_if_needed_do_not_copy_large_pdf_set
FT-Upcomer-002,figure,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/figures/composites/velocity_magnitude_side_z_trimmed_composite_labeled.png,Ch7 upcomer recirculation evidence,ready_review_composite,"Matched side-Z resultant-velocity upcomer panels for Salt1-Salt4 with shared magnitude range; use as qualitative visual evidence for throughflow plus recirculation.",copy_small_png_if_needed_do_not_copy_large_pdf_set
FT-Upcomer-003,figure,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/figures/svg/s13_predictive_path_status.svg,Ch7 or Ch8 upcomer predictive-path status,ready_existing_artifact,"S13 predictive-path status: diagnostic fields finite, but pressure, trusted heat-flow, property, and same-QOI uncertainty gates remain closed.",copy_svg_or_pdf_only_if_final_manuscript_needs_it
FT-Upcomer-004,table,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_limited_sampled_field_evidence_synthesis/s13_sampled_field_gate_matrix.csv,Ch7 upcomer recirculation evidence,ready_as_compact_table,"Report diagnostic field readiness and production-blocking fields.",copy_summary_rows_only
FT-Upcomer-005,table,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_qwall_mesh_gci_uq_gate/qwall_exchange_mesh_gci_gate_matrix.csv,Ch8 uncertainty and admission,ready_as_compact_table,"Show temporal UQ exists but same-label mesh/GCI evidence is missing for Q_wall, exchange mdot, residence time, and wall/core/bulk contrast.",copy_summary_rows_only
FT-Scorecard-001,table,work_products/2026-07/2026-07-22/2026-07-22_thesis_n1_frozen_runtime_legal_candidate_gate/blocked_scorecard_logic.csv,Ch8 predictive model assessment,ready_as_compact_table,"Use as blocked final-scorecard logic: no frozen candidate, protected rows untouched, final score table remains a shell.",copy_summary_rows_only
