sensor,kind,acceptance_class,rationale,bounded_or_excluded_reason,score_aggregate_after_refresh,score_policy_decision,source_paths
TP1,TP,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TP2,TP,mapped,"TP2 is mapped to the right-downcomer/bottom-horizontal junction for scoring, but remains runtime_temperature_allowed=false and fit_allowed=false.","bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes_after_projection_source_segment_and_finite_prediction_gates,restore_to_aggregate_after_gates; validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TP3,TP,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TP4,TP,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TP5,TP,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TP6,TP,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TW1,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TW2,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TW3,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TW4,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TW5,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TW6,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TW7,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TW8,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TW9,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TW10,TW,excluded,TW10 is a cooling-jacket shell surrogate; current 1D model does not emit the required active-HX shell temperature.,excluded: current 1D state vector has no active heat-exchanger shell output,no,keep_excluded_from_aggregate,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
TW11,TW,bounded,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.,"bounded: coordinates remain provisional, so thesis claims should use segment/path placement rather than exact measurement",yes,post_solve_validation_target_only,work_products/2026-07/2026-07-13/2026-07-13_predictive_sensor_map_contract/sensor_map_contract.csv;work_products/2026-07/2026-07-15/2026-07-15_sensor_policy_gate_opening_and_hydraulic_node_run/sensor_map_policy_refresh.csv
