case_id,source_id,path_id,description,fixed_mdot_kg_s,executable_with_current_fluid_api,thermal_input_policy,radiation_policy,hydraulic_policy,score_partition,modeling_status
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B0_current_fluid_baseline,Current Fluid salt thermal contract at CFD mdot.,0.01318,yes,current Fluid heater/test-section source and predictive air-side HX/ambient models,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,reference_only_not_boundary_parity
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B1_legacy_cfd_cooler_duty,Legacy best replay: replace predictive HX with CFD realized cooler duty.,0.01318,yes,current Fluid sources; impose AGENT-263 realized cooling-branch loss as qhx duty,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,legacy_context_cfd_cooler_duty_not_predictive
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B2_realized_wallflux_roles,Prescribe AGENT-263 realized wallHeatFlux sources and losses by mapped 1D segment.,0.01318,yes,fixed-Q replay using realized wallHeatFlux; positive heat as source and negative heat as segment loss,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,executable_fixed_Q_patch_boundary_parity_diagnostic
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B3_imposed_setup_roles,Prescribe AGENT-263 imposed setup heat terms by mapped 1D segment.,0.01318,yes,fixed-Q replay using imposed Q entries; exposes setup-vs-realized discrepancy,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,executable_fixed_Q_setup_contract_diagnostic
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B4_external_bc_equivalent_contract,h/Ta/Tsur/emissivity/layer external-boundary equivalent contract.,0.01318,no,contract only: current repo-local Fluid API does not accept patch-level h/Ta/Tsur/emissivity external BC injection,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,nonexecutable_api_gap_for_temperature_dependent_external_bc_parity
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,B0_current_fluid_baseline,Current Fluid salt thermal contract at CFD mdot.,0.01497,yes,current Fluid heater/test-section source and predictive air-side HX/ambient models,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,reference_only_not_boundary_parity
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,B1_legacy_cfd_cooler_duty,Legacy best replay: replace predictive HX with CFD realized cooler duty.,0.01497,yes,current Fluid sources; impose AGENT-263 realized cooling-branch loss as qhx duty,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,legacy_context_cfd_cooler_duty_not_predictive
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,B2_realized_wallflux_roles,Prescribe AGENT-263 realized wallHeatFlux sources and losses by mapped 1D segment.,0.01497,yes,fixed-Q replay using realized wallHeatFlux; positive heat as source and negative heat as segment loss,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,executable_fixed_Q_patch_boundary_parity_diagnostic
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,B3_imposed_setup_roles,Prescribe AGENT-263 imposed setup heat terms by mapped 1D segment.,0.01497,yes,fixed-Q replay using imposed Q entries; exposes setup-vs-realized discrepancy,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,executable_fixed_Q_setup_contract_diagnostic
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,B4_external_bc_equivalent_contract,h/Ta/Tsur/emissivity/layer external-boundary equivalent contract.,0.01497,no,contract only: current repo-local Fluid API does not accept patch-level h/Ta/Tsur/emissivity external BC injection,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,nonexecutable_api_gap_for_temperature_dependent_external_bc_parity
