case_id,variant_id,sensor_source,sensor,kind,score_status_current,score_included_current,predicted_K,target_K,error_K,prediction_source_segment,prediction_source_fraction,blocker_or_caveat
salt_2,F0_current_fluid_sources,experimental_fluid_validation,TP1,TP,provisional_diagnostic_score_allowed,yes,481.35000392,453.26,28.0900039197,top_horizontal_exit,1,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
salt_2,F0_current_fluid_sources,experimental_fluid_validation,TP2,TP,blocked_current_fluid_registry_off_path,no,,446.63,,,,Current Fluid provisional TP2 x coordinate is off the current 1D path; native CFD TP2 and notes bound it to the right-downcomer/bottom-horizontal junction.
salt_2,F0_current_fluid_sources,experimental_fluid_validation,TP3,TP,provisional_diagnostic_score_allowed,yes,487.692518191,446.67,41.0225181912,left_lower_vertical,0,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
salt_2,F0_current_fluid_sources,experimental_fluid_validation,TP4,TP,provisional_diagnostic_score_allowed,yes,487.122817147,449.74,37.3828171471,left_lower_vertical,1,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
salt_2,F0_current_fluid_sources,experimental_fluid_validation,TP5,TP,provisional_diagnostic_score_allowed,yes,487.64319305,451.64,36.0031930505,test_section,1,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
salt_2,F0_current_fluid_sources,experimental_fluid_validation,TP6,TP,provisional_diagnostic_score_allowed,yes,487.073704449,456.72,30.3537044493,left_upper_vertical,1,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
salt_2,F0_current_fluid_sources,experimental_fluid_validation,TW1,TW,provisional_diagnostic_score_allowed,yes,479.749441771,443.86,35.8894417706,right_vertical,0.25,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
salt_2,F0_current_fluid_sources,experimental_fluid_validation,TW10,TW,blocked_forward_v0_no_hx_shell_prediction,no,,389.74,,,,TW10 is a cooling-jacket shell surrogate; imposed-cooler forward-v0 does not emit finite active-HX shell temperature for this sensor.
salt_2,F0_current_fluid_sources,experimental_fluid_validation,TW11,TW,provisional_diagnostic_score_allowed,yes,480.555258771,448.41,32.1452587707,cooled_incline_post_hx,0.25,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
salt_2,F0_current_fluid_sources,experimental_fluid_validation,TW2,TW,provisional_diagnostic_score_allowed,yes,479.268212668,445.08,34.1882126679,right_vertical,0.5,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
salt_2,F0_current_fluid_sources,experimental_fluid_validation,TW3,TW,provisional_diagnostic_score_allowed,yes,479.075910549,443.57,35.5059105493,right_vertical,0.75,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
salt_2,F0_current_fluid_sources,experimental_fluid_validation,TW4,TW,provisional_diagnostic_score_allowed,yes,480.640994803,445.49,35.1509948027,heated_incline,0.25,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
salt_2,F0_current_fluid_sources,experimental_fluid_validation,TW5,TW,provisional_diagnostic_score_allowed,yes,482.416480911,471.69,10.726480911,heated_incline,0.5,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
salt_2,F0_current_fluid_sources,experimental_fluid_validation,TW6,TW,provisional_diagnostic_score_allowed,yes,484.490614282,467.02,17.4706142821,heated_incline,0.75,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
salt_2,F0_current_fluid_sources,experimental_fluid_validation,TW7,TW,provisional_diagnostic_score_allowed,yes,485.965745304,453.23,32.7357453038,left_lower_vertical,0.5,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
