case_id,source_key,run_family,case_classification,case_root,primary_log_path,scheduler_or_terminal_state,admission_status,evidence_use_class,current_split_assignment,training_eligible_now,validation_eligible_now,holdout_eligible_now,boundary_label_status,radiation_semantics,rcExternalTemperature_patches,reason,next_required_postprocessing,primary_evidence
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,mainline_jin_continuation,mainline_nominal,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_continuation,terminal_or_stationary_baseline,admitted_for_forward_v0_scoring,train_candidate,train,yes,no,no,full_patch_role_audit_complete,"rcExternalTemperature includes emissivity/Tsur; radiation is folded into total wallHeatFlux, not separately exported as qr",36,Lowest-current mainline Salt row in the current predictive input contract; using a single training row prevents silent multi-parameter thermal fitting on three cases.,No new gate for one-scalar pilot; any two-or-more-parameter thermal fit needs additional admitted rows or a revised split.,work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv; work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_imposed_cooler/forward_v0_results.csv
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,mainline_jin_continuation,mainline_nominal,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_continuation,terminal_or_stationary_baseline,admitted_for_forward_v0_scoring,validation_candidate,validation,no,yes,no,full_patch_role_audit_complete,"rcExternalTemperature includes emissivity/Tsur; radiation is folded into total wallHeatFlux, not separately exported as qr",36,Middle mainline Salt row; best interpolation check for any one-scalar thermal correction before touching the high-power holdout.,"Can become training only through a new dated split revision before fitting, not after seeing validation residuals.",work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv; work_products/2026-07/2026-07-13/2026-07-13_predictive_heat_loss_path/heldout_validation_scores.csv
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,mainline_jin_continuation,mainline_nominal,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/logs/log.foamRun_continuation,terminal_or_stationary_baseline,admitted_for_forward_v0_scoring,holdout_candidate,holdout,no,no,yes,full_patch_role_audit_complete,"rcExternalTemperature includes emissivity/Tsur; radiation is folded into total wallHeatFlux, not separately exported as qr",36,Highest-current mainline Salt row; preserves one true held-out endpoint for thesis-safe reporting.,"Can become validation/training only through a new dated split revision before fitting, not after Salt3 performance is known.",work_products/2026-07/2026-07-13/2026-07-13_predictive_input_contract/case_runtime_inputs_forward_v0.csv; work_products/2026-07/2026-07-13/2026-07-13_predictive_forward_v0_imposed_cooler/forward_v0_results.csv
salt1_nominal,salt1_nominal,mainline_salt1,diagnostic-only,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_continuation,terminal_window_stationary_cancelled,terminal_harvest_complete_context_only,diagnostic_context_only,diagnostic-only,no,no,no,salt1_policy_not_promoted,not promoted to current thermal closure split; use only as context until Salt1 policy admits it,,use as terminal steady-state context; closure-fit admission still needs Salt1 policy,explicit Salt1 admission policy plus predictive input-contract row,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv
salt1_lo10q,salt1_lo10q,corrected_q_salt1,perturbation_sensitivity,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,terminal_window_stationary_cancelled,terminal_harvest_complete_context_only,diagnostic_context_only,diagnostic-only,no,no,no,salt1_policy_not_promoted,not promoted to current thermal closure split; use only as context until Salt1 policy admits it,,use as terminal steady-state context; closure-fit admission still needs Salt1 policy,explicit Salt1 admission policy plus predictive input-contract row,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv
salt1_hi10q,salt1_hi10q,corrected_q_salt1,perturbation_sensitivity,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,terminal_window_stationary_cancelled,terminal_harvest_complete_context_only,diagnostic_context_only,diagnostic-only,no,no,no,salt1_policy_not_promoted,not promoted to current thermal closure split; use only as context until Salt1 policy admits it,,use as terminal steady-state context; closure-fit admission still needs Salt1 policy,explicit Salt1 admission policy plus predictive input-contract row,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv
salt2_hi10q,salt2_jin_hi10q_corrected,corrected_q_perturbation,perturbation_sensitivity,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,RUNNING,blocked_pending_terminal_gate,blocked_pending_terminal_gate,blocked,no,no,no,runtime_preflight_ok_but_terminal_patch_role_reduction_pending,"corrected rows inherit rcExternalTemperature semantics, but remain pending until terminal harvest and row-specific boundary reduction",,live selected continuation still running,"wait for terminal Slurm state, then run terminal harvest and operating-point convergence gate",jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q
salt2_hi5q,salt2_jin_hi5q_corrected,corrected_q_perturbation,perturbation_sensitivity,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,not_live_in_job_3293924,Partial/under-advanced; gate says too_short; deferred continuation candidate.,blocked_not_admitted,blocked,no,no,no,corrected_manifest_available_boundary_reduction_pending,"corrected rows inherit rcExternalTemperature semantics, but remain pending until terminal harvest and row-specific boundary reduction",,Partial/under-advanced; gate says too_short; deferred continuation candidate.,terminal/latest-time corrected-Q convergence gate; then add a dated split revision before any fitting,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv
salt2_lo10q,salt2_jin_lo10q_corrected,corrected_q_perturbation,perturbation_sensitivity,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,RUNNING,blocked_pending_terminal_gate,blocked_pending_terminal_gate,blocked,no,no,no,runtime_preflight_ok_but_terminal_patch_role_reduction_pending,"corrected rows inherit rcExternalTemperature semantics, but remain pending until terminal harvest and row-specific boundary reduction",,live selected continuation still running,"wait for terminal Slurm state, then run terminal harvest and operating-point convergence gate",jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q
salt2_lo5q,salt2_jin_lo5q_corrected,corrected_q_perturbation,perturbation_sensitivity,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,not_live_in_job_3293924,Partial/under-advanced; gate says too_short; deferred continuation candidate.,blocked_not_admitted,blocked,no,no,no,corrected_manifest_available_boundary_reduction_pending,"corrected rows inherit rcExternalTemperature semantics, but remain pending until terminal harvest and row-specific boundary reduction",,Partial/under-advanced; gate says too_short; deferred continuation candidate.,terminal/latest-time corrected-Q convergence gate; then add a dated split revision before any fitting,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv
salt3_hi10q,salt3_jin_hi10q_corrected,corrected_q_perturbation,failed,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,not_live_in_job_3293924,Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,failed_or_requires_investigation,blocked,no,no,no,corrected_manifest_available_boundary_reduction_pending,"corrected rows inherit rcExternalTemperature semantics, but remain pending until terminal harvest and row-specific boundary reduction",,Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,"document launch/BC/log cause, rebuild or rerun from corrected restart, then terminal gate",work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv
salt3_hi5q,salt3_jin_hi5q_corrected,corrected_q_perturbation,failed,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,not_live_in_job_3293924,Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,failed_or_requires_investigation,blocked,no,no,no,corrected_manifest_available_boundary_reduction_pending,"corrected rows inherit rcExternalTemperature semantics, but remain pending until terminal harvest and row-specific boundary reduction",,Not accepted; investigate before resubmission. Investigate cancelled high-Q attempt for BC/log/launcher issues; rerun or rebuild from corrected restart only after cause is documented.,"document launch/BC/log cause, rebuild or rerun from corrected restart, then terminal gate",work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv
salt3_lo10q,salt3_jin_lo10q_corrected,corrected_q_perturbation,perturbation_sensitivity,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q,not_live_in_job_3293924,Partial/under-advanced; gate says too_short; deferred continuation candidate.,blocked_not_admitted,blocked,no,no,no,corrected_manifest_available_boundary_reduction_pending,"corrected rows inherit rcExternalTemperature semantics, but remain pending until terminal harvest and row-specific boundary reduction",,Partial/under-advanced; gate says too_short; deferred continuation candidate.,terminal/latest-time corrected-Q convergence gate; then add a dated split revision before any fitting,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv
