study_id,gate_name,status,thesis_visual_use,final_score_values_released,fit_or_model_selection_use,source_paths
S0,pressure_corner_freeze,complete_diagnostic,pressure corner rows are diagnostic/non-admitted,0,none,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s6_frozen_candidate_scorecard/pressure_residual_waterfall_shell.csv
S1,first_wave_context,complete_diagnostic,first-wave thesis context is documentation-ready,0,none,work_products/2026-07/2026-07-21/2026-07-21_thesis_predictive_study_figure_table_package/quantitative_visual_manifest.csv
S2,source_property_labels,complete_release_gate,source/property labels are carried into S6 split rows,0,none,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s6_frozen_candidate_scorecard/split_role_scorecard_shell.csv
S3,pressure_F6_non_admission,complete_non_admission,"component K, F6, clipped K, and hidden multipliers remain disabled",0,none,work_products/2026-07/2026-07-21/2026-07-21_thesis_predictive_study_figure_table_package/blocked_scorecard_shell.csv
S4,recirculation_guard,complete_guardrail,ordinary upcomer closure remains disabled for recirculating evidence,0,none,work_products/2026-07/2026-07-21/2026-07-21_thesis_predictive_study_figure_table_package/blocked_scorecard_shell.csv
S5,source_property_split_release,complete_release_gate,fit/model selection remain closed for all S6 rows,0,none,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s6_frozen_candidate_scorecard/split_role_scorecard_shell.csv
S6,frozen_candidate_scorecard,complete_blocked_shell,"no frozen runtime-legal candidate exists, so final score cells are empty",0,none,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s6_frozen_candidate_scorecard/frozen_candidate_manifest.csv
S7,sensor_map_targets,complete_score_only_contract,"TP/TW targets are mapped, bounded, or excluded and are not runtime inputs",0,none,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/summary.json
S8,wall_test_section_residual_atlas,queued_or_trigger_gated,requires exact S8 evidence package or diagnostic-only row,0,none,work_products/2026-07/2026-07-21/2026-07-21_thesis_predictive_study_figure_table_package/blocked_scorecard_shell.csv
S9,upcomer_exchange_evidence,queued_or_trigger_gated,requires exchange/onset sampler evidence before ordinary closure admission,0,none,work_products/2026-07/2026-07-21/2026-07-21_thesis_predictive_study_figure_table_package/blocked_scorecard_shell.csv
S10,pressure_F6_gate_waterfall,ready_or_recently_packaged,pressure/F6 gate waterfall can be shown as blocked/diagnostic evidence,0,none,work_products/2026-07/2026-07-21/2026-07-21_thesis_predictive_study_figure_table_package/blocked_scorecard_shell.csv
S11,cross_chapter_visual_integration,queued_after_figure_packages,requires package outputs before chapter integration,0,none,work_products/2026-07/2026-07-21/2026-07-21_thesis_predictive_study_figure_table_package/quantitative_visual_manifest.csv
