heat_path,material_geometry_scope,required_fields,current_status,runtime_allowed_now,current_blocker,next_required_action
internal_Nu,salt_side_internal_convection,hydraulic_diameter flow basis Re Pr Gz boundary condition source-independent internal correlation,not_a_heat_loss_residual_owner,false,source/property and ordinary/recirculating flow gates incomplete,Admit only salt-side convection physics after heat paths are separated.
wall_conduction,pipe_wall_and_heated_boundaries,inner_area outer_area wall_thickness wall_k axial_coverage segment_mapping,partial_missing_fields,false,material field release absent,Complete segmentwise wall material/area/thickness table.
contact_resistance,wall_layer_interfaces,contact_pair area contact_resistance provenance uncertainty,unresolved,false,no independent contact evidence,Keep as explicit blocker; do not back-solve from protected TP/TW residual.
insulation,insulated_external_surfaces,coverage thickness k outer_area ambient_contact_view,partial_missing_fields,false,coverage/material provenance incomplete,Create segment-specific insulation coverage and k ledger.
quartz,test_section_layers,quartz_thickness quartz_k exposed_area heater/source adjacency,partial_missing_fields,false,test-section material/source lane not released,Separate quartz/layer loss from passive wall loss.
external_convection,outer_surfaces,h_ext source Ta area coverage drive_selector solved_surface_temperature,diagnostic_basis_only,false,hA/source basis not released and wall-state mapping incomplete,Lock setup h/area/ambient and solved surface state contract.
radiation,outer_surfaces,emissivity Tsur area view_factor solved_surface_temperature radiation_semantics,diagnostic_basis_only,false,emissivity/Tsur/area semantics not released,Lock radiation policy and avoid wallHeatFlux replay double count.
jacket_cooler,cooling_branch,HX_geometry coolant_or_jacket_state UA_or_effectiveness basis area sign convention,setup_sink_traceable_not_released,false,setup model not released,Develop setup-only UA/effectiveness model without imposed CFD duty.
heater_source,lower_leg,heater_power distribution efficiency eta_h heated_area source_segment_map,setup_source_traceable_not_released,false,heater-to-salt efficiency/source-property release absent,Lock source distribution and efficiency prior before calibration.
test_section_source,upcomer,test_section_power source_distribution quartz/layer geometry exposed_area,setup_source_traceable_not_released,false,source/loss ownership not released,Build source-bounded test-section lane and same-QOI UQ.
storage,fluid_solid_inventory,rho cp volume mass time_window dTdt,not_current_steady_runtime,false,transient/storage model not admitted,Park as future transient lane with explicit fields.
recirculation_exchange,upcomer_interface,interface_area normals wall_core_band cp mdot_exchange tau_recirc Q_wall_W same_window_fields,diagnostic_only,false,S13 same-label mesh/GCI source/property production release absent,Wait for S13 exact-label/mesh-GCI/source-property gates.
unknown_residual,ledger_output_only,declared_lane_sum total_energy_residual uncertainty_owner,output_only,false,missing physical owner evidence,Publish residual as explicit output only.
