case_id,source_id,path_id,description,fixed_mdot_kg_s,radiation_on,thermal_input_policy,hydraulic_policy,score_partition,modeling_status
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,N0_current_fluid_rad_off,Current Fluid salt contract at CFD mdot with 1D radiation disabled.,0.01318,False,current Fluid heater/test-section source and predictive air-side HX/ambient models; radiation_on=False,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,reference_only_current_contract_no_radiation
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,N1_heater_cooler_imposed_rad_off,"Impose CFD heater source and CFD cooler duty together, no radiation.",0.01318,False,CFD heater imposed source plus CFD cooler imposed sink; no test-section source; Fluid no-radiation ambient model remains active,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,combined_heater_cooler_boundary_probe_no_radiation
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,N2_cfd_setup_bc_plus_passive_conv_rad_off,Impose CFD setup sources/sinks and non-cooler hA/Ta convection-only external losses with radiation disabled.,0.01318,False,"CFD heater/test-section imposed sources, CFD cooler imposed sink, and non-cooler CFD hA/Ta external losses; radiation_on=False",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,radiation_off_hA_Ta_sensitivity_not_cfd_parity_after_AGENT_277
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,N3_realized_wallflux_diagnostic_rad_off,"Fixed-Q diagnostic using CFD realized wallHeatFlux roles, no radiation term added.",0.01318,False,positive realized wallHeatFlux as source and negative realized wallHeatFlux as fixed segment loss,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,fixed_Q_realized_wallflux_diagnostic_not_predictive_boundary_model
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,N0_current_fluid_rad_off,Current Fluid salt contract at CFD mdot with 1D radiation disabled.,0.01497,False,current Fluid heater/test-section source and predictive air-side HX/ambient models; radiation_on=False,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,reference_only_current_contract_no_radiation
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,N1_heater_cooler_imposed_rad_off,"Impose CFD heater source and CFD cooler duty together, no radiation.",0.01497,False,CFD heater imposed source plus CFD cooler imposed sink; no test-section source; Fluid no-radiation ambient model remains active,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,combined_heater_cooler_boundary_probe_no_radiation
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,N2_cfd_setup_bc_plus_passive_conv_rad_off,Impose CFD setup sources/sinks and non-cooler hA/Ta convection-only external losses with radiation disabled.,0.01497,False,"CFD heater/test-section imposed sources, CFD cooler imposed sink, and non-cooler CFD hA/Ta external losses; radiation_on=False",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,radiation_off_hA_Ta_sensitivity_not_cfd_parity_after_AGENT_277
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,N3_realized_wallflux_diagnostic_rad_off,"Fixed-Q diagnostic using CFD realized wallHeatFlux roles, no radiation term added.",0.01497,False,positive realized wallHeatFlux as source and negative realized wallHeatFlux as fixed segment loss,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,fixed_Q_realized_wallflux_diagnostic_not_predictive_boundary_model
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,N0_current_fluid_rad_off,Current Fluid salt contract at CFD mdot with 1D radiation disabled.,0.01698,False,current Fluid heater/test-section source and predictive air-side HX/ambient models; radiation_on=False,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,reference_only_current_contract_no_radiation
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,N1_heater_cooler_imposed_rad_off,"Impose CFD heater source and CFD cooler duty together, no radiation.",0.01698,False,CFD heater imposed source plus CFD cooler imposed sink; no test-section source; Fluid no-radiation ambient model remains active,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,combined_heater_cooler_boundary_probe_no_radiation
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,N2_cfd_setup_bc_plus_passive_conv_rad_off,Impose CFD setup sources/sinks and non-cooler hA/Ta convection-only external losses with radiation disabled.,0.01698,False,"CFD heater/test-section imposed sources, CFD cooler imposed sink, and non-cooler CFD hA/Ta external losses; radiation_on=False",hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,radiation_off_hA_Ta_sensitivity_not_cfd_parity_after_AGENT_277
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,N3_realized_wallflux_diagnostic_rad_off,"Fixed-Q diagnostic using CFD realized wallHeatFlux roles, no radiation term added.",0.01698,False,positive realized wallHeatFlux as source and negative realized wallHeatFlux as fixed segment loss,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_section_heat_parity; pressure_residual_diagnostic,fixed_Q_realized_wallflux_diagnostic_not_predictive_boundary_model
