case_id,time_window_s,blocked_input,current_status,blocking_for_harvest,reason,unlock_condition
salt_2,7915,exchange_interface_vtk,blocked_missing_named_exchange_interface_vtk,true,named interface geometry and normal sign convention are published,claim and complete a separate geometry/source work package before sampler execution
salt_2,7915,wall_vtk,blocked_missing_wall_core_vtk,true,wall/core surface definition and sample output are published,claim and complete a separate geometry/source work package before sampler execution
salt_2,7915,source_sink_ledger,blocked_missing_same_window_source_sink_ledger,true,same-window source/sink extractor publishes ledger rows,claim and complete a separate geometry/source work package before sampler execution
salt_3,7618,exchange_interface_vtk,blocked_missing_named_exchange_interface_vtk,true,named interface geometry and normal sign convention are published,claim and complete a separate geometry/source work package before sampler execution
salt_3,7618,wall_vtk,blocked_missing_wall_core_vtk,true,wall/core surface definition and sample output are published,claim and complete a separate geometry/source work package before sampler execution
salt_3,7618,source_sink_ledger,blocked_missing_same_window_source_sink_ledger,true,same-window source/sink extractor publishes ledger rows,claim and complete a separate geometry/source work package before sampler execution
salt_4,10000,exchange_interface_vtk,blocked_missing_named_exchange_interface_vtk,true,named interface geometry and normal sign convention are published,claim and complete a separate geometry/source work package before sampler execution
salt_4,10000,wall_vtk,blocked_missing_wall_core_vtk,true,wall/core surface definition and sample output are published,claim and complete a separate geometry/source work package before sampler execution
salt_4,10000,source_sink_ledger,blocked_missing_same_window_source_sink_ledger,true,same-window source/sink extractor publishes ledger rows,claim and complete a separate geometry/source work package before sampler execution
salt_2,7915,Q_wall_W,blocked_missing_wallHeatFlux_integration_and_wall_core_band,true,"static source/sink terms are parsed, but wall heat loss is not integrated or sign-convention released","publish task-owned wall/core band, wallHeatFlux integration, and heat-flow sign convention"
salt_3,7618,Q_wall_W,blocked_missing_wallHeatFlux_integration_and_wall_core_band,true,"static source/sink terms are parsed, but wall heat loss is not integrated or sign-convention released","publish task-owned wall/core band, wallHeatFlux integration, and heat-flow sign convention"
salt_4,10000,Q_wall_W,blocked_missing_wallHeatFlux_integration_and_wall_core_band,true,"static source/sink terms are parsed, but wall heat loss is not integrated or sign-convention released","publish task-owned wall/core band, wallHeatFlux integration, and heat-flow sign convention"
