artifact_id,artifact_family,allowed_use,forbidden_use,split_role_status,admission_state,source_paths,next_task
CFD-01,native_openfoam_case_trees,Provenance and high-fidelity reference state after staging; source for separately authorized extraction only,Direct thesis copy; manual mutation; predictive runtime input source; unstaged provenance replacement,case_role_dependent,read_only_context,"native CFD/OpenFOAM outputs; staging/render_inputs/**",Use only through task-owned extraction or compact evidence packets.
CFD-02,cfd_case_database,Chapter 3 evidence database and case/split provenance,Experimental validation claim or source-free row classification,context_and_split_evidence,thesis_ready_context,reports/thesis_dossier/Chapters_and_sections/current/16_ch3_csem_cfd_evidence_database.md,Keep split role attached to every derived figure/table.
CFD-03,split_policy_and_evidence_classes,Legal-use rule for train/support/holdout/external/diagnostic rows,Override split role because a row is numerically convenient,all_rows,thesis_ready_guardrail,reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md,Use as first citation for runtime legality.
CFD-04,rendered_upcomer_velocity_figures,Diagnostic figure support for recirculation-aware model-form selection,Ordinary upcomer Nu/f_D/K admission; exchange coefficient; final prediction; validation claim,diagnostic_figure_support,diagnostic_only,work_products/2026-07/2026-07-21/2026-07-21_velocity_magnitude_pictures/README.md,Pair with recirculation/onset packet and exact source paths.
CFD-05,pressure_section_effective_rows,Negative-result evidence for section-effective pressure residual lane,Component K/F6/cluster-K/clipped-K/global multiplier admission,diagnostic_negative_result,blocked_for_component_admission,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_pressure_basis_ladder_evidence_packet/README.md,Use pressure-basis ladder packet for table/caption text.
CFD-06,s13_qwall_exchange_rows,Diagnostic S13 target-window and triplet-ready QOI evidence,Production harvest; source/property release; exchange-cell coefficient admission; mesh/GCI claim,pending_uq,diagnostic_or_pending,work_products/2026-07/2026-07-22/2026-07-22_s13_upcomer_exchange_target_plus_same_qoi_harvest/README.md,Wait for post-sampler/GCI row before production claims.
CFD-07,thermal_heat_ledgers,Heat-path accounting and residual-owner evidence,forbidden runtime realized wallHeatFlux input; global fitted heat leak; residual absorbed into internal Nu,diagnostic_accounting,blocked_for_closure_admission,work_products/2026-07/2026-07-22/2026-07-22_thesis_study_thermal_accounting_traceability_evidence_packet/README.md,Use thermal accounting packet for heat-path tables.
CFD-08,tp_tw_sensor_targets,Score target and projection uncertainty evidence,Runtime validation-temperature input or fit/model-selection target without policy release,score_only,score_target_only,work_products/2026-07/2026-07-22/2026-07-22_1d_sensor_projection_operator_tp_tw_wall_bulk/README.md,Use only after frozen candidate exists for protected scoring.
CFD-09,final_scorecard_shell,Blocked final-score evidence and admission workflow result,Final predictive score claim; frozen runtime-legal candidate claim,all_splits_pending_freeze,blocked,work_products/2026-07/2026-07-22/2026-07-22_thesis_evidence_packet_ch7_ch8_results_negative_blocked/README.md,Update only from a future frozen scorecard package.
CFD-10,external_val_salt2_evidence,External-test diagnostic/score-only evidence after freeze,Training input; tuning input; runtime input; proof of experimental validation,external_test,score_only_after_freeze,reports/thesis_dossier/Chapters_and_sections/current/05_junction_aware_ledgers.md,Use only for external-test discussion after candidate freeze.
