figure_id,target_section,target_use,allowed_scope,required_caveat,promotion_status,source_package,staged_pdf
salt2_family_heat_loss,04_salt_family_results,main_text,Salt 2 family subset only,Use the family-level redistribution framing only; this subset inherits the campaign heat-loss definitions.,allowed,reports/2026-06-15_ethan_field_transport_campaign/summary.json,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt2_heat_loss.pdf
salt4_family_heat_loss,04_salt_family_results,main_text,Salt 4 family subset only,Use the family-level redistribution framing only; this subset inherits the campaign heat-loss definitions.,allowed,reports/2026-06-15_ethan_field_transport_campaign/summary.json,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt4_heat_loss.pdf
salt2_family_azimuthal_means,04_salt_family_results,main_text_with_caveat,Salt 2 circumferential means only,Keep the narration at the circumferential-mean trend level; do not present this as full theta-resolution evidence.,allowed_with_caveat,reports/2026-06-15_ethan_field_transport_campaign/summary.json,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt2_azimuthal_means.pdf
salt4_family_azimuthal_means,04_salt_family_results,main_text_with_caveat,Salt 4 circumferential means only,Keep the narration at the circumferential-mean trend level; do not present this as full theta-resolution evidence.,allowed_with_caveat,reports/2026-06-15_ethan_field_transport_campaign/summary.json,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt4_azimuthal_means.pdf
salt2_hydraulic_mechanism,05_salt2_mechanism_results,main_text_with_caveat,Salt 2 broad redistribution only,Narrate only the broad hydraulic redistribution; do not anchor claims on local direct-vs-shear disagreement spikes.,allowed_with_caveat,reports/2026-06-15_ethan_representative_transport_comparison/summary.json,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt2_friction_pressure_zoomed.pdf
salt2_effective_thermal_mechanism,05_salt2_mechanism_results,main_text_with_caveat,Safe Salt 2 thermal regions only,The manuscript should narrate only branch or loop regions that pass the thermal support rubric.,allowed_with_caveat,reports/2026-06-15_ethan_representative_transport_comparison/summary.json,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt2_thermal_and_resistance.pdf
salt2_branch_thermal_safe_subset,05_salt2_mechanism_results,candidate_main_text,"left_lower_leg, test_section_span, left_upper_leg, upcomer",This branch view is restricted to scrutiny-approved Salt 2 branches and intentionally omits corners and junctions.,allowed_with_caveat,reports/2026-06-15_ethan_representative_transport_comparison/summary.json,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt2_branch_thermal_safe_subset.pdf
salt_family_branch_thermal_safe_subset,04_salt_family_results,candidate_main_text,"Salt 2 and Salt 4, safe branches only",Only the scrutiny-approved branches are shown; right-leg and lower-leg thermal headline claims remain blocked.,allowed_with_caveat,reports/2026-06-15_ethan_field_transport_campaign/summary.json,reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_family_branch_thermal_safe_subset.pdf
salt_family_branch_trust_heatmap,appendix_support,appendix_support,"All Salt branches, trust-only diagnostic",Use only as support to explain why some branches were promoted and others were withheld.,allowed_with_caveat,reports/2026-06-18_ethan_transport_analysis_package/summary.json,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt_branch_trust_heatmap.pdf
salt_family_branch_support_qc,appendix_support,appendix_support,Safe Salt branches only,"This is a QC support figure, not a headline result figure.",allowed_with_caveat,reports/2026-06-18_ethan_transport_analysis_package/summary.json,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/reports/2026-06-18_ethan_salt_paper_handoff_package/figures/pdf/salt_paper_salt_safe_branch_support.pdf
