model_family,litrev_form_or_lesson,provenance_author_title,tried_status,evidence_class,current_status,next_action,current_ethan_evidence
property_modes,Separate replication and updated property modes before closure fitting,"Reis Seo and Hassan, Molten Salt Flow Visualization; Sohal et al., Engineering Database; Jin et al., Accurate Viscosity Measurement; Parida and Basu, Specific Heat Capacity; Santini et al., Thermal Conductivity",tried_diagnostic,sensitivity,Property sensitivity package exists; calibration remains blocked until the active property lane is declared for each scorecard.,Keep replication and updated-property modes separate in every fit/score table.,work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/README.md
pressure_ledger,Use dp_hyd + dp_kin + dp_dist_dev + dp_minor + dp_reset + dp_transient + dp_res rather than one global pressure coefficient,"Shah, Hydrodynamic Entry Length; Muzychka and Yovanovich, Laminar Developing Flow Pressure Drop; Lin et al., Measurement Methods for Pipe Fittings",partially_tried_needs_gate,diagnostic,Ledger architecture and reset/K contracts exist; component/cluster K currently has 0 fit-admissible rows.,Refresh with admitted pressure evidence and raw two-tap extraction before any hydraulic fit is admitted.,work_products/2026-07/2026-07-14/2026-07-14_hydraulic_reset_k_admission_contract/README.md
fully_developed_friction_reference,Keep f_D=64/Re as reference only,"Shah and London, Laminar Flow Forced Convection Heat Transfer and Flow Friction",tried_rejected_or_demoted,reference,Fully developed friction as an active default is demoted; it remains a diagnostic/reference column.,Retain reference output; do not use as default active closure unless branch evidence proves fully developed flow.,operational_notes/maps/literature-synthesis-and-gates.md
developing_redeveloping_friction,Use reset-distance-dependent developing/redeveloping pressure loss,"Shah, Hydrodynamic Entry Length; Muzychka and Yovanovich, Laminar Developing Flow Pressure Drop",partially_tried_needs_gate,blocked,"Reset/development contract exists, but Fluid needs first-class reset/development support and admitted pressure rows.",Implement reset/development API and score against admitted pressure-loss evidence.,work_products/2026-07/2026-07-14/2026-07-14_hydraulic_reset_k_admission_contract/README.md
component_cluster_k,"Separate component K, cluster K, and branch-apparent losses","Lin et al., State-of-the-Art Review on Pipe Fitting Losses; Patino-Jaramillo et al., Planar Tee Pressure Loss; Salehi et al., Close-Coupled Elbows",partially_tried_needs_gate,blocked,"Tap-length refresh improved preserved-corner lengths, but component/cluster K still has 0 fit-admissible rows.",Extract raw two-tap connector rows and admit component/cluster K before launching H1 faithful fit.,work_products/2026-07/2026-07-14/2026-07-14_hydraulic_tap_length_admission_refresh/README.md
f6_phi_re,Use phi(Re) / F6 as bounded hydraulic candidate after Re-variation evidence,LitRev reset/named-loss gate plus hydraulic F6 candidate packages,partially_tried_needs_gate,blocked,"F6 selected as next bounded candidate, but blocked until admitted Re-variation rows exist.",Use terminal corrected-Q/admitted Re-variation rows with pressure-loss primary metric and mdot guardrail.,work_products/2026-07/2026-07-14/2026-07-14_h1_faithful_gap_and_f6_decision/README.md
h1_localized_fixed_k,Do not treat localized fixed K alone as faithful reset/redevelopment closure,"Lin et al., Pipe Fitting Loss Methods; Muzychka and Yovanovich, Developing Pressure Drop",tried_rejected_or_demoted,diagnostic,Localized fixed-K-only scoring worsened mdot and does not unlock hydraulic or forward-v1 blockers.,Retire current H1 forms as proxy-only until reset/redevelopment API and admitted K evidence exist.,work_products/2026-07/2026-07-14/2026-07-14_localized_fixed_k_forward_score/README.md
nonuniform_heating_inclination,Use nonuniform heating and inclination papers as diagnostics unless geometry/range matches,"Chen et al., Multi-Sided Heating Pipes; Yang et al., Inclined Tube Single Surface Heating; Shen et al., Non-Uniform Heat Flux",not_tried,diagnostic,Recorded as diagnostic model forms; no current active TAMU closure or scorecard consumes them directly.,"Add branch metadata for heating pattern, orientation, axial/transverse buoyancy, and wall heat-flux reconstruction.",reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/README.md
upcomer_recirculation_rule,Reject single-stream Nu/f_D/K labels in material recirculation,"Patino-Jaramillo et al., Planar Tee Flow Analysis; Podila et al., Molten Salt Loop CFD; AGENT-330 upcomer evidence",tried_diagnostic,diagnostic,"Current Salt2-4 upcomer evidence is recirculating, not ordinary pipe; single-stream labels are invalid there.",Run matched inlet/mid/outlet plane extraction and candidate Re 150/200/250 cases to bracket onset.,work_products/2026-07/2026-07-14/2026-07-14_upcomer_recirculation_internal_nu_admissibility/README.md
corrected_q_re_variation,Use corrected-Q rows to provide Re variation for hydraulic and onset candidates only after terminal admission,LitRev source-envelope and hydraulic reset gates,partially_tried_needs_gate,blocked,Corrected-Q postprocess harvest jobs submitted; corrected-Q rows still not admitted for closure use.,Wait for terminal harvest and admission review before F6 or onset calibration.,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_postprocess_harvest_submission/README.md
transient_extension,Keep startup/freezing/oscillation literature conditional,"Welander, Oscillatory Instability; Creveling et al., Free Convection Loop Stability; Vijayan and Austregesilo, Scaling Laws; Reis Seo and Hassan, Solidification after Heater Failure",not_tried,future_method,Transient pathway remains future scope; not part of current steady closure fitting.,"Activate only if thesis scope expands to startup, relaxation, oscillation, or freeze/failure dynamics.",reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/README.md
rom_extension,Archive closure-relevant state variables for future ROM but do not claim ROM prediction now,"Manthey et al., Natural Circulation POD; Vergari et al., POD-FV-ROM; Acierno et al., MSR ROM",not_tried,future_method,"ROM is an archive-design requirement, not current validation.",Define snapshot/state-vector metadata after closure/admission rows stabilize.,reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/README.md
