priority,transfer_status,packet_or_artifact,source_path,target_latex_repo_area,target_outline_section,why_send_now_or_wait,required_contents,blocking_condition_or_caveat,board_task
1,send_now,writer_control_surface,work_products/2026-07/2026-07-22/2026-07-22_thesis_outline_evidence_completeness_matrix/chapter_evidence_completeness_matrix.csv;evidence crosswalks under work_products/2026-07/2026-07-22/2026-07-22_thesis_compact_numerical_claims_ledger;evidence protocol under work_products/2026-07/2026-07-22/2026-07-22_thesis_matrix_ledger_study_dispatch/writer_use_protocol.md,../papers/UTexas_Research/csem-Masters_dissertation/evidence/writer_control_surface,all chapters,External writer needs one compact control surface before writing numerical or status claims,"chapter matrix; compact numerical claims ledger; chapter_number_targets.csv; forbidden_overclaim_matrix.csv; uncertainty_admission_labels.csv; source_number_index.csv; writer protocol",No large raw outputs; no prose rewrite,TODO-THESIS-LATEX-EVIDENCE-PACKET-WRITER-CONTROL-SURFACE-2026-07-22
2,send_now,Ch3 CFD provenance and QoI database,work_products/2026-07/2026-07-22/2026-07-22_thesis_ch3_cfd_provenance_qoi_compact_packet,../papers/UTexas_Research/csem-Masters_dissertation/evidence/ch03_cfd_database,Ch3; Ch4,One-stop compact CFD database evidence is ready locally and absent from thesis evidence,"case provenance; retained windows; QoI dictionary; extraction method; legal-use labels; source path manifest; figure/table targets",CFD reference only; no experimental validation claim; no native CFD copy,TODO-THESIS-LATEX-EVIDENCE-PACKET-CH3-CFD-DATABASE-2026-07-22
3,send_now,S13 mesh/GCI upcomer exchange,work_products/2026-07/2026-07-22/2026-07-22_thesis_s13_mesh_gci_upcomer_exchange_evidence_packet,../papers/UTexas_Research/csem-Masters_dissertation/evidence/ch07_upcomer_exchange,Ch7.3; Ch8; Ch9,Completed after older queue and useful for recirculation limitations and diagnostic mesh sensitivity,"mesh-level terminal QOI table; medium/fine delta table; temporal-vs-mesh uncertainty table; GCI disposition; predictive-path status; source manifest; guardrails",Formal GCI and production harvest fail closed; no Qwall/source-property release; no ordinary upcomer closure,TODO-THESIS-LATEX-EVIDENCE-PACKET-S13-MESH-GCI-UPCOMER-2026-07-22
4,send_now,pressure F6 ordinary-basis failure packet,work_products/2026-07/2026-07-22/2026-07-22_thesis_pressure_f6_ordinary_basis_failure_packet,../papers/UTexas_Research/csem-Masters_dissertation/evidence/ch07_pressure_negative,Ch2.3; Ch4.2; Ch7.1; Ch8.3,Completed after older queue and directly supports negative-results contribution,"section-effective residual table; ordinary-basis failure matrix; F6/component-K gate waterfall; F3/F6 comparison status; allowed/forbidden claims; source manifest",No clipped K; no ordinary component-K/F6 admission; no global multiplier; no F3/Shah defeat claim,TODO-THESIS-LATEX-EVIDENCE-PACKET-PRESSURE-F6-ORDINARY-BASIS-2026-07-22
5,send_now,source/property release unblock study,work_products/2026-07/2026-07-22/2026-07-22_thesis_source_property_release_unblock_study,../papers/UTexas_Research/csem-Masters_dissertation/evidence/ch06_source_property_unblock,Ch2.2; Ch5; Ch6; Ch8,Completed after older queue and explains why freeze/admission remains blocked,"release unblock matrix; candidate release path table; protected runtime legality table; thesis transfer manifest; source manifest",Release-ready rows remain zero; no candidate freeze; no protected scoring,TODO-THESIS-LATEX-EVIDENCE-PACKET-SOURCE-PROPERTY-UNBLOCK-2026-07-22
6,send_after_active_closeout,figure import count audit,TODO-THESIS-FIGURE-IMPORT-COUNT-AUDIT-2026-07-22,../papers/UTexas_Research/csem-Masters_dissertation/evidence/figure_asset_selection or selected figure targets,appendix; Ch3; Ch7; Ch8,Resolve 12-row summary versus 9-row visible selected-ledger discrepancy before any asset copy,"authoritative selected figure count; exact source paths; caption-safe claim; copy/no-copy manifest",Active row owns work; do not bulk-copy figure trees,TODO-THESIS-FIGURE-IMPORT-COUNT-AUDIT-2026-07-22
7,send_after_closeout,thermal residual-owner figure packet,TODO-THESIS-THERMAL-RESIDUAL-OWNER-FIGURE-PACKET-2026-07-22,../papers/UTexas_Research/csem-Masters_dissertation/evidence/ch07_thermal_residual_owner,Ch2.4; Ch4.3; Ch7.2; Ch8.3,Needed for visual thermal results once figure packet exists,"residual-owner waterfall; heat-path/source-sink table; D2/D3/D4 diagnostic RMSE table; passive hA panel; caption ledger",Open row; no residual absorption into internal Nu; no thermal closure admission,TODO-THESIS-THERMAL-RESIDUAL-OWNER-FIGURE-PACKET-2026-07-22
8,send_after_active_closeout,sensor projection appendix packet,TODO-THESIS-SENSOR-PROJECTION-APPENDIX-TABLE-PACKET-2026-07-22,../papers/UTexas_Research/csem-Masters_dissertation/evidence/sensor_projection_appendix,Ch6; Ch8; appendix,Needed for sensor/QOI policy and score-only target definitions once active row closes,"bounded/mapped/excluded sensor table; TP2 caveat; TW10 exclusion; runtime-temperature audit; caption source table",Active row owns work; all targets remain score-only; runtime-temperature allowed rows remain zero,TODO-THESIS-SENSOR-PROJECTION-APPENDIX-TABLE-PACKET-2026-07-22
9,wait_for_science,closed-CV recirculation fraction packet,TODO-THESIS-RECIRCULATION-FRACTION-CLOSED-CV-STUDY-2026-07-22,../papers/UTexas_Research/csem-Masters_dissertation/evidence/ch07_upcomer_recirculation_fraction,Ch2.1; Ch5.3; Ch7.3,Would strengthen recirculation fraction and onset statements beyond current proxy-only evidence,"closed CV definition; Salt2/Salt3/Salt4 fraction table; topology table; onset/regime map; side-Z velocity panel caveat",Open row; no ordinary upcomer Nu/f_D/K/F6 or exchange coefficient admission,TODO-THESIS-RECIRCULATION-FRACTION-CLOSED-CV-STUDY-2026-07-22
10,send_now_if_not_already_imported,governing equations glossary,work_products/2026-07/2026-07-22/2026-07-22_thesis_latex_evidence_packet_governing_equations_glossary,../papers/UTexas_Research/csem-Masters_dissertation/evidence/governing_equations_glossary,Ch5; Ch6; appendix,Already imported; keep as foundational source for any paper-outline model form work,"equation ledger; symbol glossary; sign conventions; model-slot terms; runtime legality ledger; assumptions/caveats",Do not invent equations beyond packet; refresh only via a separate row if new model slots land,TODO-THESIS-LATEX-EVIDENCE-PACKET-GOVERNING-EQUATIONS-GLOSSARY-2026-07-22
