blocker,status,blocks,reason,source_paths
raw_face_sampling,pass,does_not_block_by_itself,20/20 Stage A+B endpoint faces sampled,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_b_harvest_qa_and_gate_refresh/f6_gate_refresh.csv
ordinary_flow,fail,F6/component-K admission,0/10 endpoint pairs pass RAF/RMF ordinary-flow thresholds,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_b_harvest_qa_and_gate_refresh/f6_gate_refresh.csv
static_pressure_basis,diagnostic_reconstructed_not_admitted,no_component_K_no_cluster_K_no_F6_fit,"Stage B gate refresh recorded missing raw static p, but the later static-pressure basis audit validated p_rgh reconstruction for diagnostic deltas only. single_hydrostatic_sign_convention_validates_against_all_stage_a_pair_deltas",work_products/2026-07/2026-07-21/2026-07-21_f6_static_p_basis_reconstruction_audit/admission_impact.csv
same_qoi_mesh_uq,blocked,F6/component-K admission,coarse VTK diagnostics do not repair missing static-p basis or same-QOI mesh/UQ,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_b_harvest_qa_and_gate_refresh/f6_gate_refresh.csv
f3_comparison,not_evaluated_no_ordinary_candidate,does_not_block_by_itself,no F6 pair clears ordinary-flow and pressure-basis gates,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_b_harvest_qa_and_gate_refresh/f6_gate_refresh.csv
admission,closed,does_not_block_by_itself,"all Stage A+B rows remain diagnostic; no component_K, cluster_K, section_effective, or pressure_recovery admission",work_products/2026-07/2026-07-21/2026-07-21_f6_stage_b_harvest_qa_and_gate_refresh/f6_gate_refresh.csv
low_recirc_anchor_terminal,fail,blocks_low_recirc_anchor,terminal_ready_cases=0; preferred_candidate=CAND-001,work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/candidate_terminal_preflight.csv
ordinary_flow_or_recirc,fail,blocks_F6_and_component_K,ordinary_candidate_pairs=0; recirc_diagnostic_pairs=4,work_products/2026-07/2026-07-21/2026-07-21_f6_stage_a_harvest_qa/endpoint_pair_qa.csv
same_qoi_uq,fail,blocks_pressure_F6_candidate,accepted_rows=0; blocked_rows=8,work_products/2026-07/2026-07-21/2026-07-21_same_qoi_uq_phase_b_mesh_gci_evidence_matrix/summary.json
source_property_split,fail,blocks_candidate_refresh_until_one_candidate_exists,fit_allowed_rows=0; release_decision=blocked_no_candidate_freeze_no_fit_release,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s5_source_property_split_release/summary.json
s11_release,fail,S11 remains blocked from S10,0 S11-ready pressure/F6 candidates,s11_unblock_decision.csv
