heat_path,segment_family,measurement_or_input_needed,current_status,minimum_unblock,runtime_policy,diagnostic_policy,not_allowed_as_runtime_input
heater_to_salt_efficiency,heater,setup heater power and declared deposition map,"setup source traceable, release not ready",candidate-specific source/property release,allowed only after source-bounded release,allowed for residual-owner attribution,"realized wallHeatFlux, validation temperature, heldout target, global hA multiplier, hidden Nu correction"
cooler_or_jacket_removal,cooler_jacket,"jacket geometry, coolant/ambient state, UA/effectiveness model","setup model lane exists, no final release",predeclared UA/effectiveness model,allowed only after source-bounded release,allowed for residual-owner attribution,"realized wallHeatFlux, validation temperature, heldout target, global hA multiplier, hidden Nu correction"
test_section_source_loss,test_section,"test-section power, quartz/layers, exposed area, external BCs","partial response, no release",source-bounded test-section contract plus UQ,allowed only after source-bounded release,allowed for residual-owner attribution,"realized wallHeatFlux, validation temperature, heldout target, global hA multiplier, hidden Nu correction"
passive_external_convection,passive_wall,"h_ext, Ta, area, coverage, drive selector","source-backed setup rows exist, no numeric q-loss release",source-backed h/area/coverage and wall-state mapping,allowed only after source-bounded release,allowed for residual-owner attribution,"realized wallHeatFlux, validation temperature, heldout target, global hA multiplier, hidden Nu correction"
radiation,passive_wall,"emissivity, Tsur, area, view-factor semantics","policy/source basis exists, no numeric release",radiation semantics and source-backed emissivity/Tsur,allowed only after source-bounded release,allowed for residual-owner attribution,"realized wallHeatFlux, validation temperature, heldout target, global hA multiplier, hidden Nu correction"
wall_conduction_contact,wall_stack,"wall/layer thickness, material k, contact resistance, area",partial setup fields missing,material/geometry field completion plus same-QOI UQ,allowed only after source-bounded release,allowed for residual-owner attribution,"realized wallHeatFlux, validation temperature, heldout target, global hA multiplier, hidden Nu correction"
insulation_or_quartz,wall_stack,"insulation/quartz thickness, k, coverage",candidate not admitted,segment-specific material/source release,allowed only after source-bounded release,allowed for residual-owner attribution,"realized wallHeatFlux, validation temperature, heldout target, global hA multiplier, hidden Nu correction"
storage,storage,rho cp volume and dT/dt metadata,steady runtime lane not released,separate transient/storage model,allowed only after source-bounded release,allowed for residual-owner attribution,"realized wallHeatFlux, validation temperature, heldout target, global hA multiplier, hidden Nu correction"
recirculation_exchange,recirculation,"exchange geometry/state, cp, same-label QOIs, mesh/time UQ",diagnostic only,S13 same-label mesh/GCI and source/property release,allowed only after source-bounded release,allowed for residual-owner attribution,"realized wallHeatFlux, validation temperature, heldout target, global hA multiplier, hidden Nu correction"
unknown_residual,residual,explicit residual after declared lanes,output-only owner,new physical owner evidence,never a runtime closure,allowed for residual-owner attribution,"realized wallHeatFlux, validation temperature, heldout target, global hA multiplier, hidden Nu correction"
