rank,model_form_id,family,model_form_name,mdot_path,temperature_path,pressure_path,train_status,validation_holdout_status,runtime_legality_status,source_property_status,uq_status,admission_status,can_train_now,can_score_validation_now,primary_blocker,next_action,scoreboard_presence,forbidden_inputs,mf16_decision,mf17_decision,setup_uq_execution_decision,source_paths
1,M0_setup_only_baseline,endpoint_baseline,setup-only pressure and thermal baseline,pressure root from geometry/property/setup BCs,segment energy balances with setup-known heater/cooler/passive inputs only,"current Fluid pressure envelope, no fitted section correction",next_train_only_lower_bound_once active setup-UQ execution closes,not_scored,legal_contract_exists_but execution still closing,blocked_by_MF16_no_release,setup_UQ_smoke_running_or_pending_closeout,not_admitted,False,False,active setup-UQ execution and source/property exact-field release are not closed,"monitor/close active train-only setup-UQ smoke, then emit M0 train-only diagnostic scores only",present_in_master_scoreboard,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,source_property_exact_fields_release_candidate_fail_closed_no_release,same_qoi_wall_core_exchange_temporal_uq_executed_no_admission,bounded_train_only_setup_uq_smoke_partial_no_release_no_score,work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/master_model_form_scoreboard.csv;work_products/2026-07/2026-07-22/2026-07-22_1d_train_only_setup_uq_smoke_execution/summary.json
2,M3_segment_only_fluid_walls,endpoint_comparator,segment-only fluid+walls comparator,segment pressure root with current admitted terms,finite segment energy balances and wall/material stacks,segment pressure residual attribution,diagnostic train-only comparator after M0 lower bound,legacy Salt3/Salt4 diagnostic transfer only; not compatible with Salt1-4 training claim,partially legal; completed packages include diagnostic numeric context,blocked_by_MF16_no_release,needs source/property and same-QOI UQ for admissible freeze,diagnostic_not_admitted,False,False,full predictive candidate freeze missing,use as comparator in Salt1-4 nominal train-only diagnostics; do not freeze before source/property release,present_in_master_scoreboard,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,source_property_exact_fields_release_candidate_fail_closed_no_release,same_qoi_wall_core_exchange_temporal_uq_executed_no_admission,bounded_train_only_setup_uq_smoke_partial_no_release_no_score,work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/master_model_form_scoreboard.csv
3,MF12_signed_source_memory_bulk_to_TP,thermal_projection,signed source-memory bulk-to-TP projection,inherits predicted mdot from chosen hydraulic base,TP = bulk plus signed upstream source/reset/Graetz projection,none added; pair with M0/M3/MF02/M5 pressure lane,predeclare formula family; no coefficient fit until source basis is released,locked,conceptually setup-only but missing released source/property fields,fail_closed_no_release,needs TP projection UQ and source/property conservation,diagnostic_only_needs_source_basis,False,False,runtime legal q_setup/cp/source envelope not released,"repair source-property exact-field gate, then run train-only formula ablation on Salt1-4 nominal",scoreboard_supplement_required,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,source_property_exact_fields_release_candidate_fail_closed_no_release,same_qoi_wall_core_exchange_temporal_uq_executed_no_admission,bounded_train_only_setup_uq_smoke_partial_no_release_no_score,work_products/2026-07/2026-07-22/2026-07-22_mf12_bulk_to_tp_formula_gate/candidate_bulk_to_tp_formulas.csv
4,MF15_wall_core_exchange_operator,thermal_wall_core_exchange,source-bounded wall/core exchange operator,inherits predicted throughflow plus optional exchange proxy after release,wall/core contrast and Qwall-supported exchange shape,none added directly,diagnostic only; no coefficient basis released,locked,blocked by runtime wall/profile and Qwall production release,fail_closed,MF17 temporal UQ executed; mesh/GCI and heat-flow match not complete,diagnostic_signal_only,False,False,predicted wall state and source-bounded exchange coefficient basis missing,finish same-label mesh/GCI and heat-flow match before any coefficient training,scoreboard_supplement_required,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,source_property_exact_fields_release_candidate_fail_closed_no_release,same_qoi_wall_core_exchange_temporal_uq_executed_no_admission,bounded_train_only_setup_uq_smoke_partial_no_release_no_score,work_products/2026-07/2026-07-22/2026-07-22_mf15_runtime_wall_profile_basis_gate/runtime_operator_requirement_matrix.csv;work_products/2026-07/2026-07-22/2026-07-22_mf17_same_qoi_wall_core_exchange_uq_execution/summary.json
5,MF15_axial_mixing_operator,thermal_axial_mixing,recirculation-supported axial redistribution operator,throughflow plus guarded recirculation/exchange state after MF04/M5 release,source-bounded axial redistribution with residence/exchange evidence,compatible with MF02 or M5 pressure residual lane,diagnostic only,locked,blocked by recirculation source basis and wall/core release,fail_closed,MF17 temporal UQ executed; production and mesh/GCI still closed,diagnostic_signal_only,False,False,exchange proxy cannot be used as an admitted runtime coefficient yet,"after S13 exact-label repair, build exchange/recirculation source-bounded coefficient gate",scoreboard_supplement_required,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,source_property_exact_fields_release_candidate_fail_closed_no_release,same_qoi_wall_core_exchange_temporal_uq_executed_no_admission,bounded_train_only_setup_uq_smoke_partial_no_release_no_score,work_products/2026-07/2026-07-22/2026-07-22_mf15_runtime_wall_profile_basis_gate/runtime_operator_requirement_matrix.csv;work_products/2026-07/2026-07-22/2026-07-22_1d_recirculation_switch_dry_contract/recirculation_switch_lane_contract.csv
6,M5_MF04_throughflow_recirculation_exchange_cell,recirculating_upcomer,throughflow plus recirculation exchange cell,throughflow branch plus guarded exchange cell,separate throughflow/core and recirculating cell energy exchange,"section-effective pressure residual lane, not ordinary upcomer K",high-value next candidate after S13 exact-label/source gates,locked,dry contract ready; quantitative Qwall/source-property release not ready,fail_closed,temporal UQ executed; mesh/GCI and production harvest blocked,not_admitted,False,False,exact Qwall/source-side and same-label mesh/GCI gates,"complete S13 sampler repair, then train only a predeclared exchange-cell structure on Salt1-4 nominal",present_in_master_scoreboard_as_M5/S13_and_MF-04,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,source_property_exact_fields_release_candidate_fail_closed_no_release,same_qoi_wall_core_exchange_temporal_uq_executed_no_admission,bounded_train_only_setup_uq_smoke_partial_no_release_no_score,work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/master_model_form_scoreboard.csv;work_products/2026-07/2026-07-22/2026-07-22_1d_recirculation_switch_dry_contract/summary.json
7,M2_passive_wall_test_section_source_bounded_repair,thermal_source_basis,passive wall/test-section physical-basis repair,inherits base pressure root,independent passive hA/source-family envelope; no global multiplier,none added,not train-ready; physical basis package found no repair-run release,locked,passive family source basis remains weak,fail_closed,needs source basis before UQ,blocked_no_repair,False,False,passive hA/source provenance traces through wallHeatFlux or lacks independent basis,do not use global 0.5x hA as fit; admit only a physical source-bounded repair if provenance improves,present_in_master_recommendations,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,source_property_exact_fields_release_candidate_fail_closed_no_release,same_qoi_wall_core_exchange_temporal_uq_executed_no_admission,bounded_train_only_setup_uq_smoke_partial_no_release_no_score,work_products/2026-07/2026-07-22/2026-07-22_m2_passive_wall_test_section_source_bounded_repair_gate/repair_no_repair_gate.csv
8,MF07_MF08_MF10_development_reset_signed_wallflux,entrance_development,development/reset plus signed wall-flux branch variants,hydraulic development/reset variants after ordinary-flow gates,negative cooler/downcomer cooling development; positive heater development; guarded upcomer handling,ordinary-flow-only hydraulic development lane,predeclared variants exist but smoke-ready rows are zero,locked,promising but source basis and reset/Graetz gates incomplete,fail_closed,not executed as train-only Fluid model,diagnostic_only,False,False,"source basis, reset/Graetz, and upcomer guard inputs not released","after source release, train MF10d/MF10e variants on Salt1-4 nominal with upcomer guard predeclared",scoreboard_supplement_required,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,source_property_exact_fields_release_candidate_fail_closed_no_release,same_qoi_wall_core_exchange_temporal_uq_executed_no_admission,bounded_train_only_setup_uq_smoke_partial_no_release_no_score,work_products/2026-07/2026-07-22/2026-07-22_mf07_entrance_development_and_reset_source_basis/candidate_gate.csv;work_products/2026-07/2026-07-22/2026-07-22_mf08_signed_wall_flux_developing_thermal_branches/candidate_gate.csv;work_products/2026-07/2026-07-22/2026-07-22_mf10_entrance_wallflux_train_only_variant_bakeoff/variant_bakeoff_matrix.csv
9,MF02_two_tap_section_effective_pressure,hydraulic_pressure,section-effective pressure residual / two-tap,section-effective pressure residual candidate,none; hydraulic residual attribution only,two-tap lower-leg/right-leg section residual,diagnostic no-fit pressure context only,locked for coefficient admission,usable for naming/negative result; coefficient not admitted,not_applicable_to_thermal_source_release,needs low-recirculation anchors and same-QOI UQ,not_admitted,False,False,nonrecirculating/low-reverse anchors and exact pressure endpoint evidence,keep as pressure residual owner while thermal forms train; do not fit component K on recirculating rows,present_in_master_scoreboard,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,source_property_exact_fields_release_candidate_fail_closed_no_release,same_qoi_wall_core_exchange_temporal_uq_executed_no_admission,bounded_train_only_setup_uq_smoke_partial_no_release_no_score,work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/master_model_form_scoreboard.csv;work_products/2026-07/2026-07-22/2026-07-22_mf02_pressure_mdot_coupling_diagnostic/summary.json
10,MF01_ordinary_gated_single_stream_F6,hydraulic_pressure,ordinary gated single-stream F6 branch,ordinary branch fD/K/F6 only where RAF/RMF/SVF gates pass,none directly,right_leg/test_section_span ordinary candidates only,future candidate; no admitted rows now,locked,legal only after ordinary-flow and endpoint gates,not_applicable_to_thermal_source_release,same-QOI UQ and endpoint pressure fields needed,future_candidate,False,False,ordinary-flow gate and source endpoint evidence,try only on ordinary lanes after exact endpoint and same-QOI UQ; exclude recirculating upcomer,present_in_master_scoreboard,CFD mdot; realized wallHeatFlux; validation/holdout/external-test TP/TW; post-solve pressure losses; hidden global multipliers; residual fills,source_property_exact_fields_release_candidate_fail_closed_no_release,same_qoi_wall_core_exchange_temporal_uq_executed_no_admission,bounded_train_only_setup_uq_smoke_partial_no_release_no_score,work_products/2026-07/2026-07-22/2026-07-22_thesis_master_model_form_scoreboard/recommended_model_forms_to_try.csv;work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s14_pressure_f6_nonrecirc_anchor_evidence/summary.json
