case_or_family,source_count_or_case,representative_source_or_artifact,postprocessing_status,split_role,fit_allowed,model_selection_allowed,protected_score_allowed_now,allowed_ch3_use,forbidden_claim
Salt1 nominal,1,case_split_legal_use_table.csv::salt1_nominal,parsed_reference_metadata,final_training,yes,yes,no,describe as final-training CFD reference row after candidate-specific release gates,validation or holdout score row
Salt2 Jin nominal,1,case_split_legal_use_table.csv::salt2_jin_nominal,parsed_reference_metadata,final_training,yes,yes,no,describe as final-training CFD reference row after candidate-specific release gates,validation or external-test row
Salt3 Jin nominal,1,case_split_legal_use_table.csv::salt3_jin_nominal,parsed_reference_metadata,final_training,yes,yes,no,describe as final-training CFD reference row after candidate-specific release gates,validation or holdout score row
Salt4 nominal,1,case_split_legal_use_table.csv::salt4_nominal,parsed_reference_metadata,final_training,yes,yes,no,describe as final-training CFD reference row after candidate-specific release gates,validation or holdout score row
Salt1 q perturbations,2,case_split_legal_use_table.csv::salt1_lo10q/salt1_hi10q,parsed_diagnostic_support,support_diagnostic_not_final_training,no,no,no,describe as trend and uncertainty support,expanded final training set without new split policy
Salt4 q perturbations,2,case_split_legal_use_table.csv::salt4_lo5q/salt4_hi5q,parsed_diagnostic_support,support_diagnostic_not_final_training,no,no,no,describe as trend and uncertainty support,expanded final training set without new split policy
Salt2 PM5 holdout,2,case_split_legal_use_table.csv::salt2_lo5q/salt2_hi5q,parsed_protected_holdout,blind_holdout_salt2_pm5q,no,no,yes_after_final_freeze,describe as protected future blind-score rows,fit tuning model selection or current protected score
Validation Salt2,1,case_split_legal_use_table.csv::val_salt2,parsed_external_reference,blind_external_val_salt2,no,no,yes_after_final_freeze,describe as external-test row after independent freeze,candidate tuning or runtime input
PM10 terminal evidence,4,case_split_legal_use_table.csv::salt2_lo10q/salt2_hi10q/salt4_lo10q/salt4_hi10q,terminal_evidence_available,future_blind_holdout_blocked_terminal_admission,no,no,no,describe as diagnostic terminal evidence and future holdout planning,current score fit model selection or runtime input
Salt3 q insulation matrix,future_only,case_split_legal_use_table.csv::salt3_q_insulation_matrix,not_current_scorecard,future_new_cfd_blocked_run_and_admission,no,no,no_until_run_and_admission,describe as future design placeholder,current score or tuning evidence
Salt1-4 postprocessing inventory,23,summary.csv and salt14_inventory_manifest.csv,23 parsed sources,diagnostic_inventory,n/a,n/a,no,describe database coverage and retained QoI statistics,runtime release or coefficient admission
