case_id,case_key,region,time_window_s,time_window_status,required_field_group,required_fields,phase4_status,sampler_requirement,existing_evidence_status,admission_use,fit_allowed_now,score_allowed_now,runtime_policy,residual_policy,source_paths
salt_2,salt2_jin_nominal_continuation,upcomer,7915,known_from_matched_proxy_not_admission_grade,local_reverse_flow,reverse_area_fraction;reverse_mass_fraction;secondary_flow_intensity,available_existing_diagnostic_not_admission,current sampler can compute RAF/RMF/SVF after a claimed compute-node run; existing rows are proxy/diagnostic and not admission-grade,partial_existing_tool_support_sample_upcomer_convection_cell,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_2,salt2_jin_nominal_continuation,upcomer,7915,known_from_matched_proxy_not_admission_grade,recirculation_volume,V_recirc,missing_V_recirc,missing coherent region/volume mask and V_recirc integration,not_implemented_in_current_sampler,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_2,salt2_jin_nominal_continuation,upcomer,7915,known_from_matched_proxy_not_admission_grade,exchange_rate,mdot_exchange;tau_recirc,missing_mdot_exchange;missing_tau_recirc,missing conservative interface flux and residence-time calculation,not_implemented_in_current_sampler,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_2,salt2_jin_nominal_continuation,upcomer,7915,known_from_matched_proxy_not_admission_grade,thermal_state,T_main;T_recirc;wall_core_delta_T,missing_T_recirc_or_same_window_enthalpy_state;missing_wall_core_delta_T,missing paired main/recirculation thermal-state extractor and wall-core difference,not_implemented_in_current_sampler,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_2,salt2_jin_nominal_continuation,upcomer,7915,known_from_matched_proxy_not_admission_grade,pressure_basis,static_p;p_rgh;Delta_p_straight;Delta_p_dev;pressure_residual,missing_or_partial_no_same_window_pressure_residual,missing same-window pressure residual with hydrostatic and straight-development basis,not_implemented_in_current_sampler,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_2,salt2_jin_nominal_continuation,upcomer,7915,known_from_matched_proxy_not_admission_grade,wall_source_terms,Q_wall;Q_source;Q_sink;energy_residual,present_diagnostic_or_partial,existing energy residual is diagnostic/partial; source/sink ledger still needs same-window alignment,diagnostic_inputs_exist_but_not_same_window_contract,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_2,salt2_jin_nominal_continuation,upcomer,7915,known_from_matched_proxy_not_admission_grade,same_qoi_uq,same_label_mesh_uq;same_formula_time_uq;same_window_sign_basis,blocked_missing_same_qoi_UQ,missing same-label same-formula mesh/time uncertainty for exchange QOIs,not_implemented_in_current_sampler,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_3,salt3_jin_nominal_continuation,upcomer,7618,known_from_matched_proxy_not_admission_grade,local_reverse_flow,reverse_area_fraction;reverse_mass_fraction;secondary_flow_intensity,available_existing_diagnostic_not_admission,current sampler can compute RAF/RMF/SVF after a claimed compute-node run; existing rows are proxy/diagnostic and not admission-grade,partial_existing_tool_support_sample_upcomer_convection_cell,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_3,salt3_jin_nominal_continuation,upcomer,7618,known_from_matched_proxy_not_admission_grade,recirculation_volume,V_recirc,missing_V_recirc,missing coherent region/volume mask and V_recirc integration,not_implemented_in_current_sampler,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_3,salt3_jin_nominal_continuation,upcomer,7618,known_from_matched_proxy_not_admission_grade,exchange_rate,mdot_exchange;tau_recirc,missing_mdot_exchange;missing_tau_recirc,missing conservative interface flux and residence-time calculation,not_implemented_in_current_sampler,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_3,salt3_jin_nominal_continuation,upcomer,7618,known_from_matched_proxy_not_admission_grade,thermal_state,T_main;T_recirc;wall_core_delta_T,missing_T_recirc_or_same_window_enthalpy_state;missing_wall_core_delta_T,missing paired main/recirculation thermal-state extractor and wall-core difference,not_implemented_in_current_sampler,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_3,salt3_jin_nominal_continuation,upcomer,7618,known_from_matched_proxy_not_admission_grade,pressure_basis,static_p;p_rgh;Delta_p_straight;Delta_p_dev;pressure_residual,missing_or_partial_no_same_window_pressure_residual,missing same-window pressure residual with hydrostatic and straight-development basis,not_implemented_in_current_sampler,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_3,salt3_jin_nominal_continuation,upcomer,7618,known_from_matched_proxy_not_admission_grade,wall_source_terms,Q_wall;Q_source;Q_sink;energy_residual,present_diagnostic_or_partial,existing energy residual is diagnostic/partial; source/sink ledger still needs same-window alignment,diagnostic_inputs_exist_but_not_same_window_contract,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_3,salt3_jin_nominal_continuation,upcomer,7618,known_from_matched_proxy_not_admission_grade,same_qoi_uq,same_label_mesh_uq;same_formula_time_uq;same_window_sign_basis,blocked_missing_same_qoi_UQ,missing same-label same-formula mesh/time uncertainty for exchange QOIs,not_implemented_in_current_sampler,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_4,salt4_jin_nominal_continuation,upcomer,10000,known_from_matched_proxy_not_admission_grade,local_reverse_flow,reverse_area_fraction;reverse_mass_fraction;secondary_flow_intensity,available_existing_diagnostic_not_admission,current sampler can compute RAF/RMF/SVF after a claimed compute-node run; existing rows are proxy/diagnostic and not admission-grade,partial_existing_tool_support_sample_upcomer_convection_cell,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_4,salt4_jin_nominal_continuation,upcomer,10000,known_from_matched_proxy_not_admission_grade,recirculation_volume,V_recirc,missing_V_recirc,missing coherent region/volume mask and V_recirc integration,not_implemented_in_current_sampler,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_4,salt4_jin_nominal_continuation,upcomer,10000,known_from_matched_proxy_not_admission_grade,exchange_rate,mdot_exchange;tau_recirc,missing_mdot_exchange;missing_tau_recirc,missing conservative interface flux and residence-time calculation,not_implemented_in_current_sampler,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_4,salt4_jin_nominal_continuation,upcomer,10000,known_from_matched_proxy_not_admission_grade,thermal_state,T_main;T_recirc;wall_core_delta_T,missing_T_recirc_or_same_window_enthalpy_state;missing_wall_core_delta_T,missing paired main/recirculation thermal-state extractor and wall-core difference,not_implemented_in_current_sampler,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_4,salt4_jin_nominal_continuation,upcomer,10000,known_from_matched_proxy_not_admission_grade,pressure_basis,static_p;p_rgh;Delta_p_straight;Delta_p_dev;pressure_residual,missing_or_partial_no_same_window_pressure_residual,missing same-window pressure residual with hydrostatic and straight-development basis,not_implemented_in_current_sampler,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_4,salt4_jin_nominal_continuation,upcomer,10000,known_from_matched_proxy_not_admission_grade,wall_source_terms,Q_wall;Q_source;Q_sink;energy_residual,present_diagnostic_or_partial,existing energy residual is diagnostic/partial; source/sink ledger still needs same-window alignment,diagnostic_inputs_exist_but_not_same_window_contract,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
salt_4,salt4_jin_nominal_continuation,upcomer,10000,known_from_matched_proxy_not_admission_grade,same_qoi_uq,same_label_mesh_uq;same_formula_time_uq;same_window_sign_basis,blocked_missing_same_qoi_UQ,missing same-label same-formula mesh/time uncertainty for exchange QOIs,not_implemented_in_current_sampler,diagnostic_only,false,false,forbidden_as_runtime_predictive_input_until_training_only_contract_and_uq_exist,do_not_hide_heat_residual_in_internal_Nu,work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/exchange_cell_readiness.csv;work_products/2026-07/2026-07-21/2026-07-21_heatloss_phase_4_upcomer_exchange_and_internal_nu_gate/missing_exchange_nu_evidence_queue.csv;work_products/2026-07/2026-07-21/2026-07-21_litrev_matched_plane_recirc_field_harvest/matched_plane_recirc_field_harvest.csv
