target_id,target_latex_area,artifact_type,source_path,target_caption_or_purpose,allowed_use,forbidden_use,copy_status
FIG-CH1-01,Chapter 1 introduction,figure,../papers/UTexas_Research/csem-Masters_dissertation/figures/intro/tamu_loop.png,"TAMU MSFL loop context figure already present in LaTeX tree.","Physical-system motivation and orientation.","Experimental validation evidence or CFD result figure.",already-in-latex-repo
TAB-CH1-01,Chapter 1 contribution,table,this packet claim_boundary_ledger.csv,"Contribution boundary table: claims non-claims evidence and caveats.","Make the thesis contribution auditable for an external writer.","Replace full scientific evidence packets or imply all claims are admitted.",new-compact-ledger
TAB-CH4-01,Chapter 4 reduction methodology,table,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/cfd_postprocessing_contract.csv,"CFD reduction contract table listing required pressure thermal recirculation source uncertainty and coefficient metadata.","Define what every reduced CFD artifact must carry before writing or fitting.","Treat contract fields as admitted result values.",source-excerpt-recommended
TAB-CH4-02,Chapter 4 pressure reduction,table,this packet equations_definitions_ledger.csv,"Pressure decomposition table: drive loss hydrostatic kinetic developing section/cluster transient and residual terms.","Clarify pressure basis before any coefficient discussion.","Admit component K from diagnostic or basis-mismatched evidence.",new-compact-ledger
TAB-CH4-03,Chapter 4 thermal reduction,table,this packet equations_definitions_ledger.csv,"Thermal ledger table: heater cooler passive wall test-section junction/storage/exchange/residual roles.","Show residual-owner separation before fitting internal heat-transfer closures.","Hide external heat loss inside a fitted Nu.",new-compact-ledger
TAB-CH4-04,Chapter 4 split discipline,table,reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md,"Train/support/holdout/external/diagnostic/blocked role table with legal uses.","Prevent runtime leakage and keep scoring honest.","Use protected rows for tuning or model selection.",source-excerpt-recommended
TAB-CH4-05,Chapter 4 runtime leakage,table,this packet claim_boundary_ledger.csv,"Runtime-leakage audit for CFD mdot wallHeatFlux cooler duty validation temperatures holdout and external tests.","Document prohibited predictive inputs explicitly.","Relax leakage rules when prose needs a cleaner story.",new-compact-ledger
TAB-CH4-06,Chapter 4 source/property gates,table,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/source_envelope_thesis_table.csv,"Source-envelope table for pressure heat-transfer and property equations.","Explain source-bounded model slots and admission gates.","Generalize literature coefficients outside their source envelope.",source-excerpt-recommended
FIG-CH4-01,Chapter 4 reduction workflow,diagram,reports/thesis_dossier/Chapters_and_sections/current/12_thesis_figures_and_diagrams_plan.md,"Proposed workflow diagram from CFD artifact to reduced ledger to admitted/diagnostic/blocked model slot.","Show methodology flow in prose or later figure generation.","Use as evidence of numerical result.",planned-not-copied
FIG-CH4-02,Chapter 4 recirculation caveat,figure,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/work_products/2026-07/2026-07-22/2026-07-22_thesis_n2_upcomer_exchange_qwall_uq_paper_panels_refresh_after_neighbor_sampling,"Upcomer recirculation/velocity-arrow panel family for model-form limit discussion after figure-selection task.","Support why single-stream model assumptions need gates.","Use as admitted closure or quantitative final score without the Ch7/Ch8 results packet.",future-results-packet

