case_id,target_time_window_s,required_label,input_kind,current_evidence,release_or_harvest_ready,admissibility_role,next_action
salt_2,7915,throughflow_endpoint_face_masks,endpoint-mask,coarse physical-segment endpoints exist only as historical diagnostic surfaces,False,required_for_residual_value,generate staged endpoint face masks for composite_upcomer_open_cv inlet/outlet
salt_2,7915,throughflow_normal_convention,normal,nominal main-throughflow direction defined in preflight; no released same-basis endpoint face normals,False,required_for_residual_value,publish endpoint normal/sign convention with continuity mismatch columns
salt_2,7915,T_in_bulk_K,thermal-field,historical coarse endpoint T exists; current same-basis S13 endpoint T missing,False,required_for_residual_value,sample mass-flux-weighted inlet T_bulk on same window and endpoint faces
salt_2,7915,T_out_bulk_K,thermal-field,historical coarse endpoint T exists; current same-basis S13 endpoint T missing,False,required_for_residual_value,sample mass-flux-weighted outlet T_bulk on same window and endpoint faces
salt_2,7915,mdot_throughflow_kg_s,mass-flow,postProcessing mdot rows=4; max_rel_std_pct=0.0277284; no endpoint mdot_throughflow_kg_s release,False,required_for_residual_value,surface-integrate rho*U dot n on inlet/outlet endpoint faces and report mismatch
salt_2,7915,cp_J_kg_K,property,row-specific cp release remains blocked,False,required_for_residual_value,complete row-specific cp/source-property release gate before enthalpy residual use
salt_2,7915,Q_storage_W,storage,storage/drift lane not proven negligible on same CV/window,False,required_for_residual_value,quantify storage or mark residual incomplete with explicit storage lane
salt_2,7915,Q_other_named_losses_W,loss-owner,named non-wall source/sink/loss owner manifest missing,False,required_for_residual_value,inventory named losses/sinks/sources for the same open CV
salt_2,7915,same_window_Q_wall_W_and_Q_source,heat-flow,exact_label_rows=6; Q_wall_W=False; exchange_mdot_proxy=False; H_throughflow_net_W=False,False,required_for_residual_value,join same-window heat-flow rows to throughflow endpoint rows without relabeling source-side heat as Q_wall
salt_3,7618,throughflow_endpoint_face_masks,endpoint-mask,coarse physical-segment endpoints exist only as historical diagnostic surfaces,False,required_for_residual_value,generate staged endpoint face masks for composite_upcomer_open_cv inlet/outlet
salt_3,7618,throughflow_normal_convention,normal,nominal main-throughflow direction defined in preflight; no released same-basis endpoint face normals,False,required_for_residual_value,publish endpoint normal/sign convention with continuity mismatch columns
salt_3,7618,T_in_bulk_K,thermal-field,historical coarse endpoint T exists; current same-basis S13 endpoint T missing,False,required_for_residual_value,sample mass-flux-weighted inlet T_bulk on same window and endpoint faces
salt_3,7618,T_out_bulk_K,thermal-field,historical coarse endpoint T exists; current same-basis S13 endpoint T missing,False,required_for_residual_value,sample mass-flux-weighted outlet T_bulk on same window and endpoint faces
salt_3,7618,mdot_throughflow_kg_s,mass-flow,postProcessing mdot rows=4; max_rel_std_pct=0.034883; no endpoint mdot_throughflow_kg_s release,False,required_for_residual_value,surface-integrate rho*U dot n on inlet/outlet endpoint faces and report mismatch
salt_3,7618,cp_J_kg_K,property,row-specific cp release remains blocked,False,required_for_residual_value,complete row-specific cp/source-property release gate before enthalpy residual use
salt_3,7618,Q_storage_W,storage,storage/drift lane not proven negligible on same CV/window,False,required_for_residual_value,quantify storage or mark residual incomplete with explicit storage lane
salt_3,7618,Q_other_named_losses_W,loss-owner,named non-wall source/sink/loss owner manifest missing,False,required_for_residual_value,inventory named losses/sinks/sources for the same open CV
salt_3,7618,same_window_Q_wall_W_and_Q_source,heat-flow,exact_label_rows=6; Q_wall_W=False; exchange_mdot_proxy=False; H_throughflow_net_W=False,False,required_for_residual_value,join same-window heat-flow rows to throughflow endpoint rows without relabeling source-side heat as Q_wall
salt_4,10000,throughflow_endpoint_face_masks,endpoint-mask,coarse physical-segment endpoints exist only as historical diagnostic surfaces,False,required_for_residual_value,generate staged endpoint face masks for composite_upcomer_open_cv inlet/outlet
salt_4,10000,throughflow_normal_convention,normal,nominal main-throughflow direction defined in preflight; no released same-basis endpoint face normals,False,required_for_residual_value,publish endpoint normal/sign convention with continuity mismatch columns
salt_4,10000,T_in_bulk_K,thermal-field,historical coarse endpoint T exists; current same-basis S13 endpoint T missing,False,required_for_residual_value,sample mass-flux-weighted inlet T_bulk on same window and endpoint faces
salt_4,10000,T_out_bulk_K,thermal-field,historical coarse endpoint T exists; current same-basis S13 endpoint T missing,False,required_for_residual_value,sample mass-flux-weighted outlet T_bulk on same window and endpoint faces
salt_4,10000,mdot_throughflow_kg_s,mass-flow,postProcessing mdot rows=4; max_rel_std_pct=0.222325; no endpoint mdot_throughflow_kg_s release,False,required_for_residual_value,surface-integrate rho*U dot n on inlet/outlet endpoint faces and report mismatch
salt_4,10000,cp_J_kg_K,property,row-specific cp release remains blocked,False,required_for_residual_value,complete row-specific cp/source-property release gate before enthalpy residual use
salt_4,10000,Q_storage_W,storage,storage/drift lane not proven negligible on same CV/window,False,required_for_residual_value,quantify storage or mark residual incomplete with explicit storage lane
salt_4,10000,Q_other_named_losses_W,loss-owner,named non-wall source/sink/loss owner manifest missing,False,required_for_residual_value,inventory named losses/sinks/sources for the same open CV
salt_4,10000,same_window_Q_wall_W_and_Q_source,heat-flow,exact_label_rows=6; Q_wall_W=False; exchange_mdot_proxy=False; H_throughflow_net_W=False,False,required_for_residual_value,join same-window heat-flow rows to throughflow endpoint rows without relabeling source-side heat as Q_wall
