slot_id,model_form_name,family,paper_outline_role,physics_or_equation_slot,runtime_inputs_allowed,forbidden_inputs,current_admission_state,score_status,primary_blocker_or_next_action,source_paths
M0,setup_only_baseline,endpoint_ladder,Can be claimed as lower-bound predictive sanity contract once implemented; no final score exists here.,"setup-only loop pressure/energy balance with geometry, property lane, setup heater/cooler, ambient/radiation inputs; residuals not calibrated from scored rows",geometry;property lane;setup heater power;setup cooler/HX metadata;ambient/surroundings/emissivity setup inputs,post-solve mass-flow output;post-solve wall heat-flux output;pressure losses from scored row;TP/TW score-target temperatures;blind residuals;hidden global multipliers,shell_only_lower_bound_not_scored,prediction_missing_not_run,Implement setup-only baseline predictions so every later form has a real lower-bound comparison.,reports/thesis_dossier/Chapters_and_sections/current/06_intermediate_model_forms_and_endpoint_strategy.md;work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/metric_contract.csv;work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/summary.json
M1,cfd_thermal_boundary_replay_diagnostic,endpoint_ladder,Can explain physics and heat placement; cannot be used as predictive endpoint.,1D replay using realized CFD thermal ledgers to explain heat placement and residual context,setup inputs plus realized CFD patch/wall/section heat ledgers for replay only,for predictive claims: post-solve mass-flow output;post-solve wall heat-flux output;pressure losses from scored row;TP/TW score-target temperatures;blind residuals;hidden global multipliers,diagnostic_not_admitted_predictive,diagnostic_legacy_numeric_context_not_predictive,Use only as diagnostic replay/context; do not try as predictive model.,work_products/2026-07/2026-07-16/2026-07-16_coupled_m3ts_test_section_scorecard/m2_m3_comparators.csv;reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md;work_products/2026-07/2026-07-16/2026-07-16_coupled_m3ts_test_section_scorecard/m2_m3_comparators.csv
M2,admitted_heater_cooler_boundary_model,endpoint_ladder,First credible boundary-submodel candidate; not yet a complete final predictive model.,setup-only heater efficiency and cooler/HX UA/NTU boundary terms; passive wall/test-section terms remain blocked or diagnostic,geometry;property lane;setup heater power;setup cooler/HX metadata;ambient/radiation setup inputs;admitted heater/cooler coefficients,post-solve mass-flow output;post-solve wall heat-flux output;pressure losses from scored row;TP/TW score-target temperatures;blind residuals;hidden global multipliers,heater_cooler_admitted_wall_test_section_blocked,partial_boundary_score_prediction_missing_for_full_model,Try only after passive wall/test-section physical/source basis is separated from realized wallHeatFlux.,work_products/2026-07/2026-07-16/2026-07-16_predictive_boundary_submodel_admission/submodel_admission_summary.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_passive_test_section_admission_closeout/summary.json;work_products/2026-07/2026-07-16/2026-07-16_predictive_boundary_submodel_admission/submodel_admission_summary.csv
M3,segment_only_fluid_walls,endpoint_ladder,"Main reduced-order comparison form, currently usable as blocked/diagnostic ladder row rather than final endpoint.",segment pressure closure plus finite segment energy balances and wall/material stacks without explicit junction/stub ownership,segment geometry;property lane;admitted pressure/thermal/source-sink coefficients;setup boundary dictionaries,post-solve mass-flow output;post-solve wall heat-flux output;pressure losses from scored row;TP/TW score-target temperatures;blind residuals;hidden global multipliers,blocked_freeze=FINAL_FREEZE_TBD_not_created;wall_blocker=local_wall_temperature_source_placement_or_upcomer_mixing_physics,legacy_numeric_context_final_prediction_missing,Keep as segment-only comparator once admitted thermal/pressure terms exist; do not freeze now.,reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md;work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/model_freeze_contract.csv;work_products/2026-07/2026-07-16/2026-07-16_coupled_m3ts_test_section_scorecard/m2_m3_comparators.csv;work_products/2026-07/2026-07-16/2026-07-16_coupled_m3ts_test_section_scorecard/m2_m3_comparators.csv;work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/summary.json;work_products/2026-07/2026-07-17/2026-07-17_wall_passive_test_section_admission_closeout/summary.json
M4,junction_aware_fluid_walls,endpoint_ladder,Supports local ownership/attribution claim; does not yet admit predictive corner-K coefficients.,M3 plus named junction/stub heat ownership and branch/junction apparent pressure-loss buckets with admission flags,M3 setup inputs plus admitted junction/stub heat coefficients and admitted local pressure coefficients when available,post-solve mass-flow output;post-solve wall heat-flux output;pressure losses from scored row;TP/TW score-target temperatures;blind residuals;hidden global multipliers,junction_heat_diagnostic_pressure_K_not_admitted,prediction_missing_diagnostic_junction_evidence_available,Use for attribution figures; do not admit junction/corner coefficients yet.,reports/thesis_dossier/Chapters_and_sections/current/05_junction_aware_ledgers.md;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress/summary.json;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_pressure_evidence_corner_k_diagnosis/summary.json;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress/summary.json;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_pressure_evidence_corner_k_diagnosis/summary.json;reports/thesis_dossier/Chapters_and_sections/current/05_junction_aware_ledgers.md
MF-01,gated_single_stream_developing_branch,litrev_model_form,Ordinary-branch architecture for stable throughflow sections,Target chapter: Ch. 5 model forms; Ch. 8 model-form comparison,see required gates and source envelope before runtime use,"Persistent exchange, high recirculation, stratification, unrecovered disturbance, or residual failure sends the row to MF-02/MF-04 or diagnostic status.",not_admitted_taxonomy_only,open row TODO-LITREV-GATED-SINGLE-STREAM-DEVELOPING-BRANCH,Try only on right_leg/test_section_span or other ordinary-flow lanes after endpoint and same-QOI UQ gates pass.,work_products/2026-07/2026-07-21/2026-07-21_thesis_litrev_csem_incorporation/model_form_thesis_ladder.csv
MF-02,section_or_cluster_K_with_recirculation_diagnostics,litrev_model_form,"Naming and extraction rule for corners, bends, reducers, tees, junctions, or close-coupled clusters",Target chapter: Ch. 4 pressure reduction; Ch. 6 closure admission,see required gates and source envelope before runtime use,"Negative net branch flow, near-zero velocity basis, or persistent exchange blocks ordinary scalar K admission.",not_admitted_taxonomy_only,supporting rows complete for fitting inventory and pressure basis; standardization rows remain open,Use now as section/cluster naming discipline; try section-effective no-fit pressure figures before component K.,work_products/2026-07/2026-07-21/2026-07-21_thesis_litrev_csem_incorporation/model_form_thesis_ladder.csv
MF-03,three_node_signed_flow_junction_network,litrev_model_form,Architecture only if a discrete modeled branch changes net sign or path pressure reversal is topology-resolved,Target chapter: Ch. 5 candidate forms; Ch. 9 future work,see required gates and source envelope before runtime use,"If simultaneous forward/reverse flow occurs inside one section while net flow stays positive, hand to MF-04.",not_admitted_taxonomy_only,open row TODO-LITREV-SIGNED-FLOW-JUNCTION-FEASIBILITY,Do not try until evidence shows net branch sign reversal rather than local recirculation.,work_products/2026-07/2026-07-21/2026-07-21_thesis_litrev_csem_incorporation/model_form_thesis_ladder.csv
MF-04,throughflow_plus_recirculation_exchange_cell,litrev_model_form,Preferred reduced architecture for persistent local exchange where one bulk state fails,Target chapter: Ch. 5 model forms; Ch. 7 upcomer recirculation; Ch. 9 future work,see required gates and source envelope before runtime use,No Fluid/API implementation or coefficient calibration is allowed from the writing row.,not_admitted_taxonomy_only,complete design row TODO-LITREV-THROUGHFLOW-RECIRC-EXCHANGE-CELL,Best S13/M5 lane to try next after Q_wall/source-side and same-QOI UQ gates close.,work_products/2026-07/2026-07-21/2026-07-21_thesis_litrev_csem_incorporation/model_form_thesis_ladder.csv
MF-05,period_averaged_unsteady_dissipation_corrected_fitting_loss,litrev_model_form,Future transient lane for repeatable positive-mean periodic fitting response,Target chapter: Ch. 9 future work; optional appendix,see required gates and source envelope before runtime use,"No startup, zero crossing, branch reversal, irregular oscillation, or persistent exchange application.",not_admitted_taxonomy_only,open row TODO-LITREV-TRANSIENT-ROM-PARKING-LOT,Park for future transient evidence.,work_products/2026-07/2026-07-21/2026-07-21_thesis_litrev_csem_incorporation/model_form_thesis_ladder.csv
